Date,VFS
2023-08-14,10.449999809265137
2023-08-15,37.060001373291016
2023-08-16,29.020000457763672
2023-08-17,20.0
2023-08-18,15.399999618530273
2023-08-21,17.579999923706055
2023-08-22,36.720001220703125
2023-08-23,37.029998779296875
2023-08-24,49.0
2023-08-25,68.7699966430664
2023-08-28,82.3499984741211
2023-08-29,46.25
2023-08-30,41.27000045776367
2023-08-31,34.709999084472656
2023-09-01,29.4950008392334
2023-09-05,26.1299991607666
2023-09-06,24.5
2023-09-07,17.989999771118164
2023-09-08,17.149999618530273
2023-09-11,16.56999969482422
2023-09-12,17.209999084472656
2023-09-13,17.209999084472656
2023-09-14,16.850000381469727
2023-09-15,17.530000686645508
2023-09-18,17.31999969482422
2023-09-19,17.799999237060547
2023-09-20,17.190000534057617
2023-09-21,15.75
2023-09-22,15.630000114440918
2023-09-25,14.0
2023-09-26,12.880000114440918
2023-09-27,11.220000267028809
2023-09-28,12.5600004196167
2023-09-29,12.5
2023-10-02,9.800000190734863
2023-10-03,9.329999923706055
2023-10-04,8.050000190734863
2023-10-05,8.5
2023-10-06,8.029999732971191
2023-10-09,7.230000019073486
2023-10-10,7.489999771118164
2023-10-11,8.119999885559082
2023-10-12,7.980000019073486
2023-10-13,7.980000019073486
2023-10-16,6.53000020980835
2023-10-17,6.460000038146973
2023-10-18,5.96999979019165
2023-10-19,5.690000057220459
2023-10-20,5.380000114440918
2023-10-23,4.800000190734863
2023-10-24,4.929999828338623
2023-10-25,5.210000038146973
2023-10-26,5.510000228881836
2023-10-27,5.320000171661377
2023-10-30,5.329999923706055
2023-10-31,5.429999828338623
2023-11-01,5.329999923706055
2023-11-02,5.599999904632568
2023-11-03,5.940000057220459
2023-11-06,6.135000228881836
2023-11-07,6.159999847412109
2023-11-08,7.25
2023-11-09,6.489999771118164
2023-11-10,6.070000171661377
2023-11-13,5.900000095367432
2023-11-14,6.190000057220459
2023-11-15,6.170000076293945
2023-11-16,5.75
2023-11-17,5.409999847412109
2023-11-20,5.360000133514404
2023-11-21,5.989999771118164
2023-11-22,6.179999828338623
2023-11-24,6.559999942779541
2023-11-27,6.630000114440918
2023-11-28,6.989999771118164
2023-11-29,7.559999942779541
2023-11-30,8.449999809265137
2023-12-01,7.840000152587891
2023-12-04,7.059999942779541
2023-12-05,6.849999904632568
2023-12-06,7.0
