Date,NICE
2022-02-28,226.25
2022-03-01,231.75
2022-03-02,233.10000610351562
2022-03-03,229.44000244140625
2022-03-04,226.50999450683594
2022-03-07,218.47000122070312
2022-03-08,211.0500030517578
2022-03-09,222.5800018310547
2022-03-10,215.9499969482422
2022-03-11,209.36000061035156
2022-03-14,202.74000549316406
2022-03-15,205.89999389648438
2022-03-16,212.88999938964844
2022-03-17,213.99000549316406
2022-03-18,220.36000061035156
2022-03-21,217.9600067138672
2022-03-22,221.8000030517578
2022-03-23,216.1999969482422
2022-03-24,218.63999938964844
2022-03-25,217.57000732421875
2022-03-28,222.16000366210938
2022-03-29,224.6999969482422
2022-03-30,221.91000366210938
2022-03-31,219.0
2022-04-01,223.32000732421875
2022-04-04,232.8300018310547
2022-04-05,226.6699981689453
2022-04-06,223.8000030517578
2022-04-07,220.14999389648438
2022-04-08,221.7899932861328
2022-04-11,216.41000366210938
2022-04-12,214.24000549316406
2022-04-13,217.4499969482422
2022-04-14,214.0
2022-04-18,209.50999450683594
2022-04-19,212.63999938964844
2022-04-20,211.7899932861328
2022-04-21,205.13999938964844
2022-04-22,203.0500030517578
2022-04-25,208.0
2022-04-26,201.1300048828125
2022-04-27,201.1999969482422
2022-04-28,208.61000061035156
2022-04-29,206.41000366210938
2022-05-02,207.60000610351562
2022-05-03,206.94000244140625
2022-05-04,210.97000122070312
2022-05-05,195.67999267578125
2022-05-06,194.2899932861328
2022-05-09,184.5800018310547
2022-05-10,187.52000427246094
2022-05-11,182.69000244140625
2022-05-12,190.1199951171875
2022-05-13,202.86000061035156
2022-05-16,195.7899932861328
2022-05-17,193.00999450683594
2022-05-18,186.66000366210938
2022-05-19,192.6699981689453
2022-05-20,191.4199981689453
2022-05-23,192.7899932861328
2022-05-24,190.6999969482422
2022-05-25,194.4499969482422
2022-05-26,198.88999938964844
2022-05-27,202.64999389648438
2022-05-31,198.72000122070312
2022-06-01,197.9600067138672
2022-06-02,204.30999755859375
2022-06-03,199.8699951171875
2022-06-06,202.91000366210938
2022-06-07,208.42999267578125
2022-06-08,206.67999267578125
2022-06-09,203.13999938964844
2022-06-10,197.92999267578125
2022-06-13,190.02999877929688
2022-06-14,188.6300048828125
2022-06-15,192.92999267578125
2022-06-16,186.77999877929688
2022-06-17,192.5500030517578
2022-06-21,198.13999938964844
2022-06-22,198.02999877929688
2022-06-23,200.8800048828125
2022-06-24,205.47000122070312
2022-06-27,203.58999633789062
2022-06-28,200.0800018310547
2022-06-29,198.0
2022-06-30,192.4499969482422
2022-07-01,193.1999969482422
2022-07-05,202.32000732421875
2022-07-06,202.05999755859375
2022-07-07,205.99000549316406
2022-07-08,204.82000732421875
2022-07-11,200.6699981689453
2022-07-12,196.94000244140625
2022-07-13,195.47999572753906
2022-07-14,196.22000122070312
2022-07-15,198.07000732421875
2022-07-18,198.85000610351562
2022-07-19,203.10000610351562
2022-07-20,211.5
2022-07-21,212.83999633789062
2022-07-22,208.6699981689453
2022-07-25,207.0
2022-07-26,200.17999267578125
2022-07-27,206.5399932861328
2022-07-28,209.3300018310547
2022-07-29,214.02000427246094
2022-08-01,217.3800048828125
2022-08-02,217.72000122070312
2022-08-03,221.16000366210938
2022-08-04,221.33999633789062
2022-08-05,221.05999755859375
2022-08-08,223.94000244140625
2022-08-09,218.75
2022-08-10,228.72999572753906
2022-08-11,223.99000549316406
2022-08-12,231.2100067138672
2022-08-15,232.05999755859375
2022-08-16,226.0399932861328
2022-08-17,228.5399932861328
2022-08-18,224.4600067138672
2022-08-19,221.94000244140625
2022-08-22,220.0
2022-08-23,217.4499969482422
2022-08-24,219.7100067138672
2022-08-25,220.69000244140625
2022-08-26,213.1199951171875
2022-08-29,213.72999572753906
2022-08-30,214.74000549316406
2022-08-31,213.3699951171875
2022-09-01,210.11000061035156
2022-09-02,208.67999267578125
2022-09-06,205.9499969482422
2022-09-07,207.97000122070312
2022-09-08,210.83999633789062
2022-09-09,212.42999267578125
2022-09-12,215.58999633789062
2022-09-13,206.61000061035156
2022-09-14,205.47000122070312
2022-09-15,202.07000732421875
2022-09-16,200.0399932861328
2022-09-19,200.80999755859375
2022-09-20,194.3699951171875
2022-09-21,192.47999572753906
2022-09-22,189.66000366210938
2022-09-23,189.38999938964844
2022-09-26,188.80999755859375
2022-09-27,190.5500030517578
2022-09-28,194.4199981689453
2022-09-29,192.27000427246094
2022-09-30,188.24000549316406
2022-10-03,192.60000610351562
2022-10-04,200.05999755859375
2022-10-05,198.55999755859375
2022-10-06,201.52000427246094
2022-10-07,193.5500030517578
2022-10-10,186.7100067138672
2022-10-11,185.5
2022-10-12,184.25999450683594
2022-10-13,185.44000244140625
2022-10-14,181.97999572753906
2022-10-17,188.0
2022-10-18,190.9499969482422
2022-10-19,189.60000610351562
2022-10-20,190.0
2022-10-21,191.72000122070312
2022-10-24,192.92999267578125
2022-10-25,196.17999267578125
2022-10-26,194.11000061035156
2022-10-27,192.22000122070312
2022-10-28,192.22000122070312
2022-10-31,189.88999938964844
2022-11-01,185.6300048828125
2022-11-02,180.1699981689453
2022-11-03,180.1199951171875
2022-11-04,172.9600067138672
2022-11-07,167.0
2022-11-08,171.77999877929688
2022-11-09,167.75999450683594
2022-11-10,201.6199951171875
2022-11-11,199.0500030517578
2022-11-14,195.67999267578125
2022-11-15,202.86000061035156
2022-11-16,202.64999389648438
2022-11-17,200.66000366210938
2022-11-18,197.33999633789062
2022-11-21,194.7899932861328
2022-11-22,193.47000122070312
2022-11-23,191.99000549316406
2022-11-25,191.8800048828125
