Date,RDNT
2022-02-28,24.670000076293945
2022-03-01,22.90999984741211
2022-03-02,22.90999984741211
2022-03-03,23.969999313354492
2022-03-04,22.790000915527344
2022-03-07,20.940000534057617
2022-03-08,20.469999313354492
2022-03-09,21.299999237060547
2022-03-10,21.09000015258789
2022-03-11,20.780000686645508
2022-03-14,20.75
2022-03-15,21.049999237060547
2022-03-16,21.770000457763672
2022-03-17,22.459999084472656
2022-03-18,22.600000381469727
2022-03-21,22.260000228881836
2022-03-22,22.670000076293945
2022-03-23,22.479999542236328
2022-03-24,22.610000610351562
2022-03-25,21.860000610351562
2022-03-28,22.559999465942383
2022-03-29,23.25
2022-03-30,22.389999389648438
2022-03-31,22.3700008392334
2022-04-01,22.68000030517578
2022-04-04,22.020000457763672
2022-04-05,21.579999923706055
2022-04-06,21.299999237060547
2022-04-07,21.329999923706055
2022-04-08,21.06999969482422
2022-04-11,20.920000076293945
2022-04-12,20.940000534057617
2022-04-13,21.43000030517578
2022-04-14,20.790000915527344
2022-04-18,20.68000030517578
2022-04-19,21.31999969482422
2022-04-20,21.3799991607666
2022-04-21,20.860000610351562
2022-04-22,20.079999923706055
2022-04-25,20.520000457763672
2022-04-26,19.530000686645508
2022-04-27,19.3799991607666
2022-04-28,19.540000915527344
2022-04-29,19.5
2022-05-02,19.850000381469727
2022-05-03,19.770000457763672
2022-05-04,20.43000030517578
2022-05-05,19.969999313354492
2022-05-06,19.0
2022-05-09,18.15999984741211
2022-05-10,17.8799991607666
2022-05-11,17.059999465942383
2022-05-12,17.110000610351562
2022-05-13,17.8700008392334
2022-05-16,18.719999313354492
2022-05-17,19.31999969482422
2022-05-18,18.700000762939453
2022-05-19,19.1299991607666
2022-05-20,18.920000076293945
2022-05-23,19.579999923706055
2022-05-24,19.280000686645508
2022-05-25,19.329999923706055
2022-05-26,19.969999313354492
2022-05-27,20.790000915527344
2022-05-31,20.530000686645508
2022-06-01,20.520000457763672
2022-06-02,20.59000015258789
2022-06-03,19.90999984741211
2022-06-06,19.510000228881836
2022-06-07,19.899999618530273
2022-06-08,19.940000534057617
2022-06-09,19.56999969482422
2022-06-10,19.149999618530273
2022-06-13,17.729999542236328
2022-06-14,17.3799991607666
2022-06-15,17.579999923706055
