Date,MASI
2022-02-28,157.4499969482422
2022-03-01,154.63999938964844
2022-03-02,153.6300048828125
2022-03-03,152.4600067138672
2022-03-04,149.57000732421875
2022-03-07,144.32000732421875
2022-03-08,141.02000427246094
2022-03-09,143.5
2022-03-10,141.44000244140625
2022-03-11,136.72000122070312
2022-03-14,135.7100067138672
2022-03-15,138.74000549316406
2022-03-16,149.4199981689453
2022-03-17,157.39999389648438
2022-03-18,157.67999267578125
2022-03-21,158.1300048828125
2022-03-22,159.8800048828125
2022-03-23,153.6199951171875
2022-03-24,156.72000122070312
2022-03-25,153.99000549316406
2022-03-28,155.02999877929688
2022-03-29,159.2899932861328
2022-03-30,155.39999389648438
2022-03-31,145.5399932861328
2022-04-01,151.7100067138672
2022-04-04,150.47000122070312
2022-04-05,145.0500030517578
2022-04-06,146.2100067138672
2022-04-07,147.25999450683594
2022-04-08,144.0
2022-04-11,139.72999572753906
2022-04-12,137.4499969482422
2022-04-13,137.77999877929688
2022-04-14,134.8699951171875
2022-04-18,130.05999755859375
2022-04-19,136.3300018310547
2022-04-20,136.22000122070312
2022-04-21,130.38999938964844
2022-04-22,124.91999816894531
2022-04-25,123.79000091552734
2022-04-26,118.63999938964844
2022-04-27,117.0999984741211
2022-04-28,118.26000213623047
2022-04-29,112.97000122070312
2022-05-02,119.1500015258789
2022-05-03,117.97000122070312
2022-05-04,128.10000610351562
2022-05-05,124.80000305175781
2022-05-06,129.22999572753906
2022-05-09,120.51000213623047
2022-05-10,127.98999786376953
2022-05-11,122.72000122070312
2022-05-12,128.17999267578125
2022-05-13,136.0399932861328
2022-05-16,134.92999267578125
2022-05-17,139.97999572753906
2022-05-18,136.85000610351562
2022-05-19,141.3800048828125
2022-05-20,141.22999572753906
2022-05-23,142.30999755859375
2022-05-24,141.4600067138672
2022-05-25,137.80999755859375
2022-05-26,139.33999633789062
2022-05-27,143.5
2022-05-31,140.42999267578125
2022-06-01,136.88999938964844
2022-06-02,142.72000122070312
2022-06-03,140.0
2022-06-06,140.58999633789062
2022-06-07,141.25999450683594
2022-06-08,140.00999450683594
2022-06-09,139.4199981689453
2022-06-10,138.63999938964844
2022-06-13,129.4199981689453
2022-06-14,123.05999755859375
2022-06-15,126.52999877929688
2022-06-16,122.0199966430664
2022-06-17,124.75
2022-06-21,126.87999725341797
2022-06-22,127.69000244140625
2022-06-23,135.6300048828125
2022-06-24,138.60000610351562
2022-06-27,139.8000030517578
2022-06-28,137.07000732421875
2022-06-29,136.11000061035156
2022-06-30,130.6699981689453
2022-07-01,135.89999389648438
2022-07-05,136.64999389648438
2022-07-06,137.44000244140625
2022-07-07,137.6999969482422
2022-07-08,136.5
2022-07-11,131.82000732421875
2022-07-12,131.4499969482422
2022-07-13,126.05000305175781
2022-07-14,125.58000183105469
2022-07-15,127.8499984741211
2022-07-18,126.30999755859375
2022-07-19,133.5800018310547
2022-07-20,138.0399932861328
2022-07-21,142.4499969482422
2022-07-22,138.9199981689453
2022-07-25,138.82000732421875
2022-07-26,139.8800048828125
2022-07-27,142.60000610351562
2022-07-28,145.14999389648438
2022-07-29,144.5800018310547
2022-08-01,144.7899932861328
2022-08-02,145.63999938964844
2022-08-03,150.25999450683594
2022-08-04,150.75999450683594
2022-08-05,153.4600067138672
2022-08-08,154.61000061035156
2022-08-09,148.1699981689453
2022-08-10,157.77999877929688
2022-08-11,153.2100067138672
2022-08-12,154.3699951171875
2022-08-15,159.77000427246094
2022-08-16,169.3800048828125
2022-08-17,165.5399932861328
2022-08-18,159.92999267578125
2022-08-19,155.72000122070312
2022-08-22,152.61000061035156
2022-08-23,149.6699981689453
2022-08-24,153.02000427246094
2022-08-25,157.35000610351562
2022-08-26,151.7899932861328
2022-08-29,150.2899932861328
2022-08-30,149.52999877929688
2022-08-31,146.88999938964844
2022-09-01,146.1699981689453
2022-09-02,144.27000427246094
2022-09-06,142.1300048828125
2022-09-07,147.44000244140625
2022-09-08,154.00999450683594
2022-09-09,156.25
2022-09-12,156.5
2022-09-13,146.3699951171875
2022-09-14,150.6699981689453
2022-09-15,155.25
2022-09-16,153.5500030517578
2022-09-19,152.72000122070312
2022-09-20,151.63999938964844
2022-09-21,148.16000366210938
2022-09-22,142.4199981689453
2022-09-23,142.27999877929688
2022-09-26,140.07000732421875
2022-09-27,140.00999450683594
2022-09-28,144.3300018310547
2022-09-29,142.4199981689453
2022-09-30,141.16000366210938
2022-10-03,144.5399932861328
2022-10-04,146.92999267578125
2022-10-05,146.0
2022-10-06,143.0
2022-10-07,134.2899932861328
2022-10-10,130.33999633789062
2022-10-11,129.6300048828125
2022-10-12,133.6300048828125
2022-10-13,135.9499969482422
2022-10-14,132.3300018310547
2022-10-17,137.92999267578125
2022-10-18,138.72000122070312
2022-10-19,135.0800018310547
2022-10-20,135.19000244140625
2022-10-21,135.9600067138672
2022-10-24,136.0
2022-10-25,134.97999572753906
2022-10-26,134.5500030517578
2022-10-27,132.7100067138672
2022-10-28,134.02999877929688
2022-10-31,131.60000610351562
2022-11-01,131.6300048828125
2022-11-02,126.80000305175781
2022-11-03,125.13999938964844
2022-11-04,125.08999633789062
2022-11-07,126.12999725341797
2022-11-08,123.06999969482422
2022-11-09,110.87999725341797
2022-11-10,121.58000183105469
2022-11-11,130.0
2022-11-14,122.12999725341797
2022-11-15,126.58000183105469
2022-11-16,132.4499969482422
2022-11-17,137.02000427246094
2022-11-18,141.4600067138672
2022-11-21,138.97000122070312
2022-11-22,142.02999877929688
2022-11-23,143.02000427246094
2022-11-25,144.85000610351562
