Date,MANH
2022-02-28,133.67999267578125
2022-03-01,132.92999267578125
2022-03-02,136.39999389648438
2022-03-03,133.58999633789062
2022-03-04,130.77000427246094
2022-03-07,126.69000244140625
2022-03-08,126.55000305175781
2022-03-09,134.38999938964844
2022-03-10,131.75
2022-03-11,130.6999969482422
2022-03-14,127.80000305175781
2022-03-15,129.6999969482422
2022-03-16,135.47999572753906
2022-03-17,136.1699981689453
2022-03-18,140.50999450683594
2022-03-21,138.1300048828125
2022-03-22,145.2899932861328
2022-03-23,140.42999267578125
2022-03-24,140.77999877929688
2022-03-25,137.14999389648438
2022-03-28,139.38999938964844
2022-03-29,144.0399932861328
2022-03-30,142.0500030517578
2022-03-31,138.7100067138672
2022-04-01,140.1199951171875
2022-04-04,141.97000122070312
2022-04-05,139.16000366210938
2022-04-06,137.49000549316406
2022-04-07,137.02000427246094
2022-04-08,134.22000122070312
2022-04-11,132.3800048828125
2022-04-12,133.14999389648438
2022-04-13,136.02999877929688
2022-04-14,136.60000610351562
2022-04-18,137.38999938964844
2022-04-19,141.52999877929688
2022-04-20,142.17999267578125
2022-04-21,138.47999572753906
2022-04-22,132.02999877929688
2022-04-25,134.75
2022-04-26,129.5
2022-04-27,129.5
2022-04-28,132.41000366210938
2022-04-29,130.5500030517578
2022-05-02,131.35000610351562
2022-05-03,128.47999572753906
2022-05-04,132.42999267578125
2022-05-05,126.0
2022-05-06,123.83999633789062
2022-05-09,118.0199966430664
2022-05-10,117.83000183105469
2022-05-11,113.47000122070312
2022-05-12,115.44999694824219
2022-05-13,121.77999877929688
2022-05-16,117.94000244140625
2022-05-17,120.77999877929688
2022-05-18,112.66000366210938
2022-05-19,116.80999755859375
2022-05-20,117.66000366210938
2022-05-23,118.05000305175781
2022-05-24,114.37000274658203
2022-05-25,116.19000244140625
2022-05-26,119.11000061035156
2022-05-27,122.58000183105469
2022-05-31,120.93000030517578
2022-06-01,121.69999694824219
2022-06-02,128.6199951171875
2022-06-03,125.5199966430664
2022-06-06,125.30999755859375
2022-06-07,128.60000610351562
