Date,AGNC
2022-02-28,12.90999984741211
2022-03-01,12.989999771118164
2022-03-02,13.1899995803833
2022-03-03,13.130000114440918
2022-03-04,13.0600004196167
2022-03-07,12.989999771118164
2022-03-08,13.260000228881836
2022-03-09,13.329999923706055
2022-03-10,13.25
2022-03-11,12.979999542236328
2022-03-14,12.770000457763672
2022-03-15,12.899999618530273
2022-03-16,12.960000038146973
2022-03-17,13.039999961853027
2022-03-18,13.210000038146973
2022-03-21,13.010000228881836
2022-03-22,13.1899995803833
2022-03-23,13.069999694824219
2022-03-24,13.050000190734863
2022-03-25,13.270000457763672
2022-03-28,13.380000114440918
2022-03-29,13.5600004196167
2022-03-30,13.239999771118164
2022-03-31,13.100000381469727
2022-04-01,13.170000076293945
2022-04-04,13.09000015258789
2022-04-05,12.84000015258789
2022-04-06,12.579999923706055
2022-04-07,12.539999961853027
2022-04-08,12.600000381469727
2022-04-11,12.489999771118164
2022-04-12,12.529999732971191
2022-04-13,12.539999961853027
2022-04-14,12.479999542236328
2022-04-18,12.279999732971191
2022-04-19,11.859999656677246
2022-04-20,11.989999771118164
2022-04-21,11.869999885559082
2022-04-22,11.59000015258789
2022-04-25,11.670000076293945
2022-04-26,11.069999694824219
2022-04-27,11.09000015258789
2022-04-28,11.470000267028809
2022-04-29,10.979999542236328
2022-05-02,11.199999809265137
2022-05-03,11.989999771118164
2022-05-04,12.119999885559082
2022-05-05,12.140000343322754
2022-05-06,12.40999984741211
2022-05-09,12.260000228881836
2022-05-10,12.229999542236328
2022-05-11,12.140000343322754
2022-05-12,12.109999656677246
2022-05-13,12.390000343322754
2022-05-16,12.289999961853027
2022-05-17,12.109999656677246
2022-05-18,11.890000343322754
2022-05-19,11.720000267028809
2022-05-20,11.760000228881836
2022-05-23,12.0
2022-05-24,11.920000076293945
2022-05-25,11.880000114440918
2022-05-26,12.109999656677246
2022-05-27,12.210000038146973
2022-05-31,12.229999542236328
2022-06-01,12.170000076293945
2022-06-02,12.1899995803833
2022-06-03,12.0600004196167
2022-06-06,12.039999961853027
2022-06-07,12.15999984741211
2022-06-08,11.989999771118164
2022-06-09,12.1899995803833
2022-06-10,11.949999809265137
2022-06-13,11.020000457763672
2022-06-14,10.75
2022-06-15,10.670000076293945
2022-06-16,10.029999732971191
2022-06-17,10.40999984741211
