Date,STRL
2022-02-28,29.530000686645508
2022-03-01,28.1200008392334
2022-03-02,29.540000915527344
2022-03-03,29.270000457763672
2022-03-04,28.3799991607666
2022-03-07,27.809999465942383
2022-03-08,27.729999542236328
2022-03-09,28.389999389648438
2022-03-10,28.829999923706055
2022-03-11,29.040000915527344
2022-03-14,28.360000610351562
2022-03-15,27.690000534057617
2022-03-16,28.860000610351562
2022-03-17,28.950000762939453
2022-03-18,28.899999618530273
2022-03-21,28.799999237060547
2022-03-22,28.780000686645508
2022-03-23,27.719999313354492
2022-03-24,27.790000915527344
2022-03-25,28.010000228881836
2022-03-28,27.09000015258789
2022-03-29,28.100000381469727
2022-03-30,27.829999923706055
2022-03-31,26.799999237060547
2022-04-01,27.15999984741211
2022-04-04,26.719999313354492
2022-04-05,26.1299991607666
2022-04-06,25.489999771118164
2022-04-07,25.729999542236328
2022-04-08,25.6200008392334
2022-04-11,25.579999923706055
2022-04-12,25.479999542236328
2022-04-13,26.440000534057617
2022-04-14,26.40999984741211
2022-04-18,25.959999084472656
2022-04-19,26.420000076293945
2022-04-20,26.350000381469727
2022-04-21,25.700000762939453
2022-04-22,24.729999542236328
2022-04-25,24.489999771118164
2022-04-26,23.56999969482422
2022-04-27,23.200000762939453
2022-04-28,23.690000534057617
2022-04-29,22.889999389648438
2022-05-02,23.309999465942383
2022-05-03,23.43000030517578
2022-05-04,24.010000228881836
2022-05-05,23.809999465942383
2022-05-06,23.049999237060547
2022-05-09,22.459999084472656
2022-05-10,22.0
2022-05-11,22.110000610351562
2022-05-12,22.969999313354492
2022-05-13,22.93000030517578
2022-05-16,22.989999771118164
2022-05-17,23.520000457763672
2022-05-18,23.440000534057617
2022-05-19,23.600000381469727
2022-05-20,23.399999618530273
2022-05-23,23.829999923706055
2022-05-24,23.399999618530273
2022-05-25,24.309999465942383
2022-05-26,24.3799991607666
2022-05-27,24.860000610351562
2022-05-31,24.610000610351562
2022-06-01,24.719999313354492
2022-06-02,24.940000534057617
2022-06-03,24.75
2022-06-06,25.010000228881836
2022-06-07,25.280000686645508
2022-06-08,24.860000610351562
2022-06-09,24.90999984741211
2022-06-10,24.170000076293945
2022-06-13,22.809999465942383
2022-06-14,23.309999465942383
2022-06-15,23.600000381469727
2022-06-16,21.610000610351562
2022-06-17,22.43000030517578
2022-06-21,22.229999542236328
2022-06-22,22.1200008392334
2022-06-23,21.43000030517578
2022-06-24,22.68000030517578
2022-06-27,22.920000076293945
2022-06-28,22.3700008392334
2022-06-29,21.600000381469727
2022-06-30,21.920000076293945
2022-07-01,21.959999084472656
2022-07-05,21.610000610351562
2022-07-06,21.479999542236328
2022-07-07,21.829999923706055
2022-07-08,21.700000762939453
2022-07-11,21.65999984741211
2022-07-12,21.479999542236328
2022-07-13,21.510000228881836
2022-07-14,21.40999984741211
2022-07-15,22.329999923706055
2022-07-18,22.34000015258789
2022-07-19,23.170000076293945
2022-07-20,23.229999542236328
2022-07-21,23.31999969482422
2022-07-22,23.299999237060547
2022-07-25,23.469999313354492
2022-07-26,23.989999771118164
2022-07-27,24.59000015258789
