Date,DBX
2022-02-28,22.690000534057617
2022-03-01,22.670000076293945
2022-03-02,22.770000457763672
2022-03-03,22.270000457763672
2022-03-04,22.0
2022-03-07,20.670000076293945
2022-03-08,20.760000228881836
2022-03-09,21.5
2022-03-10,21.09000015258789
2022-03-11,20.350000381469727
2022-03-14,20.489999771118164
2022-03-15,21.290000915527344
2022-03-16,21.700000762939453
2022-03-17,21.950000762939453
2022-03-18,23.040000915527344
2022-03-21,22.93000030517578
2022-03-22,23.18000030517578
2022-03-23,23.040000915527344
2022-03-24,23.229999542236328
2022-03-25,23.270000457763672
2022-03-28,23.520000457763672
2022-03-29,24.1299991607666
2022-03-30,23.690000534057617
2022-03-31,23.25
2022-04-01,23.889999389648438
2022-04-04,24.149999618530273
2022-04-05,23.360000610351562
2022-04-06,22.770000457763672
2022-04-07,22.670000076293945
2022-04-08,22.360000610351562
2022-04-11,22.719999313354492
2022-04-12,22.469999313354492
2022-04-13,23.489999771118164
2022-04-14,23.06999969482422
2022-04-18,22.770000457763672
2022-04-19,23.18000030517578
2022-04-20,22.489999771118164
2022-04-21,22.010000228881836
2022-04-22,21.940000534057617
2022-04-25,22.549999237060547
2022-04-26,21.6200008392334
2022-04-27,21.799999237060547
2022-04-28,22.459999084472656
2022-04-29,21.75
2022-05-02,22.09000015258789
2022-05-03,21.790000915527344
2022-05-04,22.399999618530273
2022-05-05,21.299999237060547
2022-05-06,21.139999389648438
2022-05-09,20.479999542236328
2022-05-10,20.65999984741211
2022-05-11,19.790000915527344
2022-05-12,19.950000762939453
2022-05-13,20.770000457763672
2022-05-16,20.270000457763672
2022-05-17,20.559999465942383
2022-05-18,19.809999465942383
2022-05-19,20.329999923706055
2022-05-20,20.170000076293945
2022-05-23,20.440000534057617
2022-05-24,19.25
2022-05-25,19.920000076293945
2022-05-26,20.889999389648438
2022-05-27,21.1299991607666
2022-05-31,20.84000015258789
2022-06-01,21.1200008392334
2022-06-02,21.489999771118164
2022-06-03,22.81999969482422
2022-06-06,22.510000228881836
2022-06-07,23.18000030517578
2022-06-08,22.959999084472656
2022-06-09,22.709999084472656
2022-06-10,22.06999969482422
2022-06-13,20.700000762939453
2022-06-14,20.549999237060547
2022-06-15,21.0
2022-06-16,19.690000534057617
2022-06-17,20.649999618530273
2022-06-21,21.059999465942383
2022-06-22,21.25
2022-06-23,21.84000015258789
2022-06-24,22.6200008392334
2022-06-27,22.15999984741211
2022-06-28,21.200000762939453
2022-06-29,21.31999969482422
2022-06-30,20.989999771118164
2022-07-01,21.899999618530273
2022-07-05,22.350000381469727
2022-07-06,22.15999984741211
2022-07-07,22.850000381469727
2022-07-08,22.739999771118164
2022-07-11,22.479999542236328
2022-07-12,21.700000762939453
2022-07-13,21.739999771118164
2022-07-14,21.280000686645508
2022-07-15,21.739999771118164
2022-07-18,21.719999313354492
2022-07-19,22.40999984741211
2022-07-20,22.690000534057617
2022-07-21,23.309999465942383
2022-07-22,22.690000534057617
2022-07-25,22.75
2022-07-26,22.219999313354492
2022-07-27,22.979999542236328
2022-07-28,23.06999969482422
2022-07-29,22.739999771118164
2022-08-01,22.860000610351562
2022-08-02,22.81999969482422
2022-08-03,23.739999771118164
2022-08-04,23.989999771118164
2022-08-05,23.549999237060547
2022-08-08,23.829999923706055
2022-08-09,24.06999969482422
2022-08-10,24.690000534057617
2022-08-11,24.559999465942383
2022-08-12,24.84000015258789
2022-08-15,24.780000686645508
2022-08-16,24.56999969482422
2022-08-17,24.010000228881836
2022-08-18,24.040000915527344
2022-08-19,23.440000534057617
2022-08-22,22.899999618530273
2022-08-23,22.65999984741211
2022-08-24,22.6200008392334
2022-08-25,22.90999984741211
2022-08-26,22.049999237060547
2022-08-29,21.75
2022-08-30,21.639999389648438
2022-08-31,21.389999389648438
2022-09-01,21.260000228881836
2022-09-02,21.170000076293945
2022-09-06,21.479999542236328
2022-09-07,21.979999542236328
2022-09-08,22.100000381469727
2022-09-09,22.75
2022-09-12,23.139999389648438
2022-09-13,22.100000381469727
2022-09-14,22.010000228881836
2022-09-15,21.81999969482422
2022-09-16,21.700000762939453
2022-09-19,21.68000030517578
2022-09-20,21.18000030517578
2022-09-21,21.09000015258789
2022-09-22,20.440000534057617
2022-09-23,20.110000610351562
2022-09-26,19.989999771118164
2022-09-27,20.15999984741211
2022-09-28,20.729999542236328
2022-09-29,20.530000686645508
2022-09-30,20.719999313354492
2022-10-03,21.270000457763672
2022-10-04,21.84000015258789
2022-10-05,21.8799991607666
2022-10-06,22.059999465942383
2022-10-07,21.06999969482422
2022-10-10,20.40999984741211
2022-10-11,20.06999969482422
2022-10-12,20.030000686645508
2022-10-13,20.25
2022-10-14,20.170000076293945
2022-10-17,20.780000686645508
2022-10-18,21.209999084472656
2022-10-19,20.899999618530273
2022-10-20,20.969999313354492
2022-10-21,21.420000076293945
2022-10-24,21.6299991607666
2022-10-25,22.1200008392334
2022-10-26,21.579999923706055
2022-10-27,21.520000457763672
2022-10-28,22.020000457763672
2022-10-31,21.75
2022-11-01,21.690000534057617
2022-11-02,20.68000030517578
2022-11-03,20.43000030517578
2022-11-04,21.399999618530273
2022-11-07,21.510000228881836
2022-11-08,21.579999923706055
2022-11-09,21.190000534057617
2022-11-10,22.450000762939453
2022-11-11,23.059999465942383
2022-11-14,22.780000686645508
2022-11-15,22.899999618530273
2022-11-16,22.43000030517578
2022-11-17,22.229999542236328
2022-11-18,22.280000686645508
2022-11-21,22.389999389648438
2022-11-22,22.350000381469727
2022-11-23,22.440000534057617
2022-11-25,22.280000686645508
