Date,MEDP
2022-02-28,152.97000122070312
2022-03-01,151.89999389648438
2022-03-02,151.97999572753906
2022-03-03,148.67999267578125
2022-03-04,150.14999389648438
2022-03-07,148.57000732421875
2022-03-08,142.74000549316406
2022-03-09,151.6199951171875
2022-03-10,148.2100067138672
2022-03-11,141.1999969482422
2022-03-14,144.9600067138672
2022-03-15,146.42999267578125
2022-03-16,153.8000030517578
2022-03-17,163.33999633789062
2022-03-18,165.9499969482422
2022-03-21,164.0500030517578
2022-03-22,166.22999572753906
2022-03-23,157.69000244140625
2022-03-24,160.50999450683594
2022-03-25,158.2899932861328
2022-03-28,159.8000030517578
2022-03-29,165.7100067138672
2022-03-30,163.47999572753906
2022-03-31,163.58999633789062
2022-04-01,168.02999877929688
2022-04-04,167.24000549316406
2022-04-05,165.6300048828125
2022-04-06,160.5399932861328
2022-04-07,166.02999877929688
2022-04-08,164.77000427246094
2022-04-11,159.0
2022-04-12,158.61000061035156
2022-04-13,161.3300018310547
2022-04-14,158.10000610351562
2022-04-18,152.2899932861328
2022-04-19,156.22000122070312
2022-04-20,160.0800018310547
2022-04-21,153.33999633789062
2022-04-22,150.6199951171875
2022-04-25,148.0
2022-04-26,132.60000610351562
2022-04-27,130.1999969482422
2022-04-28,131.86000061035156
2022-04-29,133.57000732421875
2022-05-02,137.67999267578125
2022-05-03,136.97000122070312
2022-05-04,142.52999877929688
2022-05-05,137.97000122070312
2022-05-06,136.11000061035156
2022-05-09,130.8699951171875
2022-05-10,134.10000610351562
2022-05-11,130.77000427246094
2022-05-12,133.19000244140625
2022-05-13,139.52999877929688
2022-05-16,140.0
2022-05-17,138.4499969482422
2022-05-18,131.4499969482422
2022-05-19,133.8000030517578
2022-05-20,133.8699951171875
2022-05-23,133.72000122070312
2022-05-24,133.32000732421875
2022-05-25,132.1699981689453
2022-05-26,135.5399932861328
2022-05-27,147.3699951171875
2022-05-31,143.24000549316406
2022-06-01,142.9600067138672
2022-06-02,147.25999450683594
2022-06-03,145.82000732421875
2022-06-06,147.1199951171875
2022-06-07,150.8699951171875
2022-06-08,148.07000732421875
2022-06-09,145.85000610351562
2022-06-10,139.00999450683594
2022-06-13,135.4499969482422
2022-06-14,137.58999633789062
2022-06-15,138.02000427246094
2022-06-16,132.27000427246094
2022-06-17,135.36000061035156
2022-06-21,140.27999877929688
2022-06-22,141.32000732421875
2022-06-23,151.3300018310547
2022-06-24,153.88999938964844
2022-06-27,153.69000244140625
2022-06-28,148.8800048828125
2022-06-29,149.97999572753906
2022-06-30,149.6699981689453
2022-07-01,149.60000610351562
2022-07-05,156.6999969482422
