Date,SMPL
2022-02-28,39.630001068115234
2022-03-01,39.619998931884766
2022-03-02,39.45000076293945
2022-03-03,39.310001373291016
2022-03-04,38.880001068115234
2022-03-07,36.90999984741211
2022-03-08,36.79999923706055
2022-03-09,38.04999923706055
2022-03-10,37.20000076293945
2022-03-11,36.72999954223633
2022-03-14,35.02000045776367
2022-03-15,36.119998931884766
2022-03-16,35.97999954223633
2022-03-17,36.18000030517578
2022-03-18,37.2599983215332
2022-03-21,37.02000045776367
2022-03-22,36.97999954223633
2022-03-23,36.2599983215332
2022-03-24,36.779998779296875
2022-03-25,36.68000030517578
2022-03-28,37.25
2022-03-29,38.52000045776367
2022-03-30,38.29999923706055
2022-03-31,37.95000076293945
2022-04-01,39.040000915527344
2022-04-04,39.83000183105469
2022-04-05,38.400001525878906
2022-04-06,40.209999084472656
2022-04-07,42.290000915527344
2022-04-08,41.77000045776367
2022-04-11,40.81999969482422
2022-04-12,41.400001525878906
2022-04-13,42.09000015258789
2022-04-14,43.470001220703125
2022-04-18,43.13999938964844
2022-04-19,44.56999969482422
2022-04-20,44.31999969482422
2022-04-21,43.189998626708984
2022-04-22,42.25
2022-04-25,43.150001525878906
2022-04-26,41.5099983215332
2022-04-27,41.36000061035156
2022-04-28,42.13999938964844
2022-04-29,41.650001525878906
2022-05-02,40.29999923706055
2022-05-03,40.04999923706055
2022-05-04,40.25
2022-05-05,38.31999969482422
2022-05-06,38.31999969482422
2022-05-09,37.040000915527344
2022-05-10,36.61000061035156
2022-05-11,36.25
2022-05-12,36.619998931884766
2022-05-13,39.220001220703125
2022-05-16,38.880001068115234
2022-05-17,40.130001068115234
2022-05-18,37.540000915527344
2022-05-19,37.5099983215332
2022-05-20,37.650001525878906
2022-05-23,38.400001525878906
2022-05-24,37.90999984741211
2022-05-25,39.060001373291016
2022-05-26,39.7400016784668
2022-05-27,41.0099983215332
2022-05-31,39.959999084472656
2022-06-01,39.470001220703125
2022-06-02,39.849998474121094
2022-06-03,38.79999923706055
