Date,CACC
2022-02-28,550.1199951171875
2022-03-01,532.02001953125
2022-03-02,555.2999877929688
2022-03-03,555.9099731445312
2022-03-04,535.3099975585938
2022-03-07,487.2300109863281
2022-03-08,497.4700012207031
2022-03-09,513.260009765625
2022-03-10,490.69000244140625
2022-03-11,470.30999755859375
2022-03-14,470.82000732421875
2022-03-15,492.7699890136719
2022-03-16,498.6600036621094
2022-03-17,511.2200012207031
2022-03-18,516.780029296875
2022-03-21,514.780029296875
2022-03-22,523.6599731445312
2022-03-23,525.0599975585938
2022-03-24,526.9400024414062
2022-03-25,527.260009765625
2022-03-28,521.72998046875
2022-03-29,553.02001953125
2022-03-30,547.6199951171875
2022-03-31,550.3699951171875
2022-04-01,549.719970703125
2022-04-04,550.6300048828125
2022-04-05,544.8599853515625
2022-04-06,552.2000122070312
2022-04-07,537.239990234375
2022-04-08,561.47998046875
2022-04-11,559.1500244140625
2022-04-12,556.3200073242188
2022-04-13,575.0999755859375
2022-04-14,585.9299926757812
2022-04-18,591.739990234375
2022-04-19,615.4099731445312
2022-04-20,607.3400268554688
2022-04-21,585.7000122070312
2022-04-22,556.510009765625
2022-04-25,548.1400146484375
2022-04-26,521.5700073242188
2022-04-27,512.6699829101562
2022-04-28,537.8499755859375
2022-04-29,512.5
2022-05-02,517.5599975585938
2022-05-03,621.8800048828125
2022-05-04,640.9299926757812
2022-05-05,605.010009765625
2022-05-06,599.5800170898438
2022-05-09,573.52001953125
2022-05-10,573.8499755859375
2022-05-11,568.0599975585938
2022-05-12,561.469970703125
2022-05-13,588.5800170898438
2022-05-16,591.9500122070312
2022-05-17,612.010009765625
2022-05-18,591.27001953125
2022-05-19,567.6699829101562
2022-05-20,552.5
2022-05-23,562.8099975585938
2022-05-24,554.9600219726562
2022-05-25,561.4000244140625
2022-05-26,581.4000244140625
2022-05-27,590.0
2022-05-31,595.3099975585938
2022-06-01,583.6599731445312
2022-06-02,593.5700073242188
2022-06-03,565.3300170898438
2022-06-06,565.260009765625
2022-06-07,582.77001953125
2022-06-08,560.719970703125
2022-06-09,544.1799926757812
2022-06-10,522.0700073242188
2022-06-13,506.04998779296875
2022-06-14,505.57000732421875
2022-06-15,512.4600219726562
2022-06-16,460.67999267578125
2022-06-17,469.7900085449219
2022-06-21,474.8900146484375
2022-06-22,476.3900146484375
2022-06-23,480.1499938964844
2022-06-24,505.45001220703125
2022-06-27,494.8599853515625
2022-06-28,489.6700134277344
2022-06-29,471.2099914550781
2022-06-30,473.4100036621094
2022-07-01,495.7099914550781
2022-07-05,526.5800170898438
2022-07-06,497.54998779296875
2022-07-07,520.25
2022-07-08,504.8800048828125
2022-07-11,499.20001220703125
2022-07-12,500.07000732421875
2022-07-13,506.4200134277344
2022-07-14,500.79998779296875
2022-07-15,512.1300048828125
2022-07-18,517.6699829101562
2022-07-19,541.7100219726562
2022-07-20,552.3400268554688
2022-07-21,554.280029296875
2022-07-22,552.02001953125
2022-07-25,551.5
2022-07-26,540.9199829101562
2022-07-27,553.489990234375
2022-07-28,560.280029296875
2022-07-29,575.9099731445312
2022-08-01,581.7000122070312
2022-08-02,528.8900146484375
2022-08-03,545.5999755859375
2022-08-04,544.3400268554688
2022-08-05,544.0800170898438
2022-08-08,560.0
2022-08-09,545.969970703125
2022-08-10,556.1300048828125
2022-08-11,555.9600219726562
2022-08-12,557.780029296875
2022-08-15,574.3499755859375
2022-08-16,605.3800048828125
2022-08-17,599.4000244140625
2022-08-18,603.5999755859375
2022-08-19,595.1199951171875
2022-08-22,562.47998046875
2022-08-23,576.8900146484375
2022-08-24,575.6300048828125
2022-08-25,583.7899780273438
2022-08-26,558.5
2022-08-29,553.6799926757812
2022-08-30,539.6599731445312
2022-08-31,532.0800170898438
2022-09-01,533.47998046875
2022-09-02,521.3599853515625
2022-09-06,508.07000732421875
2022-09-07,512.5399780273438
2022-09-08,511.5
2022-09-09,515.219970703125
2022-09-12,532.8400268554688
2022-09-13,497.1199951171875
2022-09-14,495.4100036621094
2022-09-15,495.5
2022-09-16,487.20001220703125
2022-09-19,493.8699951171875
2022-09-20,472.57000732421875
2022-09-21,476.3500061035156
2022-09-22,467.45001220703125
2022-09-23,462.2799987792969
2022-09-26,452.2300109863281
2022-09-27,448.7099914550781
2022-09-28,461.3999938964844
2022-09-29,441.1400146484375
2022-09-30,438.0
2022-10-03,457.8800048828125
2022-10-04,478.6000061035156
2022-10-05,468.6700134277344
2022-10-06,457.79998779296875
2022-10-07,443.32000732421875
2022-10-10,430.4599914550781
2022-10-11,433.9800109863281
2022-10-12,440.07000732421875
2022-10-13,449.8699951171875
2022-10-14,431.9800109863281
2022-10-17,446.0400085449219
2022-10-18,450.04998779296875
2022-10-19,419.6700134277344
2022-10-20,407.70001220703125
2022-10-21,424.1199951171875
2022-10-24,431.760009765625
2022-10-25,458.69000244140625
2022-10-26,458.70001220703125
2022-10-27,455.7900085449219
2022-10-28,471.4200134277344
2022-10-31,465.6199951171875
2022-11-01,471.8399963378906
2022-11-02,437.30999755859375
2022-11-03,445.1300048828125
2022-11-04,442.760009765625
2022-11-07,440.94000244140625
2022-11-08,449.3399963378906
2022-11-09,445.54998779296875
2022-11-10,490.1000061035156
2022-11-11,521.7000122070312
2022-11-14,503.05999755859375
2022-11-15,495.75
2022-11-16,481.4599914550781
2022-11-17,475.6600036621094
2022-11-18,473.80999755859375
2022-11-21,474.2200012207031
