Date,EXPE
2022-02-28,196.11000061035156
2022-03-01,187.85000610351562
2022-03-02,192.22999572753906
2022-03-03,185.25
2022-03-04,176.22999572753906
2022-03-07,157.00999450683594
2022-03-08,165.69000244140625
2022-03-09,174.67999267578125
2022-03-10,178.91000366210938
2022-03-11,179.30999755859375
2022-03-14,179.11000061035156
2022-03-15,188.5
2022-03-16,192.88999938964844
2022-03-17,192.0
2022-03-18,193.17999267578125
2022-03-21,190.17999267578125
2022-03-22,191.6999969482422
2022-03-23,186.94000244140625
2022-03-24,195.02000427246094
2022-03-25,192.16000366210938
2022-03-28,193.19000244140625
2022-03-29,195.41000366210938
2022-03-30,192.1699981689453
2022-03-31,195.6699981689453
2022-04-01,198.1999969482422
2022-04-04,197.2899932861328
2022-04-05,190.42999267578125
2022-04-06,181.4600067138672
2022-04-07,181.97999572753906
2022-04-08,179.7899932861328
2022-04-11,177.3000030517578
2022-04-12,178.61000061035156
2022-04-13,187.3300018310547
2022-04-14,191.5500030517578
2022-04-18,185.83999633789062
2022-04-19,186.33999633789062
2022-04-20,185.8699951171875
2022-04-21,183.38999938964844
2022-04-22,181.64999389648438
2022-04-25,186.77000427246094
2022-04-26,178.5800018310547
2022-04-27,182.52000427246094
2022-04-28,183.39999389648438
2022-04-29,174.75
2022-05-02,174.80999755859375
2022-05-03,150.30999755859375
2022-05-04,149.55999755859375
2022-05-05,139.5
2022-05-06,132.3300018310547
2022-05-09,127.79000091552734
2022-05-10,132.33999633789062
2022-05-11,133.22000122070312
2022-05-12,128.33999633789062
2022-05-13,131.77999877929688
2022-05-16,123.8499984741211
2022-05-17,122.83000183105469
2022-05-18,120.1500015258789
2022-05-19,126.56999969482422
2022-05-20,124.58999633789062
2022-05-23,121.62999725341797
2022-05-24,116.76000213623047
2022-05-25,123.7300033569336
2022-05-26,130.2899932861328
2022-05-27,130.97000122070312
2022-05-31,129.3300018310547
2022-06-01,126.2300033569336
2022-06-02,134.19000244140625
2022-06-03,131.66000366210938
2022-06-06,133.35000610351562
2022-06-07,131.14999389648438
2022-06-08,129.47000122070312
2022-06-09,121.98999786376953
2022-06-10,115.16000366210938
2022-06-13,106.26000213623047
2022-06-14,101.93000030517578
2022-06-15,104.41000366210938
2022-06-16,96.33000183105469
2022-06-17,100.37000274658203
2022-06-21,98.77999877929688
2022-06-22,97.13999938964844
2022-06-23,94.0199966430664
2022-06-24,102.33999633789062
2022-06-27,101.19999694824219
2022-06-28,97.87000274658203
2022-06-29,95.9800033569336
2022-06-30,94.83000183105469
2022-07-01,96.4000015258789
2022-07-05,97.16999816894531
2022-07-06,93.87000274658203
2022-07-07,96.69999694824219
2022-07-08,94.87000274658203
2022-07-11,91.16000366210938
2022-07-12,92.02999877929688
2022-07-13,92.9800033569336
2022-07-14,89.43000030517578
2022-07-15,92.3499984741211
2022-07-18,94.29000091552734
2022-07-19,100.31999969482422
2022-07-20,103.18000030517578
2022-07-21,102.37000274658203
2022-07-22,99.37999725341797
2022-07-25,100.75
2022-07-26,97.7300033569336
2022-07-27,103.76000213623047
2022-07-28,105.30999755859375
2022-07-29,106.05000305175781
2022-08-01,102.79000091552734
2022-08-02,103.88999938964844
2022-08-03,105.6500015258789
2022-08-04,102.19999694824219
2022-08-05,102.5199966430664
2022-08-08,105.37999725341797
2022-08-09,103.6500015258789
2022-08-10,109.2300033569336
2022-08-11,110.12999725341797
2022-08-12,113.51000213623047
2022-08-15,113.16999816894531
2022-08-16,117.16000366210938
2022-08-17,114.01000213623047
2022-08-18,113.66000366210938
2022-08-19,108.79000091552734
2022-08-22,105.87999725341797
2022-08-23,105.97000122070312
2022-08-24,106.80000305175781
2022-08-25,108.41999816894531
2022-08-26,103.41000366210938
2022-08-29,103.33999633789062
2022-08-30,102.63999938964844
2022-08-31,102.6500015258789
2022-09-01,101.7300033569336
2022-09-02,102.0999984741211
2022-09-06,100.8499984741211
2022-09-07,104.18000030517578
2022-09-08,104.9800033569336
2022-09-09,109.16999816894531
2022-09-12,111.73999786376953
2022-09-13,108.19000244140625
2022-09-14,110.19000244140625
2022-09-15,107.79000091552734
2022-09-16,101.88999938964844
2022-09-19,102.48999786376953
2022-09-20,104.62999725341797
2022-09-21,99.01000213623047
2022-09-22,92.0
2022-09-23,91.26000213623047
2022-09-26,89.69000244140625
2022-09-27,91.81999969482422
2022-09-28,95.91000366210938
2022-09-29,94.20999908447266
2022-09-30,93.69000244140625
2022-10-03,94.4000015258789
2022-10-04,102.0999984741211
2022-10-05,98.98999786376953
2022-10-06,95.61000061035156
2022-10-07,93.91999816894531
2022-10-10,92.69000244140625
2022-10-11,91.81999969482422
2022-10-12,93.13999938964844
2022-10-13,91.47000122070312
2022-10-14,90.2699966430664
2022-10-17,95.27999877929688
2022-10-18,98.11000061035156
2022-10-19,96.12000274658203
2022-10-20,93.1500015258789
2022-10-21,97.2699966430664
2022-10-24,95.86000061035156
2022-10-25,98.70999908447266
2022-10-26,96.7699966430664
2022-10-27,96.56999969482422
2022-10-28,96.75
2022-10-31,93.47000122070312
2022-11-01,95.66000366210938
2022-11-02,90.33999633789062
2022-11-03,87.62999725341797
2022-11-04,92.62999725341797
2022-11-07,89.58999633789062
2022-11-08,89.69999694824219
2022-11-09,89.05999755859375
2022-11-10,99.04000091552734
2022-11-11,102.79000091552734
2022-11-14,98.61000061035156
2022-11-15,99.94000244140625
2022-11-16,97.44999694824219
2022-11-17,97.26000213623047
2022-11-18,98.30999755859375
2022-11-21,97.06999969482422
2022-11-22,100.27999877929688
2022-11-23,100.87999725341797
