Date,RGEN
2022-02-28,196.6999969482422
2022-03-01,194.05999755859375
2022-03-02,195.00999450683594
2022-03-03,188.80999755859375
2022-03-04,178.8000030517578
2022-03-07,163.66000366210938
2022-03-08,161.19000244140625
2022-03-09,173.69000244140625
2022-03-10,172.0
2022-03-11,167.02000427246094
2022-03-14,165.3000030517578
2022-03-15,169.82000732421875
2022-03-16,178.64999389648438
2022-03-17,180.88999938964844
2022-03-18,191.42999267578125
2022-03-21,188.07000732421875
2022-03-22,183.88999938964844
2022-03-23,176.7899932861328
2022-03-24,179.66000366210938
2022-03-25,180.5500030517578
2022-03-28,179.57000732421875
2022-03-29,184.32000732421875
2022-03-30,188.55999755859375
2022-03-31,188.08999633789062
2022-04-01,188.02000427246094
2022-04-04,186.91000366210938
2022-04-05,182.05999755859375
2022-04-06,177.9600067138672
2022-04-07,180.86000061035156
2022-04-08,169.97999572753906
2022-04-11,163.14999389648438
2022-04-12,156.7899932861328
2022-04-13,160.16000366210938
2022-04-14,157.6699981689453
2022-04-18,152.4499969482422
2022-04-19,154.0800018310547
2022-04-20,156.19000244140625
2022-04-21,153.47000122070312
2022-04-22,145.60000610351562
2022-04-25,148.63999938964844
2022-04-26,142.55999755859375
2022-04-27,157.50999450683594
2022-04-28,153.63999938964844
2022-04-29,157.24000549316406
2022-05-02,158.82000732421875
2022-05-03,161.49000549316406
2022-05-04,167.74000549316406
2022-05-05,158.50999450683594
2022-05-06,156.97000122070312
2022-05-09,145.5
2022-05-10,147.69000244140625
2022-05-11,141.92999267578125
2022-05-12,144.07000732421875
2022-05-13,150.39999389648438
2022-05-16,149.9600067138672
2022-05-17,154.67999267578125
2022-05-18,150.5500030517578
2022-05-19,154.6300048828125
2022-05-20,154.52999877929688
2022-05-23,153.38999938964844
2022-05-24,151.42999267578125
2022-05-25,154.17999267578125
2022-05-26,159.1699981689453
2022-05-27,170.0399932861328
2022-05-31,164.47000122070312
2022-06-01,166.6999969482422
2022-06-02,172.36000061035156
2022-06-03,165.19000244140625
2022-06-06,165.39999389648438
2022-06-07,169.5
2022-06-08,167.08999633789062
2022-06-09,159.35000610351562
2022-06-10,149.16000366210938
2022-06-13,140.67999267578125
2022-06-14,144.1300048828125
2022-06-15,148.00999450683594
2022-06-16,141.02000427246094
2022-06-17,142.75
2022-06-21,145.85000610351562
2022-06-22,148.7100067138672
2022-06-23,160.3300018310547
2022-06-24,165.8800048828125
2022-06-27,164.8699951171875
2022-06-28,165.42999267578125
2022-06-29,165.85000610351562
2022-06-30,162.39999389648438
2022-07-01,166.52000427246094
2022-07-05,167.67999267578125
2022-07-06,168.4499969482422
2022-07-07,175.8000030517578
2022-07-08,175.5
2022-07-11,172.6199951171875
2022-07-12,161.94000244140625
2022-07-13,165.6699981689453
2022-07-14,162.75
2022-07-15,166.77999877929688
2022-07-18,160.4199981689453
2022-07-19,168.07000732421875
2022-07-20,176.6999969482422
2022-07-21,203.63999938964844
2022-07-22,201.74000549316406
2022-07-25,197.07000732421875
2022-07-26,202.0
2022-07-27,205.7100067138672
2022-07-28,213.10000610351562
2022-07-29,213.36000061035156
2022-08-01,212.55999755859375
2022-08-02,237.3800048828125
2022-08-03,240.39999389648438
2022-08-04,243.3000030517578
2022-08-05,246.27000427246094
2022-08-08,250.4600067138672
2022-08-09,244.85000610351562
2022-08-10,256.2099914550781
2022-08-11,246.49000549316406
2022-08-12,251.35000610351562
2022-08-15,255.72999572753906
2022-08-16,252.38999938964844
2022-08-17,248.5
2022-08-18,241.2100067138672
2022-08-19,237.75
2022-08-22,225.72999572753906
2022-08-23,224.00999450683594
2022-08-24,229.86000061035156
2022-08-25,237.64999389648438
2022-08-26,227.14999389648438
2022-08-29,220.94000244140625
2022-08-30,219.7100067138672
2022-08-31,219.3699951171875
2022-09-01,213.77999877929688
2022-09-02,210.33999633789062
2022-09-06,212.77000427246094
2022-09-07,222.3699951171875
2022-09-08,227.17999267578125
2022-09-09,233.57000732421875
2022-09-12,232.4600067138672
2022-09-13,222.77999877929688
2022-09-14,227.02999877929688
2022-09-15,232.22000122070312
2022-09-16,221.32000732421875
2022-09-19,225.1999969482422
2022-09-20,214.8699951171875
2022-09-21,206.49000549316406
2022-09-22,189.94000244140625
2022-09-23,181.24000549316406
2022-09-26,179.3300018310547
2022-09-27,180.9600067138672
2022-09-28,188.77000427246094
2022-09-29,191.05999755859375
2022-09-30,187.11000061035156
2022-10-03,197.8699951171875
2022-10-04,213.5500030517578
2022-10-05,220.55999755859375
2022-10-06,218.39999389648438
2022-10-07,209.88999938964844
2022-10-10,207.89999389648438
2022-10-11,199.1300048828125
2022-10-12,199.6199951171875
2022-10-13,198.4600067138672
2022-10-14,193.5399932861328
2022-10-17,204.64999389648438
2022-10-18,206.83999633789062
2022-10-19,179.5
2022-10-20,170.9499969482422
2022-10-21,167.02999877929688
2022-10-24,167.94000244140625
2022-10-25,177.1199951171875
2022-10-26,182.1999969482422
2022-10-27,180.7100067138672
2022-10-28,181.99000549316406
2022-10-31,182.49000549316406
2022-11-01,185.5500030517578
2022-11-02,171.52000427246094
2022-11-03,173.4600067138672
2022-11-04,174.36000061035156
2022-11-07,172.0500030517578
2022-11-08,174.75
2022-11-09,174.7100067138672
2022-11-10,189.16000366210938
2022-11-11,199.2899932861328
2022-11-14,200.72000122070312
2022-11-15,210.83999633789062
2022-11-16,190.97000122070312
2022-11-17,174.69000244140625
2022-11-18,175.92999267578125
2022-11-21,174.00999450683594
2022-11-22,171.9199981689453
2022-11-23,172.5800018310547
2022-11-25,171.5800018310547
2022-11-28,171.63999938964844
2022-11-29,167.49000549316406
2022-11-30,178.83999633789062
