Date,CMCSA
2022-02-28,46.7599983215332
2022-03-01,46.38999938964844
2022-03-02,46.380001068115234
2022-03-03,47.119998931884766
2022-03-04,47.209999084472656
2022-03-07,46.29999923706055
2022-03-08,46.130001068115234
2022-03-09,46.119998931884766
2022-03-10,45.38999938964844
2022-03-11,45.02000045776367
2022-03-14,44.970001220703125
2022-03-15,45.540000915527344
2022-03-16,46.22999954223633
2022-03-17,46.47999954223633
2022-03-18,46.90999984741211
2022-03-21,46.66999816894531
2022-03-22,47.220001220703125
2022-03-23,46.52000045776367
2022-03-24,46.79999923706055
2022-03-25,47.130001068115234
2022-03-28,47.529998779296875
2022-03-29,47.779998779296875
2022-03-30,47.689998626708984
2022-03-31,46.81999969482422
2022-04-01,47.70000076293945
2022-04-04,48.11000061035156
2022-04-05,47.869998931884766
2022-04-06,47.72999954223633
2022-04-07,47.150001525878906
2022-04-08,47.41999816894531
2022-04-11,47.61000061035156
2022-04-12,47.25
2022-04-13,47.90999984741211
2022-04-14,47.58000183105469
2022-04-18,46.86000061035156
2022-04-19,48.11000061035156
2022-04-20,47.400001525878906
2022-04-21,46.939998626708984
2022-04-22,45.380001068115234
2022-04-25,45.709999084472656
2022-04-26,44.56999969482422
2022-04-27,44.45000076293945
2022-04-28,41.70000076293945
2022-04-29,39.7599983215332
2022-05-02,40.45000076293945
2022-05-03,40.369998931884766
2022-05-04,41.619998931884766
2022-05-05,40.380001068115234
2022-05-06,40.0
2022-05-09,39.7599983215332
2022-05-10,40.29999923706055
2022-05-11,39.84000015258789
2022-05-12,41.38999938964844
2022-05-13,41.47999954223633
2022-05-16,41.869998931884766
2022-05-17,42.84000015258789
2022-05-18,42.130001068115234
2022-05-19,42.02000045776367
2022-05-20,42.0099983215332
2022-05-23,42.880001068115234
2022-05-24,43.06999969482422
2022-05-25,43.70000076293945
2022-05-26,44.130001068115234
2022-05-27,44.15999984741211
2022-05-31,44.279998779296875
2022-06-01,43.93000030517578
2022-06-02,43.79999923706055
2022-06-03,42.93000030517578
2022-06-06,42.279998779296875
2022-06-07,42.630001068115234
2022-06-08,42.84000015258789
2022-06-09,42.18000030517578
2022-06-10,41.630001068115234
2022-06-13,40.20000076293945
2022-06-14,39.84000015258789
2022-06-15,40.130001068115234
2022-06-16,37.90999984741211
2022-06-17,38.709999084472656
2022-06-21,38.47999954223633
2022-06-22,38.900001525878906
2022-06-23,39.11000061035156
2022-06-24,39.56999969482422
2022-06-27,39.83000183105469
2022-06-28,39.130001068115234
2022-06-29,39.33000183105469
2022-06-30,39.2400016784668
2022-07-01,40.290000915527344
2022-07-05,39.83000183105469
2022-07-06,39.83000183105469
2022-07-07,39.939998626708984
2022-07-08,39.959999084472656
2022-07-11,39.16999816894531
2022-07-12,39.75
2022-07-13,39.880001068115234
2022-07-14,39.58000183105469
2022-07-15,40.900001525878906
2022-07-18,40.540000915527344
2022-07-19,41.310001373291016
2022-07-20,41.81999969482422
2022-07-21,42.27000045776367
2022-07-22,42.599998474121094
2022-07-25,42.470001220703125
2022-07-26,42.720001220703125
2022-07-27,43.369998931884766
2022-07-28,39.40999984741211
2022-07-29,37.52000045776367
2022-08-01,37.5099983215332
2022-08-02,37.68000030517578
2022-08-03,38.47999954223633
2022-08-04,38.93000030517578
2022-08-05,38.27000045776367
2022-08-08,38.59000015258789
2022-08-09,38.15999984741211
2022-08-10,38.959999084472656
2022-08-11,39.400001525878906
2022-08-12,40.0
2022-08-15,40.56999969482422
2022-08-16,40.36000061035156
2022-08-17,39.2599983215332
2022-08-18,38.61000061035156
2022-08-19,38.68000030517578
2022-08-22,37.619998931884766
2022-08-23,37.2400016784668
2022-08-24,37.11000061035156
2022-08-25,37.599998474121094
2022-08-26,36.79999923706055
2022-08-29,36.290000915527344
2022-08-30,35.720001220703125
2022-08-31,36.189998626708984
2022-09-01,36.900001525878906
2022-09-02,35.7599983215332
2022-09-06,34.7400016784668
2022-09-07,34.97999954223633
2022-09-08,34.369998931884766
2022-09-09,35.43000030517578
2022-09-12,35.689998626708984
2022-09-13,33.459999084472656
2022-09-14,34.470001220703125
2022-09-15,34.0
2022-09-16,34.52000045776367
2022-09-19,34.459999084472656
2022-09-20,33.84000015258789
2022-09-21,32.70000076293945
2022-09-22,32.470001220703125
2022-09-23,31.84000015258789
2022-09-26,30.889999389648438
2022-09-27,30.260000228881836
2022-09-28,31.15999984741211
2022-09-29,30.43000030517578
2022-09-30,29.329999923706055
2022-10-03,30.6299991607666
2022-10-04,30.989999771118164
2022-10-05,30.739999771118164
2022-10-06,30.049999237060547
2022-10-07,29.270000457763672
2022-10-10,29.1299991607666
2022-10-11,28.68000030517578
2022-10-12,28.690000534057617
2022-10-13,30.229999542236328
2022-10-14,30.049999237060547
2022-10-17,30.81999969482422
2022-10-18,30.75
2022-10-19,30.389999389648438
2022-10-20,30.459999084472656
2022-10-21,30.479999542236328
2022-10-24,31.079999923706055
2022-10-25,31.559999465942383
2022-10-26,31.5
2022-10-27,31.969999313354492
2022-10-28,31.950000762939453
2022-10-31,31.739999771118164
2022-11-01,31.559999465942383
2022-11-02,30.90999984741211
2022-11-03,30.3799991607666
2022-11-04,31.0
2022-11-07,31.600000381469727
2022-11-08,31.899999618530273
2022-11-09,31.389999389648438
2022-11-10,32.77000045776367
2022-11-11,34.02000045776367
2022-11-14,34.130001068115234
2022-11-15,34.279998779296875
2022-11-16,33.97999954223633
2022-11-17,34.2599983215332
2022-11-18,34.5
2022-11-21,34.349998474121094
2022-11-22,35.099998474121094
2022-11-23,35.529998779296875
