Date,MELI
2022-02-28,1126.6500244140625
2022-03-01,1124.52001953125
2022-03-02,1140.9000244140625
2022-03-03,1096.760009765625
2022-03-04,1055.780029296875
2022-03-07,957.8699951171875
2022-03-08,914.780029296875
2022-03-09,984.760009765625
2022-03-10,931.2899780273438
2022-03-11,891.6900024414062
2022-03-14,882.469970703125
2022-03-15,952.3400268554688
2022-03-16,1075.969970703125
2022-03-17,1149.0899658203125
2022-03-18,1185.530029296875
2022-03-21,1153.8399658203125
2022-03-22,1215.0699462890625
2022-03-23,1212.449951171875
2022-03-24,1236.43994140625
2022-03-25,1166.3299560546875
2022-03-28,1225.1600341796875
2022-03-29,1256.5
2022-03-30,1209.8499755859375
2022-03-31,1189.47998046875
2022-04-01,1224.1300048828125
2022-04-04,1265.010009765625
2022-04-05,1218.1500244140625
2022-04-06,1163.969970703125
2022-04-07,1173.1400146484375
2022-04-08,1160.800048828125
2022-04-11,1125.68994140625
2022-04-12,1115.97998046875
2022-04-13,1135.75
2022-04-14,1060.3399658203125
2022-04-18,1070.0400390625
2022-04-19,1130.3499755859375
2022-04-20,1080.1600341796875
2022-04-21,1014.010009765625
2022-04-22,979.8200073242188
2022-04-25,1041.9200439453125
2022-04-26,1019.8400268554688
2022-04-27,1024.739990234375
2022-04-28,1040.0
2022-04-29,973.6300048828125
2022-05-02,1002.7899780273438
2022-05-03,996.6400146484375
2022-05-04,1023.2100219726562
2022-05-05,913.219970703125
2022-05-06,927.5499877929688
2022-05-09,770.989990234375
2022-05-10,774.4400024414062
2022-05-11,679.6799926757812
2022-05-12,722.9299926757812
2022-05-13,794.9600219726562
2022-05-16,787.8099975585938
2022-05-17,834.8800048828125
2022-05-18,749.2999877929688
2022-05-19,801.5700073242188
2022-05-20,775.6500244140625
2022-05-23,774.2999877929688
2022-05-24,699.8599853515625
2022-05-25,723.0
2022-05-26,783.4400024414062
2022-05-27,811.4400024414062
2022-05-31,785.8800048828125
2022-06-01,762.239990234375
2022-06-02,836.739990234375
2022-06-03,788.9000244140625
2022-06-06,803.989990234375
2022-06-07,824.6799926757812
2022-06-08,824.6199951171875
2022-06-09,748.4099731445312
2022-06-10,691.6900024414062
2022-06-13,626.9400024414062
2022-06-14,616.4000244140625
2022-06-15,672.6900024414062
2022-06-16,612.7000122070312
2022-06-17,635.219970703125
2022-06-21,656.7000122070312
2022-06-22,677.4000244140625
2022-06-23,698.6400146484375
2022-06-24,739.4600219726562
2022-06-27,717.3099975585938
2022-06-28,665.0
2022-06-29,660.1300048828125
2022-06-30,636.8699951171875
2022-07-01,659.9500122070312
2022-07-05,713.5700073242188
2022-07-06,704.5499877929688
2022-07-07,721.6199951171875
2022-07-08,708.6300048828125
2022-07-11,659.9199829101562
2022-07-12,653.6300048828125
2022-07-13,655.75
2022-07-14,655.6900024414062
2022-07-15,689.989990234375
2022-07-18,691.8400268554688
2022-07-19,724.75
2022-07-20,779.6799926757812
2022-07-21,789.2000122070312
2022-07-22,763.9199829101562
2022-07-25,762.780029296875
2022-07-26,727.7899780273438
2022-07-27,791.6699829101562
2022-07-28,803.75
2022-07-29,813.7100219726562
2022-08-01,813.969970703125
2022-08-02,837.5900268554688
2022-08-03,890.8699951171875
2022-08-04,1034.8299560546875
2022-08-05,1024.81005859375
2022-08-08,1024.25
2022-08-09,995.5
2022-08-10,1064.22998046875
2022-08-11,1032.469970703125
2022-08-12,1081.0799560546875
2022-08-15,1082.6600341796875
2022-08-16,1053.75
2022-08-17,997.9000244140625
2022-08-18,977.52001953125
2022-08-19,909.760009765625
2022-08-22,878.0900268554688
2022-08-23,887.0399780273438
2022-08-24,898.0
2022-08-25,919.1799926757812
2022-08-26,877.7999877929688
2022-08-29,875.1699829101562
2022-08-30,862.0999755859375
2022-08-31,855.3599853515625
2022-09-01,858.7899780273438
2022-09-02,855.9099731445312
2022-09-06,857.9299926757812
2022-09-07,887.6900024414062
2022-09-08,922.5399780273438
2022-09-09,970.989990234375
2022-09-12,1002.010009765625
2022-09-13,943.9000244140625
2022-09-14,960.3300170898438
2022-09-15,965.780029296875
2022-09-16,919.1099853515625
2022-09-19,933.0999755859375
2022-09-20,905.6900024414062
2022-09-21,887.5
2022-09-22,850.0
2022-09-23,815.010009765625
2022-09-26,799.5800170898438
2022-09-27,804.6900024414062
2022-09-28,865.239990234375
2022-09-29,829.6799926757812
