Date,CYTK
2022-02-28,35.31999969482422
2022-03-01,35.95000076293945
2022-03-02,37.630001068115234
2022-03-03,36.560001373291016
2022-03-04,35.790000915527344
2022-03-07,36.83000183105469
2022-03-08,35.70000076293945
2022-03-09,38.130001068115234
2022-03-10,37.869998931884766
2022-03-11,37.5
2022-03-14,34.689998626708984
2022-03-15,33.939998626708984
2022-03-16,34.720001220703125
2022-03-17,37.04999923706055
2022-03-18,37.31999969482422
2022-03-21,35.56999969482422
2022-03-22,36.29999923706055
2022-03-23,37.18000030517578
2022-03-24,37.66999816894531
2022-03-25,36.470001220703125
2022-03-28,36.7599983215332
2022-03-29,38.41999816894531
2022-03-30,36.529998779296875
2022-03-31,36.810001373291016
2022-04-01,38.380001068115234
2022-04-04,40.040000915527344
2022-04-05,40.349998474121094
2022-04-06,42.540000915527344
2022-04-07,43.189998626708984
2022-04-08,41.689998626708984
2022-04-11,41.06999969482422
2022-04-12,40.779998779296875
2022-04-13,40.970001220703125
2022-04-14,39.560001373291016
2022-04-18,38.25
2022-04-19,37.93000030517578
2022-04-20,37.810001373291016
2022-04-21,36.599998474121094
2022-04-22,35.90999984741211
2022-04-25,36.5
2022-04-26,33.93000030517578
2022-04-27,34.689998626708984
2022-04-28,35.75
2022-04-29,39.869998931884766
2022-05-02,39.93000030517578
2022-05-03,40.0
2022-05-04,41.029998779296875
2022-05-05,40.34000015258789
2022-05-06,38.060001373291016
2022-05-09,34.970001220703125
2022-05-10,37.88999938964844
2022-05-11,36.900001525878906
2022-05-12,38.349998474121094
2022-05-13,42.0099983215332
2022-05-16,43.400001525878906
2022-05-17,42.150001525878906
2022-05-18,38.650001525878906
2022-05-19,38.790000915527344
2022-05-20,39.7599983215332
2022-05-23,39.849998474121094
2022-05-24,38.2400016784668
2022-05-25,38.75
2022-05-26,38.9900016784668
2022-05-27,41.869998931884766
2022-05-31,39.900001525878906
2022-06-01,40.470001220703125
2022-06-02,41.36000061035156
2022-06-03,42.88999938964844
2022-06-06,39.40999984741211
2022-06-07,41.4900016784668
2022-06-08,41.68000030517578
2022-06-09,38.84000015258789
2022-06-10,39.5
2022-06-13,39.290000915527344
2022-06-14,39.18000030517578
2022-06-15,41.11000061035156
2022-06-16,39.650001525878906
2022-06-17,40.58000183105469
2022-06-21,43.060001373291016
2022-06-22,42.970001220703125
2022-06-23,47.470001220703125
2022-06-24,47.25
2022-06-27,48.91999816894531
2022-06-28,47.29999923706055
2022-06-29,48.7400016784668
2022-06-30,39.290000915527344
2022-07-01,41.0
2022-07-05,43.900001525878906
2022-07-06,44.13999938964844
2022-07-07,45.349998474121094
2022-07-08,46.5
2022-07-11,45.34000015258789
2022-07-12,44.599998474121094
2022-07-13,44.66999816894531
2022-07-14,43.16999816894531
2022-07-15,40.5
2022-07-18,38.540000915527344
2022-07-19,39.97999954223633
2022-07-20,38.83000183105469
2022-07-21,39.5
2022-07-22,38.7400016784668
2022-07-25,39.06999969482422
2022-07-26,39.470001220703125
2022-07-27,42.310001373291016
2022-07-28,42.470001220703125
2022-07-29,42.33000183105469
2022-08-01,41.11000061035156
2022-08-02,42.38999938964844
2022-08-03,42.84000015258789
2022-08-04,46.720001220703125
2022-08-05,51.81999969482422
2022-08-08,53.540000915527344
2022-08-09,52.5
2022-08-10,52.7400016784668
2022-08-11,49.470001220703125
2022-08-12,50.29999923706055
2022-08-15,50.83000183105469
2022-08-16,50.810001373291016
2022-08-17,50.56999969482422
2022-08-18,50.79999923706055
2022-08-19,50.68000030517578
2022-08-22,48.65999984741211
2022-08-23,52.0
2022-08-24,53.2599983215332
2022-08-25,52.25
2022-08-26,51.02000045776367
2022-08-29,51.16999816894531
2022-08-30,51.029998779296875
2022-08-31,52.959999084472656
2022-09-01,53.7400016784668
2022-09-02,54.060001373291016
2022-09-06,49.16999816894531
2022-09-07,50.9900016784668
2022-09-08,54.04999923706055
2022-09-09,54.52000045776367
2022-09-12,54.459999084472656
2022-09-13,53.45000076293945
2022-09-14,54.29999923706055
2022-09-15,54.5099983215332
2022-09-16,53.349998474121094
2022-09-19,52.310001373291016
2022-09-20,53.02000045776367
2022-09-21,51.54999923706055
2022-09-22,51.54999923706055
2022-09-23,50.790000915527344
2022-09-26,47.91999816894531
2022-09-27,49.22999954223633
2022-09-28,50.029998779296875
2022-09-29,48.93000030517578
2022-09-30,48.45000076293945
2022-10-03,51.11000061035156
2022-10-04,50.119998931884766
2022-10-05,49.380001068115234
2022-10-06,50.38999938964844
2022-10-07,47.7599983215332
2022-10-10,47.22999954223633
2022-10-11,48.2400016784668
2022-10-12,47.959999084472656
2022-10-13,48.63999938964844
2022-10-14,45.95000076293945
2022-10-17,48.119998931884766
2022-10-18,49.08000183105469
2022-10-19,47.099998474121094
2022-10-20,47.349998474121094
2022-10-21,46.41999816894531
2022-10-24,45.08000183105469
2022-10-25,46.220001220703125
2022-10-26,43.25
2022-10-27,42.59000015258789
2022-10-28,43.2400016784668
2022-10-31,43.65999984741211
2022-11-01,42.9900016784668
2022-11-02,41.869998931884766
2022-11-03,39.75
2022-11-04,37.75
2022-11-07,36.5099983215332
2022-11-08,38.25
2022-11-09,36.650001525878906
2022-11-10,39.119998931884766
2022-11-11,39.650001525878906
2022-11-14,39.869998931884766
2022-11-15,39.95000076293945
2022-11-16,40.06999969482422
2022-11-17,40.33000183105469
2022-11-18,41.13999938964844
2022-11-21,39.93000030517578
2022-11-22,40.04999923706055
2022-11-23,40.5099983215332
2022-11-25,40.68000030517578
2022-11-28,40.09000015258789
2022-11-29,40.459999084472656
