Date,KSPI
2024-01-19,95.97000122070312
2024-01-22,91.13999938964844
2024-01-23,91.0
2024-01-24,91.12000274658203
2024-01-25,90.70999908447266
2024-01-26,90.66000366210938
2024-01-29,92.5
2024-01-30,91.0999984741211
2024-01-31,91.44999694824219
2024-02-01,91.88999938964844
2024-02-02,92.0999984741211
2024-02-05,90.87000274658203
2024-02-06,90.94999694824219
2024-02-07,90.0
2024-02-08,87.63999938964844
2024-02-09,89.61000061035156
2024-02-12,87.0199966430664
2024-02-13,87.69000244140625
2024-02-14,91.0
2024-02-15,94.33999633789062
2024-02-16,95.55000305175781
2024-02-20,100.30999755859375
2024-02-21,99.88999938964844
2024-02-22,100.13999938964844
2024-02-23,103.47000122070312
2024-02-26,103.33000183105469
2024-02-27,104.2300033569336
2024-02-28,103.48999786376953
2024-02-29,103.98999786376953
2024-03-01,106.2300033569336
2024-03-04,106.58999633789062
2024-03-05,104.30000305175781
2024-03-06,109.12000274658203
2024-03-07,105.68000030517578
2024-03-08,106.31999969482422
2024-03-11,105.16000366210938
2024-03-12,109.83999633789062
2024-03-13,111.11499786376953
2024-03-14,114.87000274658203
2024-03-15,112.6500015258789
2024-03-18,114.05000305175781
2024-03-19,114.97000122070312
2024-03-20,119.02999877929688
2024-03-21,120.05000305175781
2024-03-22,121.88999938964844
2024-03-25,120.79000091552734
2024-03-26,123.88999938964844
2024-03-27,125.91999816894531
2024-03-28,128.63999938964844
2024-04-01,130.97999572753906
2024-04-02,131.83999633789062
2024-04-03,135.13999938964844
2024-04-04,131.85000610351562
2024-04-05,132.75999450683594
2024-04-08,123.5
2024-04-09,118.16000366210938
2024-04-10,116.16000366210938
2024-04-11,116.0999984741211
2024-04-12,111.91000366210938
2024-04-15,111.2300033569336
2024-04-16,112.19999694824219
2024-04-17,114.05999755859375
2024-04-18,112.2300033569336
2024-04-19,115.72000122070312
2024-04-22,115.18000030517578
2024-04-23,122.98999786376953
2024-04-24,116.19999694824219
2024-04-25,116.31999969482422
2024-04-26,120.12000274658203
2024-04-29,116.06999969482422
2024-04-30,117.76000213623047
2024-05-01,115.45999908447266
2024-05-02,116.52999877929688
2024-05-03,118.45999908447266
2024-05-06,120.33000183105469
2024-05-07,120.5199966430664
2024-05-08,118.2699966430664
2024-05-09,122.08999633789062
2024-05-10,120.19999694824219
2024-05-13,118.56999969482422
2024-05-14,119.97000122070312
2024-05-15,116.21499633789062
2024-05-16,119.0199966430664
2024-05-17,117.62000274658203
2024-05-20,116.0999984741211
2024-05-21,115.80000305175781
2024-05-22,118.08000183105469
2024-05-23,121.62000274658203
2024-05-24,122.19999694824219
2024-05-28,124.36000061035156
2024-05-29,123.9000015258789
2024-05-30,124.98999786376953
2024-05-31,126.4000015258789
2024-06-03,128.33999633789062
2024-06-04,124.9800033569336
2024-06-05,127.01000213623047
2024-06-06,128.41000366210938
2024-06-07,126.55999755859375
2024-06-10,125.93000030517578
2024-06-11,126.06999969482422
2024-06-12,129.1999969482422
2024-06-13,129.07000732421875
2024-06-14,126.68000030517578
2024-06-17,127.29000091552734
2024-06-18,129.1199951171875
2024-06-20,128.99000549316406
2024-06-21,129.4600067138672
2024-06-24,130.25999450683594
2024-06-25,133.02999877929688
2024-06-26,135.9199981689453
2024-06-27,132.27999877929688
2024-06-28,129.00999450683594
2024-07-01,128.63999938964844
2024-07-02,129.80999755859375
2024-07-03,134.19000244140625
2024-07-05,132.52999877929688
2024-07-08,131.8300018310547
2024-07-09,127.95999908447266
2024-07-10,128.67999267578125
2024-07-11,130.92999267578125
2024-07-12,133.25
2024-07-15,134.42999267578125
2024-07-16,138.65499877929688
2024-07-17,136.83999633789062
2024-07-18,138.72000122070312
2024-07-19,137.8000030517578
2024-07-22,130.4499969482422
2024-07-23,131.7100067138672
2024-07-24,131.52000427246094
2024-07-25,129.91000366210938
2024-07-26,130.75
2024-07-29,131.94000244140625
2024-07-30,129.5
2024-07-31,130.1300048828125
2024-08-01,124.31999969482422
2024-08-02,120.0
2024-08-05,116.0
2024-08-06,118.48999786376953
2024-08-07,118.5
2024-08-08,120.19000244140625
2024-08-09,120.33999633789062
2024-08-12,122.91999816894531
2024-08-13,125.4800033569336
2024-08-14,126.19000244140625
2024-08-15,126.4000015258789
2024-08-16,126.54000091552734
2024-08-19,128.1199951171875
2024-08-20,124.91999816894531
2024-08-21,127.08000183105469
2024-08-22,124.37000274658203
2024-08-23,127.58000183105469
2024-08-26,125.2699966430664
2024-08-27,127.26000213623047
2024-08-28,122.6500015258789
2024-08-29,129.30999755859375
2024-08-30,130.92999267578125
2024-09-03,125.5
2024-09-04,126.66000366210938
2024-09-05,128.3699951171875
2024-09-06,123.33999633789062
2024-09-09,123.30000305175781
2024-09-10,122.91999816894531
2024-09-11,122.05000305175781
2024-09-12,124.87000274658203
2024-09-13,123.94999694824219
2024-09-16,122.22000122070312
2024-09-17,123.5199966430664
2024-09-18,119.01000213623047
2024-09-19,99.80999755859375
2024-09-20,97.0999984741211
2024-09-23,99.34500122070312
2024-09-24,104.47000122070312
2024-09-25,106.23999786376953
2024-09-26,104.11000061035156
2024-09-27,102.98999786376953
2024-09-30,105.98999786376953
2024-10-01,103.62000274658203
2024-10-02,108.37999725341797
2024-10-03,106.08000183105469
2024-10-04,105.56999969482422
2024-10-07,103.69000244140625
2024-10-08,102.93000030517578
2024-10-09,103.11000061035156
2024-10-10,108.11000061035156
2024-10-11,108.66000366210938
2024-10-14,108.27999877929688
2024-10-15,104.8499984741211
2024-10-16,108.38999938964844
2024-10-17,106.87999725341797
2024-10-18,115.19999694824219
2024-10-21,110.94999694824219
2024-10-22,112.7300033569336
2024-10-23,110.0
2024-10-24,110.22000122070312
2024-10-25,108.44000244140625
2024-10-28,111.61000061035156
2024-10-29,109.0
2024-10-30,113.66999816894531
2024-10-31,110.13999938964844
2024-11-01,108.83000183105469
2024-11-04,110.11000061035156
2024-11-05,111.0
2024-11-06,115.54000091552734
2024-11-07,112.9000015258789
2024-11-08,110.87999725341797
2024-11-11,112.08999633789062
2024-11-12,113.8499984741211
2024-11-13,112.5199966430664
2024-11-14,110.23999786376953
2024-11-15,109.9800033569336
2024-11-18,110.20999908447266
2024-11-19,109.80000305175781
2024-11-20,106.16999816894531
2024-11-21,103.83000183105469
