Date,OS
2024-07-24,26.850000381469727
2024-07-25,26.959999084472656
2024-07-26,28.0
2024-07-29,27.850000381469727
2024-07-30,28.049999237060547
2024-07-31,27.850000381469727
2024-08-01,27.770000457763672
2024-08-02,27.489999771118164
2024-08-05,26.84000015258789
2024-08-06,27.260000228881836
2024-08-07,27.040000915527344
2024-08-08,27.25
2024-08-09,27.350000381469727
2024-08-12,27.350000381469727
2024-08-13,27.520000457763672
2024-08-14,28.309999465942383
2024-08-15,29.020000457763672
2024-08-16,28.709999084472656
2024-08-19,29.299999237060547
2024-08-20,29.489999771118164
2024-08-21,29.700000762939453
2024-08-22,28.90999984741211
2024-08-23,29.600000381469727
2024-08-26,29.90999984741211
2024-08-27,29.40999984741211
2024-08-28,29.549999237060547
2024-08-29,30.3700008392334
2024-08-30,31.0
2024-09-03,30.760000228881836
2024-09-04,29.56999969482422
2024-09-05,29.020000457763672
2024-09-06,28.510000228881836
2024-09-09,27.889999389648438
2024-09-10,28.06999969482422
2024-09-11,28.8799991607666
2024-09-12,29.209999084472656
2024-09-13,29.8700008392334
2024-09-16,30.40999984741211
2024-09-17,30.399999618530273
2024-09-18,30.719999313354492
2024-09-19,30.649999618530273
2024-09-20,32.560001373291016
2024-09-23,34.02000045776367
2024-09-24,33.959999084472656
2024-09-25,33.95000076293945
2024-09-26,33.720001220703125
2024-09-27,33.900001525878906
2024-09-30,33.900001525878906
2024-10-01,32.56999969482422
2024-10-02,32.86000061035156
2024-10-03,32.5099983215332
2024-10-04,31.889999389648438
2024-10-07,30.1200008392334
2024-10-08,29.579999923706055
2024-10-09,29.1299991607666
2024-10-10,28.450000762939453
2024-10-11,29.790000915527344
2024-10-14,30.399999618530273
2024-10-15,29.940000534057617
2024-10-16,29.5
2024-10-17,29.229999542236328
2024-10-18,28.950000762939453
2024-10-21,29.600000381469727
2024-10-22,30.1200008392334
2024-10-23,30.780000686645508
2024-10-24,31.100000381469727
2024-10-25,31.700000762939453
2024-10-28,32.65999984741211
2024-10-29,31.860000610351562
2024-10-30,30.579999923706055
2024-10-31,29.520000457763672
2024-11-01,29.969999313354492
2024-11-04,29.100000381469727
2024-11-05,30.0
2024-11-06,31.780000686645508
2024-11-07,33.43000030517578
2024-11-08,32.34000015258789
2024-11-11,34.33000183105469
2024-11-12,33.5
2024-11-13,34.45000076293945
2024-11-14,33.529998779296875
2024-11-15,30.1299991607666
2024-11-18,30.229999542236328
2024-11-19,30.420000076293945
2024-11-20,30.5
2024-11-21,31.049999237060547
