Date,WAY
2024-06-07,20.700000762939453
2024-06-10,22.100000381469727
2024-06-11,22.719999313354492
2024-06-12,21.700000762939453
2024-06-13,22.149999618530273
2024-06-14,22.0
2024-06-17,21.6200008392334
2024-06-18,21.0
2024-06-20,21.600000381469727
2024-06-21,21.670000076293945
2024-06-24,21.770000457763672
2024-06-25,21.520000457763672
2024-06-26,21.549999237060547
2024-06-27,21.440000534057617
2024-06-28,21.5
2024-07-01,21.510000228881836
2024-07-02,21.510000228881836
2024-07-03,21.5
2024-07-05,21.520000457763672
2024-07-08,21.219999313354492
2024-07-09,20.670000076293945
2024-07-10,20.8700008392334
2024-07-11,21.469999313354492
2024-07-12,21.040000915527344
2024-07-15,21.3799991607666
2024-07-16,22.43000030517578
2024-07-17,22.399999618530273
2024-07-18,22.399999618530273
2024-07-19,22.559999465942383
2024-07-22,22.979999542236328
2024-07-23,23.790000915527344
2024-07-24,23.15999984741211
2024-07-25,23.1200008392334
2024-07-26,23.469999313354492
2024-07-29,23.030000686645508
2024-07-30,23.31999969482422
2024-07-31,23.0
2024-08-01,22.950000762939453
2024-08-02,22.670000076293945
2024-08-05,21.579999923706055
2024-08-06,21.889999389648438
2024-08-07,21.579999923706055
2024-08-08,23.84000015258789
2024-08-09,24.489999771118164
2024-08-12,24.440000534057617
2024-08-13,24.899999618530273
2024-08-14,24.690000534057617
2024-08-15,25.100000381469727
2024-08-16,25.770000457763672
2024-08-19,26.65999984741211
2024-08-20,26.56999969482422
2024-08-21,26.200000762939453
2024-08-22,26.25
2024-08-23,26.389999389648438
2024-08-26,26.459999084472656
2024-08-27,26.420000076293945
2024-08-28,26.670000076293945
2024-08-29,26.670000076293945
2024-08-30,27.219999313354492
2024-09-03,26.520000457763672
2024-09-04,26.549999237060547
2024-09-05,26.8700008392334
2024-09-06,27.34000015258789
2024-09-09,26.809999465942383
2024-09-10,26.329999923706055
2024-09-11,26.40999984741211
2024-09-12,26.389999389648438
2024-09-13,26.829999923706055
2024-09-16,27.280000686645508
2024-09-17,26.940000534057617
2024-09-18,26.850000381469727
2024-09-19,27.010000228881836
2024-09-20,27.329999923706055
2024-09-23,27.329999923706055
2024-09-24,27.079999923706055
2024-09-25,27.290000915527344
2024-09-26,27.93000030517578
2024-09-27,27.780000686645508
2024-09-30,27.889999389648438
2024-10-01,27.030000686645508
2024-10-02,26.959999084472656
2024-10-03,26.799999237060547
2024-10-04,27.030000686645508
2024-10-07,27.59000015258789
2024-10-08,27.399999618530273
2024-10-09,27.93000030517578
2024-10-10,27.8799991607666
2024-10-11,27.8799991607666
2024-10-14,27.739999771118164
2024-10-15,27.579999923706055
2024-10-16,27.75
2024-10-17,27.59000015258789
2024-10-18,27.8700008392334
2024-10-21,27.420000076293945
2024-10-22,27.719999313354492
2024-10-23,27.510000228881836
2024-10-24,27.15999984741211
2024-10-25,27.614999771118164
2024-10-28,27.899999618530273
2024-10-29,28.110000610351562
2024-10-30,28.56999969482422
2024-10-31,28.530000686645508
2024-11-01,28.770000457763672
2024-11-04,28.649999618530273
2024-11-05,29.010000228881836
2024-11-06,29.434999465942383
2024-11-07,31.690000534057617
2024-11-08,31.6200008392334
2024-11-11,31.350000381469727
2024-11-12,30.959999084472656
2024-11-13,30.815000534057617
2024-11-14,30.68000030517578
2024-11-15,30.299999237060547
2024-11-18,30.3700008392334
2024-11-19,31.229999542236328
2024-11-20,30.920000076293945
2024-11-21,31.139999389648438
