Date,LI
2022-02-28,30.450000762939453
2022-03-01,30.420000076293945
2022-03-02,30.09000015258789
2022-03-03,27.899999618530273
2022-03-04,27.229999542236328
2022-03-07,25.700000762939453
2022-03-08,24.239999771118164
2022-03-09,27.6299991607666
2022-03-10,25.989999771118164
2022-03-11,22.170000076293945
2022-03-14,17.600000381469727
2022-03-15,19.75
2022-03-16,26.049999237060547
2022-03-17,25.100000381469727
2022-03-18,28.190000534057617
2022-03-21,26.329999923706055
2022-03-22,27.329999923706055
2022-03-23,27.280000686645508
2022-03-24,27.860000610351562
2022-03-25,26.399999618530273
2022-03-28,26.479999542236328
2022-03-29,26.600000381469727
2022-03-30,27.1299991607666
2022-03-31,25.809999465942383
2022-04-01,27.239999771118164
2022-04-04,28.65999984741211
2022-04-05,27.799999237060547
2022-04-06,27.520000457763672
2022-04-07,26.389999389648438
2022-04-08,25.860000610351562
2022-04-11,25.25
2022-04-12,24.93000030517578
2022-04-13,26.030000686645508
2022-04-14,25.709999084472656
2022-04-18,25.65999984741211
2022-04-19,25.34000015258789
2022-04-20,23.489999771118164
2022-04-21,22.469999313354492
2022-04-22,22.329999923706055
2022-04-25,22.309999465942383
2022-04-26,21.149999618530273
2022-04-27,22.18000030517578
2022-04-28,22.1200008392334
2022-04-29,22.43000030517578
2022-05-02,23.329999923706055
2022-05-03,22.93000030517578
2022-05-04,23.59000015258789
2022-05-05,21.670000076293945
2022-05-06,20.920000076293945
2022-05-09,18.899999618530273
2022-05-10,19.670000076293945
2022-05-11,20.1299991607666
2022-05-12,20.1200008392334
2022-05-13,21.81999969482422
2022-05-16,22.020000457763672
2022-05-17,23.739999771118164
2022-05-18,23.40999984741211
2022-05-19,23.989999771118164
2022-05-20,24.0
2022-05-23,23.469999313354492
2022-05-24,21.760000228881836
2022-05-25,22.399999618530273
2022-05-26,24.18000030517578
2022-05-27,24.280000686645508
2022-05-31,25.06999969482422
2022-06-01,25.459999084472656
2022-06-02,26.40999984741211
2022-06-03,26.209999084472656
2022-06-06,29.06999969482422
2022-06-07,29.719999313354492
2022-06-08,29.959999084472656
2022-06-09,29.489999771118164
2022-06-10,29.93000030517578
2022-06-13,29.049999237060547
2022-06-14,32.220001220703125
2022-06-15,32.4900016784668
2022-06-16,31.799999237060547
2022-06-17,33.150001525878906
2022-06-21,35.75
2022-06-22,36.79999923706055
2022-06-23,39.2400016784668
2022-06-24,40.790000915527344
2022-06-27,39.130001068115234
2022-06-28,37.06999969482422
2022-06-29,38.08000183105469
2022-06-30,38.310001373291016
2022-07-01,37.70000076293945
2022-07-05,40.0
2022-07-06,38.599998474121094
2022-07-07,39.279998779296875
2022-07-08,38.900001525878906
2022-07-11,37.33000183105469
2022-07-12,36.9900016784668
2022-07-13,38.029998779296875
2022-07-14,38.18000030517578
2022-07-15,38.45000076293945
2022-07-18,39.15999984741211
2022-07-19,37.310001373291016
2022-07-20,35.880001068115234
2022-07-21,36.58000183105469
2022-07-22,34.36000061035156
2022-07-25,34.599998474121094
2022-07-26,33.54999923706055
2022-07-27,33.68000030517578
2022-07-28,32.93000030517578
2022-07-29,32.84000015258789
2022-08-01,34.099998474121094
2022-08-02,34.119998931884766
2022-08-03,33.97999954223633
2022-08-04,34.31999969482422
2022-08-05,33.630001068115234
2022-08-08,33.20000076293945
2022-08-09,30.8700008392334
2022-08-10,31.520000457763672
2022-08-11,32.709999084472656
2022-08-12,32.4900016784668
2022-08-15,32.560001373291016
2022-08-16,31.09000015258789
2022-08-17,30.90999984741211
2022-08-18,30.84000015258789
2022-08-19,29.940000534057617
2022-08-22,30.850000381469727
2022-08-23,29.360000610351562
2022-08-24,29.700000762939453
2022-08-25,31.06999969482422
2022-08-26,30.299999237060547
2022-08-29,29.110000610351562
2022-08-30,28.799999237060547
2022-08-31,28.770000457763672
2022-09-01,27.899999618530273
2022-09-02,26.579999923706055
2022-09-06,26.440000534057617
2022-09-07,26.65999984741211
2022-09-08,26.030000686645508
2022-09-09,26.329999923706055
2022-09-12,26.059999465942383
2022-09-13,26.799999237060547
2022-09-14,26.670000076293945
2022-09-15,25.809999465942383
2022-09-16,24.09000015258789
2022-09-19,25.229999542236328
2022-09-20,25.34000015258789
2022-09-21,23.100000381469727
2022-09-22,24.229999542236328
2022-09-23,25.0
2022-09-26,26.389999389648438
2022-09-27,25.719999313354492
2022-09-28,24.899999618530273
2022-09-29,23.3700008392334
2022-09-30,23.010000228881836
2022-10-03,23.459999084472656
2022-10-04,24.600000381469727
2022-10-05,23.899999618530273
2022-10-06,20.950000762939453
2022-10-07,19.56999969482422
2022-10-10,19.0
2022-10-11,19.68000030517578
2022-10-12,20.389999389648438
2022-10-13,20.040000915527344
2022-10-14,18.719999313354492
2022-10-17,18.950000762939453
2022-10-18,18.920000076293945
2022-10-19,16.799999237060547
2022-10-20,17.299999237060547
2022-10-21,17.770000457763672
2022-10-24,14.680000305175781
2022-10-25,15.899999618530273
2022-10-26,16.270000457763672
2022-10-27,14.984999656677246
2022-10-28,14.260000228881836
2022-10-31,13.619999885559082
2022-11-01,14.5600004196167
2022-11-02,16.31999969482422
2022-11-03,16.75
2022-11-04,18.309999465942383
2022-11-07,18.15999984741211
2022-11-08,18.469999313354492
2022-11-09,16.18000030517578
2022-11-10,17.40999984741211
2022-11-11,18.969999313354492
2022-11-14,17.959999084472656
2022-11-15,18.940000534057617
2022-11-16,17.770000457763672
2022-11-17,18.360000610351562
2022-11-18,17.8799991607666
2022-11-21,17.56999969482422
2022-11-22,16.729999542236328
2022-11-23,17.329999923706055
