Date,WING
2022-02-28,145.35000610351562
2022-03-01,146.82000732421875
2022-03-02,144.94000244140625
2022-03-03,138.17999267578125
2022-03-04,136.97000122070312
2022-03-07,126.31999969482422
2022-03-08,129.1699981689453
2022-03-09,133.72000122070312
2022-03-10,126.69999694824219
2022-03-11,123.05000305175781
2022-03-14,116.9000015258789
2022-03-15,113.23999786376953
2022-03-16,123.41000366210938
2022-03-17,121.13999938964844
2022-03-18,121.05000305175781
2022-03-21,117.19000244140625
2022-03-22,118.05000305175781
2022-03-23,112.26000213623047
2022-03-24,112.0
2022-03-25,108.80999755859375
2022-03-28,110.80000305175781
2022-03-29,119.68000030517578
2022-03-30,119.12999725341797
2022-03-31,117.3499984741211
2022-04-01,116.30000305175781
2022-04-04,115.94999694824219
2022-04-05,112.80000305175781
2022-04-06,109.98999786376953
2022-04-07,111.1500015258789
2022-04-08,111.43000030517578
2022-04-11,107.19999694824219
2022-04-12,107.37000274658203
2022-04-13,108.7300033569336
2022-04-14,101.91999816894531
2022-04-18,103.66999816894531
2022-04-19,107.94999694824219
2022-04-20,105.55999755859375
2022-04-21,101.44999694824219
2022-04-22,99.19000244140625
2022-04-25,103.0
2022-04-26,97.33999633789062
2022-04-27,97.56999969482422
2022-04-28,97.77999877929688
2022-04-29,91.76000213623047
2022-05-02,90.63999938964844
2022-05-03,89.16999816894531
2022-05-04,96.98999786376953
2022-05-05,87.94999694824219
2022-05-06,84.0199966430664
2022-05-09,80.81999969482422
2022-05-10,81.01000213623047
2022-05-11,75.11000061035156
2022-05-12,77.87999725341797
2022-05-13,80.91999816894531
2022-05-16,79.6500015258789
2022-05-17,79.08999633789062
2022-05-18,72.54000091552734
2022-05-19,74.20999908447266
2022-05-20,73.16000366210938
2022-05-23,71.70999908447266
2022-05-24,69.05000305175781
2022-05-25,72.41999816894531
2022-05-26,75.66000366210938
2022-05-27,78.22000122070312
2022-05-31,79.66000366210938
2022-06-01,74.12999725341797
2022-06-02,79.25
2022-06-03,78.08999633789062
2022-06-06,78.62999725341797
2022-06-07,81.29000091552734
2022-06-08,82.66999816894531
2022-06-09,81.69000244140625
2022-06-10,78.18000030517578
2022-06-13,73.2699966430664
2022-06-14,72.26000213623047
2022-06-15,75.45999908447266
2022-06-16,71.87000274658203
2022-06-17,76.5999984741211
2022-06-21,75.47000122070312
2022-06-22,73.91999816894531
2022-06-23,80.63999938964844
2022-06-24,83.58000183105469
2022-06-27,78.81999969482422
2022-06-28,74.70999908447266
2022-06-29,76.25
2022-06-30,74.7699966430664
2022-07-01,79.44000244140625
2022-07-05,84.37999725341797
2022-07-06,86.66000366210938
2022-07-07,91.16000366210938
2022-07-08,92.72000122070312
