Date,ASND
2022-02-28,112.38999938964844
2022-03-01,108.83000183105469
2022-03-02,106.4800033569336
2022-03-03,105.5199966430664
2022-03-04,104.52999877929688
2022-03-07,105.55999755859375
2022-03-08,105.7699966430664
2022-03-09,104.8499984741211
2022-03-10,102.48999786376953
2022-03-11,102.18000030517578
2022-03-14,102.63999938964844
2022-03-15,109.44000244140625
2022-03-16,122.93000030517578
2022-03-17,118.48999786376953
2022-03-18,117.44000244140625
2022-03-21,111.58000183105469
2022-03-22,123.33999633789062
2022-03-23,117.13999938964844
2022-03-24,116.7300033569336
2022-03-25,114.38999938964844
2022-03-28,111.3499984741211
2022-03-29,119.4000015258789
2022-03-30,116.0199966430664
2022-03-31,117.36000061035156
2022-04-01,115.97000122070312
2022-04-04,117.4000015258789
2022-04-05,115.7300033569336
2022-04-06,117.61000061035156
2022-04-07,114.27999877929688
2022-04-08,111.06999969482422
2022-04-11,106.2300033569336
2022-04-12,108.83999633789062
2022-04-13,115.41999816894531
2022-04-14,112.8499984741211
2022-04-18,107.1500015258789
2022-04-19,109.77999877929688
2022-04-20,109.58999633789062
2022-04-21,106.05000305175781
2022-04-22,105.91999816894531
2022-04-25,108.29000091552734
2022-04-26,103.22000122070312
2022-04-27,103.27999877929688
2022-04-28,98.5
2022-04-29,91.2699966430664
2022-05-02,91.05000305175781
2022-05-03,92.0999984741211
2022-05-04,94.22000122070312
2022-05-05,90.22000122070312
2022-05-06,83.08000183105469
2022-05-09,78.9000015258789
2022-05-10,82.63999938964844
2022-05-11,78.08000183105469
2022-05-12,80.01000213623047
2022-05-13,83.12000274658203
2022-05-16,84.7300033569336
2022-05-17,88.97000122070312
2022-05-18,86.0
2022-05-19,91.12999725341797
2022-05-20,95.4000015258789
2022-05-23,97.01000213623047
2022-05-24,90.5
2022-05-25,90.30000305175781
2022-05-26,88.72000122070312
2022-05-27,88.79000091552734
2022-05-31,84.51000213623047
2022-06-01,84.83000183105469
2022-06-02,83.31999969482422
2022-06-03,86.30000305175781
2022-06-06,85.19000244140625
2022-06-07,89.12000274658203
2022-06-08,91.19999694824219
2022-06-09,86.63999938964844
2022-06-10,82.77999877929688
2022-06-13,79.95999908447266
2022-06-14,81.23999786376953
2022-06-15,83.19000244140625
2022-06-16,78.5999984741211
2022-06-17,83.91999816894531
2022-06-21,85.5
2022-06-22,85.7300033569336
2022-06-23,91.47000122070312
2022-06-24,91.08999633789062
2022-06-27,95.0999984741211
2022-06-28,93.1500015258789
2022-06-29,94.19999694824219
2022-06-30,92.95999908447266
2022-07-01,92.5999984741211
2022-07-05,95.38999938964844
2022-07-06,89.5
2022-07-07,94.0
2022-07-08,93.61000061035156
2022-07-11,90.7699966430664
2022-07-12,90.05999755859375
2022-07-13,88.56999969482422
2022-07-14,85.56999969482422
2022-07-15,85.33000183105469
2022-07-18,85.5
2022-07-19,87.94000244140625
2022-07-20,90.25
2022-07-21,90.08999633789062
2022-07-22,88.51000213623047
2022-07-25,87.0199966430664
2022-07-26,87.56999969482422
2022-07-27,88.87000274658203
2022-07-28,86.23999786376953
2022-07-29,85.52999877929688
2022-08-01,84.02999877929688
2022-08-02,86.87000274658203
2022-08-03,88.97000122070312
2022-08-04,91.55000305175781
2022-08-05,94.91000366210938
2022-08-08,98.93000030517578
2022-08-09,93.1500015258789
2022-08-10,95.13999938964844
2022-08-11,104.80999755859375
2022-08-12,110.2300033569336
2022-08-15,107.66000366210938
2022-08-16,99.94999694824219
2022-08-17,96.79000091552734
2022-08-18,94.58000183105469
2022-08-19,92.58999633789062
2022-08-22,89.5999984741211
2022-08-23,91.4800033569336
2022-08-24,96.68000030517578
2022-08-25,93.91000366210938
2022-08-26,90.30999755859375
2022-08-29,87.97000122070312
2022-08-30,86.0999984741211
2022-08-31,89.56999969482422
2022-09-01,89.08999633789062
2022-09-02,88.44000244140625
2022-09-06,88.11000061035156
2022-09-07,90.94999694824219
2022-09-08,100.37999725341797
2022-09-09,101.37999725341797
2022-09-12,103.61000061035156
2022-09-13,102.69999694824219
2022-09-14,106.61000061035156
2022-09-15,109.29000091552734
2022-09-16,107.33000183105469
2022-09-19,105.26000213623047
2022-09-20,107.56999969482422
2022-09-21,106.01000213623047
2022-09-22,103.87999725341797
2022-09-23,100.6500015258789
2022-09-26,98.6500015258789
2022-09-27,100.13999938964844
