Date,NCNO
2022-02-28,45.93000030517578
2022-03-01,47.72999954223633
2022-03-02,52.11000061035156
2022-03-03,50.150001525878906
2022-03-04,49.04999923706055
2022-03-07,46.36000061035156
2022-03-08,47.619998931884766
2022-03-09,48.310001373291016
2022-03-10,50.380001068115234
2022-03-11,43.38999938964844
2022-03-14,38.720001220703125
2022-03-15,38.709999084472656
2022-03-16,41.290000915527344
2022-03-17,44.38999938964844
2022-03-18,45.4900016784668
2022-03-21,42.68000030517578
2022-03-22,44.84000015258789
2022-03-23,44.97999954223633
2022-03-24,45.790000915527344
2022-03-25,44.75
2022-03-28,42.25
2022-03-29,46.20000076293945
2022-03-30,43.0
2022-03-31,40.97999954223633
2022-04-01,46.58000183105469
2022-04-04,46.81999969482422
2022-04-05,45.540000915527344
2022-04-06,44.25
2022-04-07,44.5
2022-04-08,42.810001373291016
2022-04-11,42.209999084472656
2022-04-12,41.779998779296875
2022-04-13,43.040000915527344
2022-04-14,40.83000183105469
2022-04-18,40.029998779296875
2022-04-19,41.68000030517578
2022-04-20,40.27000045776367
2022-04-21,37.9900016784668
2022-04-22,36.45000076293945
2022-04-25,38.810001373291016
2022-04-26,36.88999938964844
2022-04-27,36.72999954223633
2022-04-28,38.5
2022-04-29,37.4900016784668
2022-05-02,38.86000061035156
2022-05-03,36.58000183105469
2022-05-04,37.2599983215332
2022-05-05,34.209999084472656
2022-05-06,32.310001373291016
2022-05-09,29.600000381469727
2022-05-10,28.06999969482422
2022-05-11,25.649999618530273
2022-05-12,27.170000076293945
2022-05-13,32.0
2022-05-16,28.899999618530273
2022-05-17,29.860000610351562
2022-05-18,29.219999313354492
2022-05-19,30.360000610351562
2022-05-20,31.200000762939453
2022-05-23,31.670000076293945
2022-05-24,30.06999969482422
2022-05-25,31.6299991607666
2022-05-26,33.0
2022-05-27,34.630001068115234
2022-05-31,32.66999816894531
2022-06-01,32.0099983215332
2022-06-02,36.689998626708984
2022-06-03,35.900001525878906
2022-06-06,34.75
2022-06-07,36.099998474121094
2022-06-08,36.31999969482422
2022-06-09,34.02000045776367
2022-06-10,33.11000061035156
2022-06-13,30.389999389648438
2022-06-14,30.579999923706055
2022-06-15,31.989999771118164
2022-06-16,29.969999313354492
2022-06-17,31.56999969482422
2022-06-21,32.189998626708984
2022-06-22,32.63999938964844
2022-06-23,34.66999816894531
2022-06-24,37.20000076293945
2022-06-27,34.9900016784668
2022-06-28,32.58000183105469
2022-06-29,32.5
2022-06-30,30.920000076293945
2022-07-01,32.220001220703125
2022-07-05,36.06999969482422
2022-07-06,33.290000915527344
2022-07-07,34.29999923706055
2022-07-08,33.689998626708984
2022-07-11,32.459999084472656
2022-07-12,31.809999465942383
2022-07-13,30.770000457763672
2022-07-14,29.790000915527344
2022-07-15,30.350000381469727
2022-07-18,30.1299991607666
2022-07-19,31.030000686645508
2022-07-20,33.63999938964844
2022-07-21,34.0
2022-07-22,32.599998474121094
2022-07-25,31.399999618530273
2022-07-26,30.1200008392334
2022-07-27,31.420000076293945
2022-07-28,31.670000076293945
2022-07-29,32.290000915527344
2022-08-01,32.369998931884766
2022-08-02,33.209999084472656
2022-08-03,35.58000183105469
2022-08-04,35.650001525878906
2022-08-05,35.560001373291016
2022-08-08,37.2400016784668
2022-08-09,36.54999923706055
2022-08-10,39.08000183105469
2022-08-11,37.08000183105469
2022-08-12,37.09000015258789
2022-08-15,36.599998474121094
2022-08-16,35.93000030517578
2022-08-17,34.130001068115234
2022-08-18,34.5
2022-08-19,33.380001068115234
2022-08-22,32.22999954223633
2022-08-23,31.899999618530273
2022-08-24,32.470001220703125
2022-08-25,33.619998931884766
2022-08-26,31.829999923706055
2022-08-29,31.559999465942383
2022-08-30,31.15999984741211
2022-08-31,31.540000915527344
2022-09-01,29.360000610351562
2022-09-02,32.15999984741211
2022-09-06,31.530000686645508
2022-09-07,33.20000076293945
2022-09-08,34.09000015258789
2022-09-09,35.939998626708984
2022-09-12,36.400001525878906
2022-09-13,35.63999938964844
2022-09-14,37.209999084472656
2022-09-15,36.93000030517578
2022-09-16,35.2400016784668
2022-09-19,34.970001220703125
2022-09-20,35.0
2022-09-21,35.79999923706055
2022-09-22,33.970001220703125
2022-09-23,33.97999954223633
2022-09-26,34.119998931884766
2022-09-27,34.02000045776367
2022-09-28,35.45000076293945
2022-09-29,34.84000015258789
2022-09-30,34.11000061035156
2022-10-03,34.5099983215332
2022-10-04,36.27000045776367
2022-10-05,35.959999084472656
2022-10-06,35.41999816894531
2022-10-07,34.290000915527344
2022-10-10,31.860000610351562
2022-10-11,30.989999771118164
2022-10-12,30.899999618530273
2022-10-13,29.889999389648438
2022-10-14,29.0
2022-10-17,29.850000381469727
2022-10-18,31.209999084472656
2022-10-19,30.239999771118164
2022-10-20,30.139999389648438
2022-10-21,29.979999542236328
2022-10-24,29.469999313354492
2022-10-25,30.780000686645508
2022-10-26,31.479999542236328
2022-10-27,31.479999542236328
2022-10-28,31.43000030517578
2022-10-31,31.479999542236328
2022-11-01,30.68000030517578
2022-11-02,28.56999969482422
2022-11-03,28.3700008392334
2022-11-04,24.670000076293945
2022-11-07,25.059999465942383
2022-11-08,24.950000762939453
2022-11-09,23.5
2022-11-10,26.68000030517578
2022-11-11,29.290000915527344
2022-11-14,28.149999618530273
2022-11-15,29.5
2022-11-16,28.190000534057617
2022-11-17,27.719999313354492
2022-11-18,27.510000228881836
2022-11-21,26.469999313354492
2022-11-22,26.049999237060547
2022-11-23,26.540000915527344
2022-11-25,26.3799991607666
2022-11-28,25.700000762939453
