Date,SNPS
2022-02-28,312.3900146484375
2022-03-01,307.7099914550781
2022-03-02,315.32000732421875
2022-03-03,308.8399963378906
2022-03-04,309.05999755859375
2022-03-07,295.4599914550781
2022-03-08,296.3500061035156
2022-03-09,307.7900085449219
2022-03-10,300.8399963378906
2022-03-11,293.69000244140625
2022-03-14,278.9800109863281
2022-03-15,285.5
2022-03-16,300.0799865722656
2022-03-17,304.04998779296875
2022-03-18,318.2099914550781
2022-03-21,314.30999755859375
2022-03-22,325.2200012207031
2022-03-23,316.44000244140625
2022-03-24,325.55999755859375
2022-03-25,318.9100036621094
2022-03-28,332.3800048828125
2022-03-29,341.0
2022-03-30,332.5899963378906
2022-03-31,333.2699890136719
2022-04-01,334.9800109863281
2022-04-04,340.1499938964844
2022-04-05,327.7099914550781
2022-04-06,324.8500061035156
2022-04-07,326.3699951171875
2022-04-08,319.8299865722656
2022-04-11,309.7699890136719
2022-04-12,310.8299865722656
2022-04-13,306.7200012207031
2022-04-14,294.7699890136719
2022-04-18,297.1199951171875
2022-04-19,306.3299865722656
2022-04-20,306.260009765625
2022-04-21,295.5
2022-04-22,285.0
2022-04-25,290.9200134277344
2022-04-26,282.8999938964844
2022-04-27,287.0299987792969
2022-04-28,301.8599853515625
2022-04-29,286.7900085449219
2022-05-02,290.7099914550781
2022-05-03,292.2099914550781
2022-05-04,299.19000244140625
2022-05-05,282.3399963378906
2022-05-06,274.7099914550781
2022-05-09,262.4100036621094
2022-05-10,270.510009765625
2022-05-11,260.8299865722656
2022-05-12,262.05999755859375
2022-05-13,275.989990234375
2022-05-16,273.7300109863281
2022-05-17,282.80999755859375
2022-05-18,272.57000732421875
2022-05-19,300.5199890136719
2022-05-20,306.7200012207031
2022-05-23,306.9800109863281
2022-05-24,296.3699951171875
2022-05-25,299.1700134277344
2022-05-26,306.1000061035156
2022-05-27,322.9599914550781
2022-05-31,319.20001220703125
2022-06-01,316.8599853515625
2022-06-02,330.80999755859375
2022-06-03,327.67999267578125
2022-06-06,328.7900085449219
2022-06-07,329.5299987792969
2022-06-08,322.8900146484375
2022-06-09,317.0799865722656
2022-06-10,305.3900146484375
2022-06-13,290.25
2022-06-14,295.1600036621094
2022-06-15,303.239990234375
2022-06-16,289.489990234375
2022-06-17,296.17999267578125
2022-06-21,302.2200012207031
2022-06-22,301.239990234375
2022-06-23,309.25
2022-06-24,317.4700012207031
2022-06-27,311.8599853515625
2022-06-28,303.6700134277344
