Date,BRKR
2022-02-28,70.37000274658203
2022-03-01,69.66000366210938
2022-03-02,70.0999984741211
2022-03-03,71.13999938964844
2022-03-04,67.87000274658203
2022-03-07,63.41999816894531
2022-03-08,63.099998474121094
2022-03-09,66.38999938964844
2022-03-10,66.3499984741211
2022-03-11,63.09000015258789
2022-03-14,61.720001220703125
2022-03-15,62.83000183105469
2022-03-16,66.29000091552734
2022-03-17,67.38999938964844
2022-03-18,68.63999938964844
2022-03-21,67.55999755859375
2022-03-22,67.8499984741211
2022-03-23,64.66999816894531
2022-03-24,65.81999969482422
2022-03-25,65.37000274658203
2022-03-28,65.2699966430664
2022-03-29,68.18000030517578
2022-03-30,67.66999816894531
2022-03-31,64.30000305175781
2022-04-01,64.98999786376953
2022-04-04,64.97000122070312
2022-04-05,63.459999084472656
2022-04-06,62.29999923706055
2022-04-07,65.3499984741211
2022-04-08,64.98999786376953
2022-04-11,63.52000045776367
2022-04-12,61.88999938964844
2022-04-13,62.90999984741211
2022-04-14,62.13999938964844
2022-04-18,60.54999923706055
2022-04-19,61.880001068115234
2022-04-20,62.439998626708984
2022-04-21,60.880001068115234
2022-04-22,59.040000915527344
2022-04-25,59.02000045776367
2022-04-26,56.439998626708984
2022-04-27,56.380001068115234
2022-04-28,57.630001068115234
2022-04-29,57.4900016784668
2022-05-02,57.9900016784668
2022-05-03,60.09000015258789
2022-05-04,63.849998474121094
2022-05-05,60.84000015258789
2022-05-06,61.15999984741211
2022-05-09,57.65999984741211
2022-05-10,59.099998474121094
2022-05-11,56.970001220703125
2022-05-12,58.349998474121094
2022-05-13,60.209999084472656
2022-05-16,59.54999923706055
2022-05-17,61.22999954223633
2022-05-18,60.040000915527344
2022-05-19,60.61000061035156
2022-05-20,60.220001220703125
2022-05-23,60.65999984741211
2022-05-24,59.709999084472656
2022-05-25,58.56999969482422
2022-05-26,60.439998626708984
2022-05-27,64.19000244140625
2022-05-31,62.47999954223633
2022-06-01,61.40999984741211
2022-06-02,64.66000366210938
2022-06-03,63.2599983215332
2022-06-06,63.29999923706055
2022-06-07,64.0
2022-06-08,64.33000183105469
2022-06-09,63.56999969482422
2022-06-10,61.75
2022-06-13,59.86000061035156
2022-06-14,60.150001525878906
2022-06-15,61.20000076293945
2022-06-16,59.38999938964844
2022-06-17,59.279998779296875
2022-06-21,60.72999954223633
2022-06-22,61.20000076293945
2022-06-23,64.86000061035156
2022-06-24,64.18000030517578
2022-06-27,63.83000183105469
2022-06-28,62.54999923706055
2022-06-29,62.95000076293945
2022-06-30,62.7599983215332
2022-07-01,63.540000915527344
2022-07-05,64.98999786376953
2022-07-06,64.55000305175781
2022-07-07,65.48999786376953
2022-07-08,65.52999877929688
2022-07-11,65.45999908447266
2022-07-12,64.01000213623047
2022-07-13,63.2400016784668
2022-07-14,61.52000045776367
2022-07-15,62.130001068115234
2022-07-18,59.5
2022-07-19,61.83000183105469
2022-07-20,62.34000015258789
2022-07-21,66.06999969482422
2022-07-22,64.69000244140625
2022-07-25,64.11000061035156
2022-07-26,64.61000061035156
2022-07-27,65.94999694824219
2022-07-28,68.12000274658203
2022-07-29,68.55000305175781
2022-08-01,69.04000091552734
2022-08-02,68.52999877929688
2022-08-03,68.31999969482422
2022-08-04,63.439998626708984
2022-08-05,62.47999954223633
2022-08-08,62.15999984741211
2022-08-09,60.34000015258789
2022-08-10,62.04999923706055
2022-08-11,62.0
2022-08-12,61.810001373291016
2022-08-15,62.08000183105469
2022-08-16,60.75
2022-08-17,61.43000030517578
2022-08-18,61.459999084472656
2022-08-19,59.709999084472656
2022-08-22,58.93000030517578
2022-08-23,59.20000076293945
2022-08-24,59.61000061035156
2022-08-25,60.84000015258789
2022-08-26,58.060001373291016
2022-08-29,57.619998931884766
2022-08-30,56.75
2022-08-31,56.0
2022-09-01,56.290000915527344
2022-09-02,56.06999969482422
2022-09-06,55.36000061035156
2022-09-07,56.2599983215332
2022-09-08,57.2400016784668
2022-09-09,58.290000915527344
2022-09-12,59.22999954223633
2022-09-13,55.380001068115234
2022-09-14,54.47999954223633
2022-09-15,54.59000015258789
2022-09-16,52.880001068115234
2022-09-19,52.790000915527344
2022-09-20,51.41999816894531
2022-09-21,51.279998779296875
2022-09-22,49.720001220703125
2022-09-23,49.52000045776367
2022-09-26,48.90999984741211
2022-09-27,48.91999816894531
2022-09-28,51.619998931884766
2022-09-29,52.84000015258789
2022-09-30,53.060001373291016
2022-10-03,54.36000061035156
2022-10-04,56.279998779296875
2022-10-05,57.56999969482422
2022-10-06,57.689998626708984
2022-10-07,55.72999954223633
2022-10-10,54.43000030517578
2022-10-11,54.75
2022-10-12,54.439998626708984
2022-10-13,55.689998626708984
2022-10-14,54.93000030517578
2022-10-17,56.58000183105469
2022-10-18,57.709999084472656
2022-10-19,56.220001220703125
2022-10-20,55.97999954223633
2022-10-21,57.91999816894531
2022-10-24,58.650001525878906
2022-10-25,60.790000915527344
2022-10-26,61.63999938964844
2022-10-27,61.72999954223633
2022-10-28,61.33000183105469
2022-10-31,61.84000015258789
2022-11-01,62.970001220703125
2022-11-02,61.08000183105469
2022-11-03,64.19999694824219
2022-11-04,66.87999725341797
2022-11-07,66.27999877929688
2022-11-08,66.41000366210938
2022-11-09,65.41999816894531
2022-11-10,69.43000030517578
2022-11-11,69.91000366210938
2022-11-14,69.4000015258789
2022-11-15,68.86000061035156
2022-11-16,68.33000183105469
2022-11-17,66.25
2022-11-18,66.19999694824219
2022-11-21,66.36000061035156
2022-11-22,68.30999755859375
2022-11-23,68.44000244140625
