Date,SIGI
2022-02-28,83.19000244140625
2022-03-01,82.52999877929688
2022-03-02,82.7699966430664
2022-03-03,83.26000213623047
2022-03-04,83.5199966430664
2022-03-07,82.69999694824219
2022-03-08,82.5
2022-03-09,82.05000305175781
2022-03-10,82.68000030517578
2022-03-11,83.26000213623047
2022-03-14,85.30000305175781
2022-03-15,85.41000366210938
2022-03-16,85.23999786376953
2022-03-17,86.41000366210938
2022-03-18,86.19999694824219
2022-03-21,87.52999877929688
2022-03-22,87.98999786376953
2022-03-23,87.5999984741211
2022-03-24,88.83000183105469
2022-03-25,90.37999725341797
2022-03-28,90.73999786376953
2022-03-29,90.62000274658203
2022-03-30,91.20999908447266
2022-03-31,89.36000061035156
2022-04-01,91.69000244140625
2022-04-04,88.62000274658203
2022-04-05,88.33999633789062
2022-04-06,88.05000305175781
2022-04-07,88.1500015258789
2022-04-08,87.4800033569336
2022-04-11,86.80000305175781
2022-04-12,86.30000305175781
2022-04-13,86.91000366210938
2022-04-14,85.79000091552734
2022-04-18,86.4000015258789
2022-04-19,86.36000061035156
2022-04-20,85.76000213623047
2022-04-21,85.45999908447266
2022-04-22,83.47000122070312
2022-04-25,84.55000305175781
2022-04-26,83.69999694824219
2022-04-27,85.16000366210938
2022-04-28,84.87999725341797
2022-04-29,82.36000061035156
2022-05-02,83.52999877929688
2022-05-03,83.94000244140625
2022-05-04,85.52999877929688
2022-05-05,80.08000183105469
2022-05-06,81.11000061035156
2022-05-09,79.80000305175781
2022-05-10,77.1500015258789
2022-05-11,75.72000122070312
2022-05-12,76.75
2022-05-13,76.29000091552734
2022-05-16,76.12000274658203
2022-05-17,77.81999969482422
2022-05-18,77.01000213623047
2022-05-19,76.3499984741211
2022-05-20,76.0999984741211
2022-05-23,76.27999877929688
2022-05-24,77.12999725341797
2022-05-25,76.95999908447266
2022-05-26,77.30000305175781
2022-05-27,78.33999633789062
2022-05-31,79.30000305175781
2022-06-01,77.94000244140625
2022-06-02,80.5
2022-06-03,78.41999816894531
2022-06-06,79.04000091552734
2022-06-07,79.68000030517578
2022-06-08,77.83999633789062
2022-06-09,76.06999969482422
2022-06-10,76.20999908447266
2022-06-13,76.1500015258789
2022-06-14,77.72000122070312
2022-06-15,77.5199966430664
2022-06-16,75.86000061035156
2022-06-17,77.8499984741211
2022-06-21,78.58000183105469
2022-06-22,79.44999694824219
2022-06-23,79.25
2022-06-24,82.61000061035156
2022-06-27,83.54000091552734
2022-06-28,85.11000061035156
2022-06-29,85.20999908447266
2022-06-30,86.94000244140625
2022-07-01,87.45999908447266
2022-07-05,86.69999694824219
2022-07-06,86.80000305175781
2022-07-07,87.81999969482422
2022-07-08,88.05000305175781
2022-07-11,87.7699966430664
2022-07-12,87.05000305175781
2022-07-13,87.25
2022-07-14,81.31999969482422
2022-07-15,82.48999786376953
2022-07-18,79.7300033569336
2022-07-19,80.81999969482422
2022-07-20,80.83000183105469
2022-07-21,81.62999725341797
2022-07-22,81.13999938964844
2022-07-25,82.62999725341797
2022-07-26,83.44000244140625
2022-07-27,82.88999938964844
2022-07-28,78.91999816894531
2022-07-29,77.86000061035156
2022-08-01,77.05999755859375
2022-08-02,75.54000091552734
2022-08-03,75.66999816894531
2022-08-04,75.69999694824219
2022-08-05,77.61000061035156
2022-08-08,77.44999694824219
2022-08-09,78.44999694824219
2022-08-10,79.0999984741211
2022-08-11,80.44000244140625
2022-08-12,81.66000366210938
2022-08-15,82.73999786376953
2022-08-16,83.2300033569336
2022-08-17,83.11000061035156
2022-08-18,82.86000061035156
2022-08-19,82.9800033569336
2022-08-22,80.55000305175781
2022-08-23,79.75
2022-08-24,79.94000244140625
2022-08-25,81.55000305175781
2022-08-26,80.80000305175781
2022-08-29,80.2699966430664
2022-08-30,79.44000244140625
2022-08-31,79.41999816894531
2022-09-01,79.69999694824219
2022-09-02,79.1500015258789
2022-09-06,79.48999786376953
2022-09-07,81.44000244140625
2022-09-08,82.30000305175781
2022-09-09,82.30999755859375
2022-09-12,82.1500015258789
2022-09-13,81.13999938964844
2022-09-14,81.23999786376953
2022-09-15,81.86000061035156
2022-09-16,81.38999938964844
2022-09-19,82.5199966430664
2022-09-20,82.48999786376953
2022-09-21,82.5999984741211
2022-09-22,81.16999816894531
2022-09-23,80.97000122070312
2022-09-26,79.55000305175781
2022-09-27,80.7300033569336
2022-09-28,82.44999694824219
2022-09-29,82.23999786376953
2022-09-30,81.4000015258789
2022-10-03,83.44000244140625
2022-10-04,85.5999984741211
2022-10-05,84.66000366210938
2022-10-06,85.30999755859375
2022-10-07,84.30000305175781
2022-10-10,86.30999755859375
2022-10-11,86.8499984741211
2022-10-12,86.16000366210938
2022-10-13,88.80000305175781
2022-10-14,89.45999908447266
2022-10-17,88.76000213623047
2022-10-18,90.3499984741211
2022-10-19,91.94999694824219
2022-10-20,89.23999786376953
2022-10-21,92.0
2022-10-24,93.44999694824219
2022-10-25,93.12999725341797
2022-10-26,93.26000213623047
2022-10-27,94.5
2022-10-28,97.05999755859375
2022-10-31,98.08000183105469
2022-11-01,95.5199966430664
2022-11-02,95.31999969482422
2022-11-03,93.5
2022-11-04,93.16999816894531
2022-11-07,92.43000030517578
2022-11-08,92.97000122070312
2022-11-09,91.55999755859375
2022-11-10,93.5999984741211
2022-11-11,91.33000183105469
2022-11-14,93.11000061035156
2022-11-15,91.66000366210938
2022-11-16,91.62000274658203
2022-11-17,92.1500015258789
2022-11-18,93.01000213623047
2022-11-21,92.47000122070312
2022-11-22,93.98999786376953
2022-11-23,94.48999786376953
