Date,LANC
2022-02-28,168.2100067138672
2022-03-01,165.4600067138672
2022-03-02,162.58999633789062
2022-03-03,162.82000732421875
2022-03-04,162.61000061035156
2022-03-07,165.0
2022-03-08,156.5
2022-03-09,156.9199981689453
2022-03-10,153.3300018310547
2022-03-11,153.22999572753906
2022-03-14,156.25
2022-03-15,156.6199951171875
2022-03-16,155.89999389648438
2022-03-17,154.85000610351562
2022-03-18,153.67999267578125
2022-03-21,154.42999267578125
2022-03-22,153.64999389648438
2022-03-23,152.1199951171875
2022-03-24,152.7899932861328
2022-03-25,153.5500030517578
2022-03-28,150.32000732421875
2022-03-29,152.7100067138672
2022-03-30,150.6999969482422
2022-03-31,149.14999389648438
2022-04-01,154.86000061035156
2022-04-04,152.22000122070312
2022-04-05,153.1300048828125
2022-04-06,155.0
2022-04-07,156.10000610351562
2022-04-08,155.6300048828125
2022-04-11,155.3699951171875
2022-04-12,157.0500030517578
2022-04-13,156.38999938964844
2022-04-14,155.19000244140625
2022-04-18,153.83999633789062
2022-04-19,155.8800048828125
2022-04-20,158.5
2022-04-21,158.8800048828125
2022-04-22,156.64999389648438
2022-04-25,157.6999969482422
2022-04-26,153.88999938964844
2022-04-27,154.44000244140625
2022-04-28,157.49000549316406
2022-04-29,155.17999267578125
2022-05-02,150.8300018310547
2022-05-03,149.1999969482422
2022-05-04,149.49000549316406
2022-05-05,139.4600067138672
2022-05-06,132.7100067138672
2022-05-09,135.92999267578125
2022-05-10,137.6300048828125
2022-05-11,133.3699951171875
2022-05-12,135.52000427246094
2022-05-13,139.10000610351562
2022-05-16,133.97000122070312
2022-05-17,130.8000030517578
2022-05-18,121.25
2022-05-19,123.73999786376953
2022-05-20,121.72000122070312
2022-05-23,123.44999694824219
2022-05-24,125.38999938964844
2022-05-25,124.48999786376953
2022-05-26,122.19999694824219
2022-05-27,123.30999755859375
2022-05-31,121.9000015258789
2022-06-01,119.56999969482422
2022-06-02,120.87999725341797
2022-06-03,119.68000030517578
2022-06-06,119.30999755859375
2022-06-07,119.80000305175781
2022-06-08,119.48999786376953
2022-06-09,118.63999938964844
2022-06-10,120.54000091552734
2022-06-13,121.83000183105469
2022-06-14,118.88999938964844
2022-06-15,122.16999816894531
2022-06-16,123.12000274658203
2022-06-17,124.13999938964844
2022-06-21,125.22000122070312
2022-06-22,125.91000366210938
2022-06-23,128.77000427246094
2022-06-24,132.27000427246094
2022-06-27,131.27000427246094
2022-06-28,130.57000732421875
2022-06-29,130.1699981689453
2022-06-30,128.77999877929688
2022-07-01,131.2899932861328
2022-07-05,129.8000030517578
2022-07-06,130.1699981689453
2022-07-07,130.5399932861328
2022-07-08,129.6999969482422
2022-07-11,126.91999816894531
2022-07-12,128.36000061035156
2022-07-13,129.32000732421875
2022-07-14,128.52000427246094
2022-07-15,129.97000122070312
2022-07-18,129.6699981689453
2022-07-19,131.3800048828125
2022-07-20,130.5399932861328
2022-07-21,129.02999877929688
2022-07-22,129.6300048828125
2022-07-25,131.3000030517578
2022-07-26,130.97999572753906
2022-07-27,130.8800048828125
2022-07-28,133.14999389648438
2022-07-29,132.3800048828125
2022-08-01,135.52000427246094
2022-08-02,133.24000549316406
2022-08-03,136.02000427246094
2022-08-04,135.8800048828125
2022-08-05,137.8300018310547
2022-08-08,139.08999633789062
2022-08-09,141.10000610351562
2022-08-10,142.58999633789062
2022-08-11,144.36000061035156
2022-08-12,146.3699951171875
2022-08-15,148.2100067138672
2022-08-16,151.33999633789062
2022-08-17,150.6300048828125
2022-08-18,148.1999969482422
2022-08-19,147.4600067138672
2022-08-22,146.74000549316406
2022-08-23,145.24000549316406
2022-08-24,146.55999755859375
2022-08-25,167.25999450683594
2022-08-26,172.9499969482422
2022-08-29,172.10000610351562
2022-08-30,169.16000366210938
2022-08-31,168.5500030517578
2022-09-01,169.41000366210938
2022-09-02,168.25
2022-09-06,169.4600067138672
2022-09-07,173.2899932861328
2022-09-08,170.17999267578125
2022-09-09,172.5800018310547
2022-09-12,170.49000549316406
2022-09-13,168.17999267578125
2022-09-14,170.60000610351562
2022-09-15,168.13999938964844
2022-09-16,168.00999450683594
2022-09-19,168.5500030517578
2022-09-20,166.24000549316406
2022-09-21,165.83999633789062
2022-09-22,164.6999969482422
2022-09-23,159.3300018310547
2022-09-26,162.0800018310547
2022-09-27,155.02000427246094
2022-09-28,156.1699981689453
2022-09-29,152.05999755859375
2022-09-30,150.27999877929688
2022-10-03,154.9499969482422
2022-10-04,158.91000366210938
2022-10-05,157.77000427246094
2022-10-06,157.47999572753906
2022-10-07,157.50999450683594
2022-10-10,160.10000610351562
2022-10-11,162.0
2022-10-12,162.3699951171875
2022-10-13,164.89999389648438
2022-10-14,165.0
2022-10-17,167.2100067138672
2022-10-18,168.67999267578125
2022-10-19,168.25999450683594
2022-10-20,169.30999755859375
2022-10-21,172.0399932861328
2022-10-24,174.44000244140625
2022-10-25,176.00999450683594
2022-10-26,175.0800018310547
2022-10-27,178.10000610351562
2022-10-28,181.14999389648438
2022-10-31,180.27999877929688
2022-11-01,179.89999389648438
2022-11-02,176.44000244140625
2022-11-03,195.88999938964844
2022-11-04,200.8800048828125
2022-11-07,208.60000610351562
2022-11-08,208.75999450683594
2022-11-09,203.33999633789062
2022-11-10,208.47999572753906
2022-11-11,204.4600067138672
2022-11-14,199.99000549316406
2022-11-15,201.6699981689453
2022-11-16,208.72000122070312
2022-11-17,207.38999938964844
2022-11-18,204.97000122070312
2022-11-21,209.05999755859375
2022-11-22,205.1699981689453
