Date,ACT
2022-02-28,20.799999237060547
2022-03-01,20.09000015258789
2022-03-02,20.75
2022-03-03,20.649999618530273
2022-03-04,20.190000534057617
2022-03-07,19.5
2022-03-08,19.770000457763672
2022-03-09,20.360000610351562
2022-03-10,20.31999969482422
2022-03-11,20.889999389648438
2022-03-14,21.239999771118164
2022-03-15,21.25
2022-03-16,22.040000915527344
2022-03-17,21.8799991607666
2022-03-18,21.950000762939453
2022-03-21,22.360000610351562
2022-03-22,22.5
2022-03-23,22.1299991607666
2022-03-24,22.450000762939453
2022-03-25,22.8700008392334
2022-03-28,22.59000015258789
2022-03-29,23.110000610351562
2022-03-30,22.479999542236328
2022-03-31,22.25
2022-04-01,22.290000915527344
2022-04-04,21.969999313354492
2022-04-05,21.850000381469727
2022-04-06,21.309999465942383
2022-04-07,21.030000686645508
2022-04-08,21.139999389648438
2022-04-11,21.209999084472656
2022-04-12,21.3700008392334
2022-04-13,21.739999771118164
2022-04-14,22.100000381469727
2022-04-18,23.190000534057617
2022-04-19,23.799999237060547
2022-04-20,24.700000762939453
2022-04-21,23.700000762939453
2022-04-22,23.239999771118164
2022-04-25,23.34000015258789
2022-04-26,23.219999313354492
2022-04-27,23.389999389648438
2022-04-28,23.65999984741211
2022-04-29,23.579999923706055
2022-05-02,23.049999237060547
2022-05-03,22.940000534057617
2022-05-04,24.389999389648438
2022-05-05,23.93000030517578
2022-05-06,23.31999969482422
2022-05-09,22.649999618530273
2022-05-10,22.219999313354492
2022-05-11,22.5
2022-05-12,22.030000686645508
2022-05-13,23.450000762939453
2022-05-16,22.979999542236328
2022-05-17,24.0
2022-05-18,23.299999237060547
2022-05-19,23.309999465942383
2022-05-20,23.489999771118164
2022-05-23,24.0
2022-05-24,23.84000015258789
2022-05-25,24.1200008392334
2022-05-26,24.389999389648438
2022-05-27,24.43000030517578
2022-05-31,24.31999969482422
2022-06-01,24.059999465942383
2022-06-02,24.68000030517578
2022-06-03,24.979999542236328
2022-06-06,24.799999237060547
2022-06-07,24.459999084472656
2022-06-08,24.260000228881836
2022-06-09,23.700000762939453
2022-06-10,22.790000915527344
2022-06-13,21.579999923706055
2022-06-14,22.219999313354492
2022-06-15,22.700000762939453
2022-06-16,21.469999313354492
2022-06-17,21.530000686645508
2022-06-21,21.209999084472656
2022-06-22,20.920000076293945
2022-06-23,21.010000228881836
2022-06-24,21.299999237060547
2022-06-27,21.920000076293945
2022-06-28,21.479999542236328
2022-06-29,20.93000030517578
2022-06-30,21.479999542236328
2022-07-01,21.719999313354492
2022-07-05,21.5
2022-07-06,21.200000762939453
2022-07-07,21.65999984741211
2022-07-08,21.690000534057617
2022-07-11,21.8799991607666
2022-07-12,22.350000381469727
2022-07-13,22.0
2022-07-14,21.34000015258789
2022-07-15,21.979999542236328
2022-07-18,20.950000762939453
2022-07-19,21.829999923706055
2022-07-20,21.950000762939453
2022-07-21,21.969999313354492
2022-07-22,21.809999465942383
2022-07-25,22.34000015258789
2022-07-26,22.489999771118164
2022-07-27,22.729999542236328
2022-07-28,22.90999984741211
2022-07-29,23.040000915527344
2022-08-01,23.239999771118164
2022-08-02,24.270000457763672
2022-08-03,25.06999969482422
2022-08-04,25.520000457763672
2022-08-05,26.209999084472656
2022-08-08,25.940000534057617
2022-08-09,26.040000915527344
2022-08-10,26.399999618530273
2022-08-11,26.739999771118164
2022-08-12,26.959999084472656
2022-08-15,26.760000228881836
2022-08-16,27.440000534057617
2022-08-17,27.65999984741211
2022-08-18,26.5
2022-08-19,26.459999084472656
2022-08-22,26.110000610351562
2022-08-23,26.270000457763672
2022-08-24,26.110000610351562
2022-08-25,26.459999084472656
2022-08-26,26.15999984741211
2022-08-29,25.850000381469727
2022-08-30,25.360000610351562
2022-08-31,25.399999618530273
2022-09-01,24.68000030517578
2022-09-02,24.829999923706055
2022-09-06,24.559999465942383
2022-09-07,24.639999389648438
2022-09-08,24.780000686645508
2022-09-09,25.030000686645508
2022-09-12,25.389999389648438
2022-09-13,24.719999313354492
2022-09-14,24.399999618530273
2022-09-15,23.610000610351562
2022-09-16,23.1200008392334
2022-09-19,23.690000534057617
2022-09-20,23.209999084472656
2022-09-21,23.209999084472656
2022-09-22,22.899999618530273
2022-09-23,22.530000686645508
2022-09-26,22.219999313354492
2022-09-27,21.940000534057617
2022-09-28,22.649999618530273
2022-09-29,22.09000015258789
2022-09-30,22.170000076293945
2022-10-03,22.989999771118164
2022-10-04,23.540000915527344
2022-10-05,23.459999084472656
2022-10-06,23.469999313354492
2022-10-07,23.149999618530273
2022-10-10,22.719999313354492
2022-10-11,23.200000762939453
2022-10-12,22.950000762939453
2022-10-13,23.420000076293945
2022-10-14,23.270000457763672
2022-10-17,23.739999771118164
2022-10-18,24.100000381469727
2022-10-19,23.899999618530273
2022-10-20,23.700000762939453
2022-10-21,24.31999969482422
2022-10-24,24.469999313354492
2022-10-25,24.780000686645508
2022-10-26,24.979999542236328
2022-10-27,25.15999984741211
2022-10-28,25.75
2022-10-31,25.639999389648438
2022-11-01,24.959999084472656
2022-11-02,26.09000015258789
2022-11-03,25.450000762939453
2022-11-04,25.739999771118164
2022-11-07,25.829999923706055
2022-11-08,25.889999389648438
2022-11-09,25.360000610351562
2022-11-10,26.079999923706055
2022-11-11,25.75
2022-11-14,25.579999923706055
2022-11-15,25.739999771118164
2022-11-16,25.65999984741211
2022-11-17,23.760000228881836
2022-11-18,24.010000228881836
2022-11-21,24.399999618530273
2022-11-22,24.5
2022-11-23,24.6299991607666
2022-11-25,24.520000457763672
