Date,TSEM
2022-02-28,46.849998474121094
2022-03-01,46.65999984741211
2022-03-02,47.0
2022-03-03,46.93000030517578
2022-03-04,46.93000030517578
2022-03-07,46.72999954223633
2022-03-08,47.0
2022-03-09,47.29999923706055
2022-03-10,47.290000915527344
2022-03-11,47.150001525878906
2022-03-14,47.13999938964844
2022-03-15,47.220001220703125
2022-03-16,47.59000015258789
2022-03-17,47.93000030517578
2022-03-18,48.380001068115234
2022-03-21,48.29999923706055
2022-03-22,48.900001525878906
2022-03-23,48.56999969482422
2022-03-24,48.7599983215332
2022-03-25,48.86000061035156
2022-03-28,48.650001525878906
2022-03-29,48.810001373291016
2022-03-30,48.54999923706055
2022-03-31,48.400001525878906
2022-04-01,48.5099983215332
2022-04-04,48.900001525878906
2022-04-05,48.66999816894531
2022-04-06,48.369998931884766
2022-04-07,48.5099983215332
2022-04-08,48.54999923706055
2022-04-11,48.209999084472656
2022-04-12,48.209999084472656
2022-04-13,48.380001068115234
2022-04-14,48.130001068115234
2022-04-18,48.31999969482422
2022-04-19,48.45000076293945
2022-04-20,48.619998931884766
2022-04-21,48.31999969482422
2022-04-22,48.29999923706055
2022-04-25,48.77000045776367
2022-04-26,48.400001525878906
2022-04-27,48.310001373291016
2022-04-28,48.33000183105469
2022-04-29,48.29999923706055
2022-05-02,48.470001220703125
2022-05-03,48.66999816894531
2022-05-04,49.119998931884766
2022-05-05,48.720001220703125
2022-05-06,48.400001525878906
2022-05-09,47.06999969482422
2022-05-10,47.369998931884766
2022-05-11,47.06999969482422
2022-05-12,46.900001525878906
2022-05-13,47.13999938964844
2022-05-16,46.54999923706055
2022-05-17,47.029998779296875
2022-05-18,46.18000030517578
2022-05-19,46.0099983215332
2022-05-20,45.689998626708984
2022-05-23,46.38999938964844
2022-05-24,46.439998626708984
2022-05-25,47.0
2022-05-26,47.45000076293945
2022-05-27,48.25
2022-05-31,48.2599983215332
2022-06-01,47.84000015258789
2022-06-02,48.43000030517578
2022-06-03,48.369998931884766
2022-06-06,48.130001068115234
2022-06-07,47.880001068115234
2022-06-08,47.93000030517578
2022-06-09,47.599998474121094
2022-06-10,47.400001525878906
2022-06-13,46.56999969482422
2022-06-14,46.40999984741211
2022-06-15,46.869998931884766
2022-06-16,46.529998779296875
2022-06-17,46.470001220703125
2022-06-21,46.79999923706055
2022-06-22,46.599998474121094
2022-06-23,46.65999984741211
2022-06-24,46.7400016784668
2022-06-27,46.66999816894531
2022-06-28,46.54999923706055
2022-06-29,46.599998474121094
2022-06-30,46.18000030517578
2022-07-01,45.709999084472656
2022-07-05,45.849998474121094
2022-07-06,45.7599983215332
