Date,FIVE
2022-02-28,163.61000061035156
2022-03-01,158.19000244140625
2022-03-02,165.6699981689453
2022-03-03,157.82000732421875
2022-03-04,149.66000366210938
2022-03-07,145.1699981689453
2022-03-08,149.27999877929688
2022-03-09,157.66000366210938
2022-03-10,160.00999450683594
2022-03-11,153.4199981689453
2022-03-14,148.8000030517578
2022-03-15,153.9499969482422
2022-03-16,159.00999450683594
2022-03-17,163.41000366210938
2022-03-18,164.1699981689453
2022-03-21,163.33999633789062
2022-03-22,166.74000549316406
2022-03-23,163.0399932861328
2022-03-24,164.75999450683594
2022-03-25,162.38999938964844
2022-03-28,165.3300018310547
2022-03-29,171.38999938964844
2022-03-30,160.1999969482422
2022-03-31,158.3699951171875
2022-04-01,162.67999267578125
2022-04-04,168.27000427246094
2022-04-05,165.74000549316406
2022-04-06,166.25999450683594
2022-04-07,168.07000732421875
2022-04-08,170.27999877929688
2022-04-11,173.9499969482422
2022-04-12,176.72000122070312
2022-04-13,180.9199981689453
2022-04-14,179.5399932861328
2022-04-18,177.0
2022-04-19,182.3699951171875
2022-04-20,183.9600067138672
2022-04-21,176.7899932861328
2022-04-22,169.05999755859375
2022-04-25,169.63999938964844
2022-04-26,162.0800018310547
2022-04-27,160.6300048828125
2022-04-28,167.07000732421875
2022-04-29,157.10000610351562
2022-05-02,162.5399932861328
2022-05-03,160.27000427246094
2022-05-04,162.10000610351562
2022-05-05,151.50999450683594
2022-05-06,146.55999755859375
2022-05-09,138.5
2022-05-10,138.52999877929688
2022-05-11,137.07000732421875
2022-05-12,139.08999633789062
2022-05-13,145.97999572753906
2022-05-16,141.0
2022-05-17,141.8800048828125
2022-05-18,125.51000213623047
2022-05-19,123.38999938964844
2022-05-20,117.54000091552734
2022-05-23,116.5
2022-05-24,114.48999786376953
2022-05-25,120.88999938964844
2022-05-26,135.6999969482422
2022-05-27,138.17999267578125
2022-05-31,130.58999633789062
2022-06-01,127.05999755859375
2022-06-02,131.39999389648438
2022-06-03,130.85000610351562
2022-06-06,132.72000122070312
2022-06-07,134.0500030517578
2022-06-08,135.3699951171875
2022-06-09,133.50999450683594
2022-06-10,127.44999694824219
2022-06-13,122.27999877929688
2022-06-14,120.66000366210938
2022-06-15,123.22000122070312
2022-06-16,116.31999969482422
2022-06-17,118.20999908447266
2022-06-21,117.73999786376953
2022-06-22,117.22000122070312
2022-06-23,122.37999725341797
2022-06-24,128.19000244140625
2022-06-27,124.19000244140625
2022-06-28,119.44999694824219
2022-06-29,116.16000366210938
2022-06-30,113.43000030517578
2022-07-01,112.98999786376953
2022-07-05,122.36000061035156
2022-07-06,119.11000061035156
2022-07-07,125.5
2022-07-08,122.37999725341797
2022-07-11,120.0199966430664
2022-07-12,119.04000091552734
2022-07-13,119.62000274658203
2022-07-14,116.44000244140625
2022-07-15,118.66000366210938
2022-07-18,119.61000061035156
2022-07-19,123.5999984741211
2022-07-20,125.18000030517578
2022-07-21,127.18000030517578
2022-07-22,124.83000183105469
2022-07-25,122.33999633789062
2022-07-26,114.0199966430664
2022-07-27,118.8499984741211
2022-07-28,125.98999786376953
2022-07-29,127.06999969482422
2022-08-01,133.7899932861328
2022-08-02,132.75
2022-08-03,139.17999267578125
2022-08-04,137.61000061035156
2022-08-05,138.55999755859375
2022-08-08,141.1699981689453
2022-08-09,134.22000122070312
2022-08-10,136.64999389648438
2022-08-11,139.27000427246094
2022-08-12,140.0800018310547
2022-08-15,138.11000061035156
2022-08-16,147.3800048828125
2022-08-17,143.97999572753906
2022-08-18,142.0399932861328
2022-08-19,135.97999572753906
2022-08-22,129.52000427246094
2022-08-23,131.72000122070312
2022-08-24,132.05999755859375
2022-08-25,134.1999969482422
2022-08-26,127.13999938964844
2022-08-29,126.01000213623047
2022-08-30,129.5399932861328
2022-08-31,127.87999725341797
2022-09-01,135.9199981689453
2022-09-02,129.82000732421875
2022-09-06,130.9600067138672
2022-09-07,140.94000244140625
2022-09-08,139.10000610351562
2022-09-09,142.66000366210938
2022-09-12,142.74000549316406
2022-09-13,133.97999572753906
2022-09-14,135.13999938964844
2022-09-15,136.02999877929688
2022-09-16,136.85000610351562
2022-09-19,140.66000366210938
2022-09-20,136.57000732421875
2022-09-21,135.3699951171875
2022-09-22,131.47999572753906
2022-09-23,132.99000549316406
2022-09-26,130.6300048828125
2022-09-27,134.42999267578125
2022-09-28,137.7899932861328
2022-09-29,138.39999389648438
2022-09-30,137.6699981689453
2022-10-03,141.25
2022-10-04,145.39999389648438
2022-10-05,145.00999450683594
2022-10-06,144.61000061035156
2022-10-07,140.10000610351562
2022-10-10,139.92999267578125
2022-10-11,141.1699981689453
2022-10-12,137.38999938964844
2022-10-13,136.5
2022-10-14,131.75999450683594
2022-10-17,136.16000366210938
2022-10-18,140.36000061035156
2022-10-19,135.27000427246094
2022-10-20,131.2100067138672
2022-10-21,138.27000427246094
2022-10-24,138.77999877929688
2022-10-25,147.99000549316406
2022-10-26,147.92999267578125
2022-10-27,147.3699951171875
2022-10-28,149.3300018310547
2022-10-31,146.35000610351562
2022-11-01,145.41000366210938
2022-11-02,142.97999572753906
2022-11-03,148.10000610351562
2022-11-04,149.17999267578125
2022-11-07,148.6199951171875
2022-11-08,149.9499969482422
2022-11-09,142.4600067138672
2022-11-10,156.25
2022-11-11,154.7100067138672
2022-11-14,151.36000061035156
2022-11-15,158.3800048828125
2022-11-16,149.77000427246094
2022-11-17,153.08999633789062
2022-11-18,154.82000732421875
2022-11-21,154.57000732421875
2022-11-22,159.77000427246094
2022-11-23,161.27000427246094
2022-11-25,161.6300048828125
2022-11-28,160.8300018310547
2022-11-29,157.0
2022-11-30,160.86000061035156
2022-12-01,187.47999572753906
2022-12-02,184.16000366210938
2022-12-05,183.36000061035156
2022-12-06,180.58999633789062
2022-12-07,178.55999755859375
2022-12-08,182.10000610351562
2022-12-09,176.75999450683594
2022-12-12,177.22999572753906
2022-12-13,179.82000732421875
2022-12-14,179.16000366210938
2022-12-15,175.5399932861328
2022-12-16,175.4199981689453
2022-12-19,167.83999633789062
2022-12-20,169.4600067138672
2022-12-21,172.4600067138672
2022-12-22,170.35000610351562
2022-12-23,174.75999450683594
2022-12-27,178.1699981689453
2022-12-28,176.6199951171875
2022-12-29,177.4199981689453
2022-12-30,176.8699951171875
2023-01-03,171.8800048828125
2023-01-04,173.57000732421875
2023-01-05,177.0800018310547
2023-01-06,177.0800018310547
2023-01-09,186.8300018310547
2023-01-10,190.5500030517578
2023-01-11,191.2100067138672
2023-01-12,188.36000061035156
2023-01-13,190.33999633789062
2023-01-17,185.91000366210938
2023-01-18,185.14999389648438
2023-01-19,181.5399932861328
2023-01-20,187.22000122070312
