Date,PI
2022-02-28,68.75
2022-03-01,66.52999877929688
2022-03-02,69.52999877929688
2022-03-03,64.88999938964844
2022-03-04,60.11000061035156
2022-03-07,56.27000045776367
2022-03-08,58.72999954223633
2022-03-09,61.2400016784668
2022-03-10,60.279998779296875
2022-03-11,58.65999984741211
2022-03-14,53.959999084472656
2022-03-15,58.0099983215332
2022-03-16,61.900001525878906
2022-03-17,63.720001220703125
2022-03-18,65.58000183105469
2022-03-21,63.29999923706055
2022-03-22,67.52999877929688
2022-03-23,65.36000061035156
2022-03-24,67.86000061035156
2022-03-25,64.52999877929688
2022-03-28,62.619998931884766
2022-03-29,67.05999755859375
2022-03-30,64.37000274658203
2022-03-31,63.540000915527344
2022-04-01,62.75
2022-04-04,64.58999633789062
2022-04-05,57.20000076293945
2022-04-06,53.529998779296875
2022-04-07,52.63999938964844
2022-04-08,50.61000061035156
2022-04-11,51.439998626708984
2022-04-12,51.380001068115234
2022-04-13,52.86000061035156
2022-04-14,50.869998931884766
2022-04-18,50.43000030517578
2022-04-19,51.15999984741211
2022-04-20,51.08000183105469
2022-04-21,47.31999969482422
2022-04-22,45.5
2022-04-25,49.369998931884766
2022-04-26,50.5099983215332
2022-04-27,50.619998931884766
2022-04-28,50.119998931884766
2022-04-29,49.2599983215332
2022-05-02,51.65999984741211
2022-05-03,52.38999938964844
2022-05-04,53.369998931884766
2022-05-05,49.29999923706055
2022-05-06,47.95000076293945
2022-05-09,43.33000183105469
2022-05-10,43.130001068115234
2022-05-11,41.290000915527344
2022-05-12,42.7599983215332
2022-05-13,47.11000061035156
2022-05-16,46.15999984741211
2022-05-17,47.2400016784668
2022-05-18,45.31999969482422
2022-05-19,45.81999969482422
2022-05-20,45.09000015258789
2022-05-23,44.84000015258789
2022-05-24,42.70000076293945
2022-05-25,44.619998931884766
2022-05-26,46.41999816894531
2022-05-27,48.150001525878906
2022-05-31,46.810001373291016
2022-06-01,46.25
2022-06-02,50.0099983215332
2022-06-03,49.029998779296875
2022-06-06,49.93000030517578
2022-06-07,53.13999938964844
2022-06-08,53.65999984741211
2022-06-09,55.88999938964844
2022-06-10,51.959999084472656
2022-06-13,48.099998474121094
2022-06-14,49.43000030517578
2022-06-15,50.29999923706055
2022-06-16,47.41999816894531
2022-06-17,49.38999938964844
2022-06-21,51.45000076293945
2022-06-22,51.220001220703125
2022-06-23,54.86000061035156
2022-06-24,55.810001373291016
2022-06-27,56.150001525878906
2022-06-28,56.02000045776367
2022-06-29,56.75
2022-06-30,58.66999816894531
2022-07-01,54.630001068115234
2022-07-05,60.060001373291016
2022-07-06,60.45000076293945
2022-07-07,65.16000366210938
2022-07-08,65.5199966430664
2022-07-11,64.75
2022-07-12,65.08999633789062
2022-07-13,64.62999725341797
2022-07-14,65.91999816894531
2022-07-15,67.5
2022-07-18,67.36000061035156
