Date,ALGM
2022-02-28,28.670000076293945
2022-03-01,27.700000762939453
2022-03-02,27.84000015258789
2022-03-03,26.940000534057617
2022-03-04,25.950000762939453
2022-03-07,25.0
2022-03-08,25.670000076293945
2022-03-09,26.709999084472656
2022-03-10,26.25
2022-03-11,25.770000457763672
2022-03-14,25.079999923706055
2022-03-15,25.90999984741211
2022-03-16,27.530000686645508
2022-03-17,28.25
2022-03-18,29.5
2022-03-21,29.3700008392334
2022-03-22,29.06999969482422
2022-03-23,28.309999465942383
2022-03-24,29.31999969482422
2022-03-25,29.18000030517578
2022-03-28,28.8700008392334
2022-03-29,30.049999237060547
2022-03-30,29.489999771118164
2022-03-31,28.399999618530273
2022-04-01,28.170000076293945
2022-04-04,28.139999389648438
2022-04-05,26.540000915527344
2022-04-06,25.65999984741211
2022-04-07,25.40999984741211
2022-04-08,24.690000534057617
2022-04-11,24.020000457763672
2022-04-12,23.75
2022-04-13,24.469999313354492
2022-04-14,23.979999542236328
2022-04-18,24.399999618530273
2022-04-19,24.969999313354492
2022-04-20,24.81999969482422
2022-04-21,24.219999313354492
2022-04-22,24.06999969482422
2022-04-25,24.549999237060547
2022-04-26,23.8700008392334
2022-04-27,23.889999389648438
2022-04-28,25.079999923706055
2022-04-29,24.309999465942383
2022-05-02,25.1200008392334
2022-05-03,25.739999771118164
2022-05-04,26.3700008392334
2022-05-05,25.760000228881836
2022-05-06,25.290000915527344
2022-05-09,23.950000762939453
2022-05-10,22.90999984741211
2022-05-11,22.399999618530273
2022-05-12,22.549999237060547
2022-05-13,23.6200008392334
2022-05-16,23.479999542236328
2022-05-17,24.239999771118164
2022-05-18,23.09000015258789
2022-05-19,23.309999465942383
2022-05-20,23.6299991607666
2022-05-23,24.200000762939453
2022-05-24,23.729999542236328
2022-05-25,24.15999984741211
2022-05-26,24.579999923706055
2022-05-27,25.549999237060547
2022-05-31,25.75
2022-06-01,25.350000381469727
2022-06-02,25.719999313354492
2022-06-03,25.079999923706055
2022-06-06,24.489999771118164
2022-06-07,24.959999084472656
2022-06-08,24.469999313354492
2022-06-09,23.729999542236328
2022-06-10,23.0
2022-06-13,21.450000762939453
2022-06-14,21.719999313354492
2022-06-15,22.030000686645508
2022-06-16,20.34000015258789
2022-06-17,20.719999313354492
2022-06-21,21.219999313354492
2022-06-22,20.799999237060547
2022-06-23,20.75
2022-06-24,21.43000030517578
2022-06-27,21.520000457763672
2022-06-28,21.190000534057617
2022-06-29,20.889999389648438
2022-06-30,20.690000534057617
2022-07-01,19.959999084472656
2022-07-05,19.6299991607666
2022-07-06,19.6299991607666
2022-07-07,20.31999969482422
2022-07-08,20.389999389648438
