Date,GRFS
2022-02-28,12.359999656677246
2022-03-01,12.329999923706055
2022-03-02,12.729999542236328
2022-03-03,11.770000457763672
2022-03-04,11.170000076293945
2022-03-07,11.289999961853027
2022-03-08,10.949999809265137
2022-03-09,11.479999542236328
2022-03-10,11.270000457763672
2022-03-11,11.109999656677246
2022-03-14,11.25
2022-03-15,10.720000267028809
2022-03-16,11.010000228881836
2022-03-17,11.229999542236328
2022-03-18,11.210000038146973
2022-03-21,10.890000343322754
2022-03-22,11.079999923706055
2022-03-23,10.369999885559082
2022-03-24,10.380000114440918
2022-03-25,10.529999732971191
2022-03-28,10.569999694824219
2022-03-29,10.75
2022-03-30,11.8100004196167
2022-03-31,11.680000305175781
2022-04-01,11.930000305175781
2022-04-04,12.170000076293945
2022-04-05,11.850000381469727
2022-04-06,11.5
2022-04-07,11.399999618530273
2022-04-08,11.319999694824219
2022-04-11,10.960000038146973
2022-04-12,10.8100004196167
2022-04-13,10.779999732971191
2022-04-14,10.760000228881836
2022-04-18,10.600000381469727
2022-04-19,10.9399995803833
2022-04-20,11.140000343322754
2022-04-21,11.279999732971191
2022-04-22,11.029999732971191
2022-04-25,11.319999694824219
2022-04-26,10.880000114440918
2022-04-27,10.710000038146973
2022-04-28,11.079999923706055
2022-04-29,10.729999542236328
2022-05-02,10.789999961853027
2022-05-03,11.149999618530273
2022-05-04,11.390000343322754
2022-05-05,11.289999961853027
2022-05-06,12.5600004196167
2022-05-09,11.829999923706055
2022-05-10,11.960000038146973
2022-05-11,12.550000190734863
2022-05-12,12.520000457763672
2022-05-13,12.960000038146973
2022-05-16,13.140000343322754
2022-05-17,12.920000076293945
2022-05-18,12.960000038146973
2022-05-19,13.079999923706055
2022-05-20,13.069999694824219
2022-05-23,13.130000114440918
2022-05-24,13.279999732971191
2022-05-25,13.069999694824219
2022-05-26,13.199999809265137
2022-05-27,13.109999656677246
2022-05-31,12.880000114440918
2022-06-01,12.59000015258789
2022-06-02,12.880000114440918
2022-06-03,12.579999923706055
2022-06-06,12.789999961853027
2022-06-07,12.789999961853027
2022-06-08,12.779999732971191
2022-06-09,12.59000015258789
2022-06-10,11.930000305175781
2022-06-13,11.8100004196167
2022-06-14,11.399999618530273
2022-06-15,11.40999984741211
2022-06-16,11.3100004196167
2022-06-17,11.569999694824219
2022-06-21,11.470000267028809
2022-06-22,11.539999961853027
2022-06-23,11.899999618530273
2022-06-24,11.989999771118164
2022-06-27,12.859999656677246
2022-06-28,12.300000190734863
2022-06-29,11.300000190734863
2022-06-30,11.880000114440918
2022-07-01,12.489999771118164
2022-07-05,11.970000267028809
2022-07-06,11.199999809265137
2022-07-07,11.119999885559082
2022-07-08,10.949999809265137
2022-07-11,11.039999961853027
2022-07-12,10.569999694824219
2022-07-13,10.390000343322754
2022-07-14,9.680000305175781
2022-07-15,10.140000343322754
2022-07-18,10.3100004196167
2022-07-19,10.619999885559082
2022-07-20,10.600000381469727
2022-07-21,10.5
2022-07-22,10.5600004196167
2022-07-25,10.5600004196167
2022-07-26,10.619999885559082
2022-07-27,10.600000381469727
2022-07-28,9.520000457763672
2022-07-29,8.880000114440918
2022-08-01,8.600000381469727
2022-08-02,8.289999961853027
2022-08-03,8.569999694824219
2022-08-04,9.09000015258789
2022-08-05,8.899999618530273
2022-08-08,8.960000038146973
2022-08-09,8.819999694824219
2022-08-10,8.970000267028809
2022-08-11,8.979999542236328
2022-08-12,9.0
2022-08-15,8.920000076293945
2022-08-16,8.84000015258789
