Date,SMTC
2022-02-28,69.37999725341797
2022-03-01,66.0999984741211
2022-03-02,68.52999877929688
2022-03-03,66.77999877929688
2022-03-04,64.66999816894531
2022-03-07,61.849998474121094
2022-03-08,62.599998474121094
2022-03-09,64.91999816894531
2022-03-10,63.33000183105469
2022-03-11,62.06999969482422
2022-03-14,60.95000076293945
2022-03-15,63.2400016784668
2022-03-16,66.66000366210938
2022-03-17,69.41000366210938
2022-03-18,70.95999908447266
2022-03-21,70.73999786376953
2022-03-22,71.25
2022-03-23,68.87000274658203
2022-03-24,70.66000366210938
2022-03-25,70.41999816894531
2022-03-28,71.06999969482422
2022-03-29,72.87999725341797
2022-03-30,70.80999755859375
2022-03-31,69.33999633789062
2022-04-01,67.77999877929688
2022-04-04,69.47000122070312
2022-04-05,65.2699966430664
2022-04-06,62.18000030517578
2022-04-07,62.4900016784668
2022-04-08,60.720001220703125
2022-04-11,60.2599983215332
2022-04-12,61.06999969482422
2022-04-13,62.86000061035156
2022-04-14,61.83000183105469
2022-04-18,62.4900016784668
2022-04-19,63.099998474121094
2022-04-20,62.84000015258789
2022-04-21,61.5
2022-04-22,59.81999969482422
2022-04-25,60.9900016784668
2022-04-26,58.849998474121094
2022-04-27,58.97999954223633
2022-04-28,61.38999938964844
2022-04-29,59.599998474121094
2022-05-02,61.189998626708984
2022-05-03,62.33000183105469
2022-05-04,65.0199966430664
2022-05-05,61.63999938964844
2022-05-06,61.5099983215332
2022-05-09,57.779998779296875
2022-05-10,59.310001373291016
2022-05-11,57.099998474121094
2022-05-12,58.29999923706055
2022-05-13,60.4900016784668
2022-05-16,59.310001373291016
2022-05-17,61.790000915527344
2022-05-18,59.09000015258789
2022-05-19,59.7400016784668
2022-05-20,60.58000183105469
2022-05-23,60.27000045776367
2022-05-24,58.470001220703125
2022-05-25,59.5099983215332
2022-05-26,62.540000915527344
2022-05-27,64.27999877929688
2022-05-31,64.08999633789062
2022-06-01,64.37999725341797
2022-06-02,64.3499984741211
2022-06-03,62.540000915527344
2022-06-06,62.150001525878906
2022-06-07,62.58000183105469
2022-06-08,60.650001525878906
2022-06-09,60.06999969482422
2022-06-10,58.81999969482422
2022-06-13,56.11000061035156
2022-06-14,57.150001525878906
2022-06-15,57.34000015258789
2022-06-16,53.470001220703125
2022-06-17,54.720001220703125
2022-06-21,55.970001220703125
2022-06-22,54.95000076293945
2022-06-23,54.72999954223633
2022-06-24,57.34000015258789
2022-06-27,56.86000061035156
2022-06-28,55.56999969482422
