Date,CME
2022-02-28,236.52999877929688
2022-03-01,233.4499969482422
2022-03-02,236.74000549316406
2022-03-03,240.82000732421875
2022-03-04,243.77000427246094
2022-03-07,235.72999572753906
2022-03-08,222.72999572753906
2022-03-09,230.08999633789062
2022-03-10,227.9600067138672
2022-03-11,225.9600067138672
2022-03-14,229.57000732421875
2022-03-15,232.0
2022-03-16,242.00999450683594
2022-03-17,246.27999877929688
2022-03-18,249.60000610351562
2022-03-21,250.75999450683594
2022-03-22,247.99000549316406
2022-03-23,246.7899932861328
2022-03-24,244.92999267578125
2022-03-25,247.72000122070312
2022-03-28,244.5800018310547
2022-03-29,240.88999938964844
2022-03-30,241.8000030517578
2022-03-31,237.86000061035156
2022-04-01,239.82000732421875
2022-04-04,234.58999633789062
2022-04-05,237.4600067138672
2022-04-06,243.4499969482422
2022-04-07,244.3000030517578
2022-04-08,242.5
2022-04-11,239.83999633789062
2022-04-12,236.02999877929688
2022-04-13,239.36000061035156
2022-04-14,237.66000366210938
2022-04-18,236.24000549316406
2022-04-19,234.10000610351562
2022-04-20,236.1999969482422
2022-04-21,228.3699951171875
2022-04-22,222.9199981689453
2022-04-25,221.55999755859375
2022-04-26,213.27000427246094
2022-04-27,225.92999267578125
2022-04-28,225.72000122070312
2022-04-29,219.33999633789062
2022-05-02,216.77999877929688
2022-05-03,219.16000366210938
2022-05-04,220.66000366210938
2022-05-05,213.27000427246094
2022-05-06,210.3699951171875
2022-05-09,201.60000610351562
2022-05-10,200.27000427246094
2022-05-11,198.6199951171875
2022-05-12,196.00999450683594
2022-05-13,200.10000610351562
2022-05-16,196.1699981689453
2022-05-17,196.02999877929688
2022-05-18,188.47999572753906
2022-05-19,190.14999389648438
2022-05-20,192.11000061035156
2022-05-23,191.60000610351562
2022-05-24,191.6699981689453
2022-05-25,195.42999267578125
2022-05-26,196.91000366210938
2022-05-27,199.92999267578125
2022-05-31,198.8300018310547
2022-06-01,199.3699951171875
2022-06-02,204.67999267578125
2022-06-03,200.0
2022-06-06,199.36000061035156
2022-06-07,202.75999450683594
2022-06-08,199.57000732421875
2022-06-09,197.92999267578125
2022-06-10,199.89999389648438
2022-06-13,202.99000549316406
2022-06-14,196.11000061035156
2022-06-15,200.8800048828125
2022-06-16,203.27999877929688
2022-06-17,200.52999877929688
2022-06-21,208.5
2022-06-22,208.4600067138672
2022-06-23,208.4600067138672
2022-06-24,210.0
2022-06-27,209.44000244140625
2022-06-28,206.1199951171875
2022-06-29,206.14999389648438
2022-06-30,204.6999969482422
2022-07-01,204.27999877929688
2022-07-05,204.36000061035156
2022-07-06,203.9600067138672
2022-07-07,208.77999877929688
2022-07-08,208.89999389648438
2022-07-11,208.33999633789062
2022-07-12,203.1699981689453
2022-07-13,203.5500030517578
2022-07-14,199.52999877929688
2022-07-15,201.94000244140625
2022-07-18,200.44000244140625
2022-07-19,203.82000732421875
2022-07-20,204.14999389648438
2022-07-21,205.7899932861328
2022-07-22,204.47999572753906
2022-07-25,204.4600067138672
2022-07-26,203.77999877929688
2022-07-27,195.99000549316406
2022-07-28,199.52000427246094
2022-07-29,199.47999572753906
2022-08-01,195.75
2022-08-02,197.52000427246094
2022-08-03,197.74000549316406
2022-08-04,200.02999877929688
2022-08-05,202.14999389648438
2022-08-08,201.4600067138672
2022-08-09,202.9499969482422
2022-08-10,198.39999389648438
2022-08-11,199.02000427246094
2022-08-12,202.60000610351562
2022-08-15,202.2899932861328
2022-08-16,205.4600067138672
2022-08-17,206.4499969482422
2022-08-18,207.9199981689453
2022-08-19,202.07000732421875
2022-08-22,199.69000244140625
2022-08-23,197.67999267578125
2022-08-24,198.89999389648438
2022-08-25,199.1300048828125
2022-08-26,196.35000610351562
2022-08-29,195.39999389648438
2022-08-30,195.19000244140625
2022-08-31,195.61000061035156
2022-09-01,199.4199981689453
2022-09-02,194.69000244140625
2022-09-06,198.02999877929688
2022-09-07,200.33999633789062
2022-09-08,201.97999572753906
2022-09-09,201.32000732421875
2022-09-12,200.2100067138672
2022-09-13,194.0800018310547
2022-09-14,191.3000030517578
2022-09-15,190.77000427246094
2022-09-16,191.55999755859375
2022-09-19,190.72000122070312
2022-09-20,187.25
2022-09-21,182.02999877929688
2022-09-22,183.3300018310547
2022-09-23,181.0800018310547
2022-09-26,179.97999572753906
2022-09-27,176.25999450683594
2022-09-28,179.52999877929688
2022-09-29,178.6699981689453
2022-09-30,177.1300048828125
2022-10-03,178.17999267578125
2022-10-04,182.1300048828125
2022-10-05,180.8699951171875
2022-10-06,175.64999389648438
2022-10-07,169.9199981689453
2022-10-10,169.4600067138672
2022-10-11,169.9499969482422
2022-10-12,171.7100067138672
2022-10-13,174.44000244140625
2022-10-14,171.82000732421875
2022-10-17,174.14999389648438
2022-10-18,174.25999450683594
2022-10-19,172.8000030517578
2022-10-20,170.39999389648438
2022-10-21,169.99000549316406
2022-10-24,172.00999450683594
2022-10-25,175.8000030517578
2022-10-26,171.92999267578125
2022-10-27,172.72999572753906
2022-10-28,174.75
2022-10-31,173.3000030517578
2022-11-01,173.52999877929688
2022-11-02,172.8800048828125
2022-11-03,170.9199981689453
2022-11-04,170.6699981689453
2022-11-07,169.74000549316406
2022-11-08,173.1999969482422
2022-11-09,171.0
2022-11-10,174.33999633789062
2022-11-11,174.25
2022-11-14,173.89999389648438
2022-11-15,173.7899932861328
2022-11-16,174.88999938964844
2022-11-17,173.52999877929688
2022-11-18,172.5
2022-11-21,176.5
2022-11-22,174.25
2022-11-23,176.0
2022-11-25,175.0
2022-11-28,173.1300048828125
2022-11-29,174.80999755859375
2022-11-30,176.5
2022-12-01,177.89999389648438
2022-12-02,176.6300048828125
2022-12-05,180.3800048828125
2022-12-06,179.88999938964844
2022-12-07,176.0
2022-12-08,177.1999969482422
2022-12-09,178.8300018310547
2022-12-12,180.88999938964844
2022-12-13,178.1300048828125
2022-12-14,174.9199981689453
2022-12-15,172.47000122070312
2022-12-16,171.1199951171875
