Date,VERX
2022-02-28,13.930000305175781
2022-03-01,13.720000267028809
2022-03-02,13.640000343322754
2022-03-03,13.15999984741211
2022-03-04,13.319999694824219
2022-03-07,13.40999984741211
2022-03-08,13.529999732971191
2022-03-09,13.829999923706055
2022-03-10,13.680000305175781
2022-03-11,13.779999732971191
2022-03-14,12.770000457763672
2022-03-15,13.180000305175781
2022-03-16,13.199999809265137
2022-03-17,14.289999961853027
2022-03-18,14.260000228881836
2022-03-21,14.289999961853027
2022-03-22,14.800000190734863
2022-03-23,14.630000114440918
2022-03-24,14.729999542236328
2022-03-25,14.569999694824219
2022-03-28,14.449999809265137
2022-03-29,14.979999542236328
2022-03-30,14.979999542236328
2022-03-31,15.34000015258789
2022-04-01,15.9399995803833
2022-04-04,16.25
2022-04-05,16.079999923706055
2022-04-06,15.739999771118164
2022-04-07,16.010000228881836
2022-04-08,15.6899995803833
2022-04-11,15.630000114440918
2022-04-12,15.6899995803833
2022-04-13,16.049999237060547
2022-04-14,15.710000038146973
2022-04-18,15.520000457763672
2022-04-19,15.300000190734863
2022-04-20,15.0600004196167
2022-04-21,14.550000190734863
2022-04-22,14.489999771118164
2022-04-25,14.65999984741211
2022-04-26,14.09000015258789
2022-04-27,13.779999732971191
2022-04-28,14.0
2022-04-29,14.229999542236328
2022-05-02,14.529999732971191
2022-05-03,13.850000381469727
2022-05-04,14.390000343322754
2022-05-05,13.279999732971191
2022-05-06,13.050000190734863
2022-05-09,12.529999732971191
2022-05-10,11.289999961853027
2022-05-11,10.0600004196167
2022-05-12,10.90999984741211
2022-05-13,11.84000015258789
2022-05-16,11.229999542236328
2022-05-17,11.59000015258789
2022-05-18,11.1899995803833
2022-05-19,11.529999732971191
2022-05-20,12.140000343322754
2022-05-23,11.960000038146973
2022-05-24,10.670000076293945
2022-05-25,11.199999809265137
2022-05-26,11.289999961853027
2022-05-27,11.420000076293945
2022-05-31,11.0600004196167
2022-06-01,11.15999984741211
2022-06-02,11.630000114440918
2022-06-03,11.270000457763672
2022-06-06,11.039999961853027
2022-06-07,11.289999961853027
2022-06-08,11.300000190734863
2022-06-09,10.880000114440918
2022-06-10,10.640000343322754
2022-06-13,9.59000015258789
2022-06-14,9.920000076293945
2022-06-15,10.319999694824219
2022-06-16,9.8100004196167
2022-06-17,10.0600004196167
2022-06-21,10.609999656677246
2022-06-22,10.329999923706055
2022-06-23,11.050000190734863
2022-06-24,11.819999694824219
2022-06-27,11.569999694824219
2022-06-28,11.449999809265137
2022-06-29,11.569999694824219
2022-06-30,11.329999923706055
2022-07-01,10.979999542236328
2022-07-05,11.729999542236328
