Date,TXRH
2022-02-28,94.91000366210938
2022-03-01,89.80999755859375
2022-03-02,90.94999694824219
2022-03-03,85.29000091552734
2022-03-04,83.75
2022-03-07,71.20999908447266
2022-03-08,74.5199966430664
2022-03-09,78.20999908447266
2022-03-10,78.58999633789062
2022-03-11,78.80000305175781
2022-03-14,79.11000061035156
2022-03-15,78.3499984741211
2022-03-16,82.2699966430664
2022-03-17,82.3499984741211
2022-03-18,83.6500015258789
2022-03-21,83.08000183105469
2022-03-22,82.08000183105469
2022-03-23,79.98999786376953
2022-03-24,83.55999755859375
2022-03-25,81.56999969482422
2022-03-28,82.1500015258789
2022-03-29,85.06999969482422
2022-03-30,82.91999816894531
2022-03-31,83.7300033569336
2022-04-01,81.72000122070312
2022-04-04,83.29000091552734
2022-04-05,83.16999816894531
2022-04-06,81.76000213623047
2022-04-07,81.3499984741211
2022-04-08,81.4000015258789
2022-04-11,79.0999984741211
2022-04-12,80.83999633789062
2022-04-13,83.22000122070312
2022-04-14,81.83999633789062
2022-04-18,83.43000030517578
2022-04-19,85.23999786376953
2022-04-20,85.93000030517578
2022-04-21,85.06999969482422
2022-04-22,82.87000274658203
2022-04-25,87.43000030517578
2022-04-26,83.01000213623047
2022-04-27,82.01000213623047
2022-04-28,84.37000274658203
2022-04-29,82.33000183105469
2022-05-02,84.68000030517578
2022-05-03,82.94000244140625
2022-05-04,81.4800033569336
2022-05-05,78.41000366210938
2022-05-06,83.91000366210938
2022-05-09,77.05999755859375
2022-05-10,79.62000274658203
2022-05-11,75.05000305175781
2022-05-12,76.4800033569336
2022-05-13,78.54000091552734
2022-05-16,76.01000213623047
2022-05-17,77.22000122070312
2022-05-18,71.94999694824219
2022-05-19,71.94000244140625
2022-05-20,71.37000274658203
2022-05-23,71.18000030517578
2022-05-24,69.91999816894531
2022-05-25,75.81999969482422
2022-05-26,79.19000244140625
2022-05-27,80.31999969482422
2022-05-31,77.97000122070312
2022-06-01,75.98999786376953
2022-06-02,80.19000244140625
2022-06-03,80.13999938964844
2022-06-06,80.87000274658203
2022-06-07,81.55999755859375
2022-06-08,80.19000244140625
2022-06-09,79.98999786376953
2022-06-10,77.83999633789062
2022-06-13,73.4800033569336
2022-06-14,71.5
2022-06-15,73.36000061035156
2022-06-16,69.5999984741211
2022-06-17,72.19999694824219
2022-06-21,71.0
2022-06-22,72.95999908447266
2022-06-23,73.61000061035156
2022-06-24,76.94999694824219
2022-06-27,77.0199966430664
2022-06-28,74.91999816894531
2022-06-29,74.19999694824219
2022-06-30,73.19999694824219
2022-07-01,75.29000091552734
2022-07-05,78.04000091552734
2022-07-06,77.87999725341797
2022-07-07,80.70999908447266
2022-07-08,78.37999725341797
2022-07-11,78.55999755859375
2022-07-12,79.05999755859375
2022-07-13,79.36000061035156
2022-07-14,79.69000244140625
2022-07-15,81.5999984741211
2022-07-18,80.33000183105469
2022-07-19,82.58000183105469
2022-07-20,84.4800033569336
2022-07-21,84.0
2022-07-22,83.80999755859375
2022-07-25,82.97000122070312
2022-07-26,81.12999725341797
2022-07-27,85.1500015258789
2022-07-28,87.80999755859375
2022-07-29,87.22000122070312
2022-08-01,86.52999877929688
2022-08-02,86.88999938964844
2022-08-03,89.44000244140625
2022-08-04,89.66999816894531
2022-08-05,88.38999938964844
2022-08-08,89.4000015258789
2022-08-09,89.19999694824219
2022-08-10,92.79000091552734
2022-08-11,92.19000244140625
2022-08-12,94.08000183105469
2022-08-15,93.95999908447266
2022-08-16,95.08999633789062
2022-08-17,95.22000122070312
2022-08-18,95.1500015258789
2022-08-19,91.91999816894531
2022-08-22,89.7699966430664
2022-08-23,89.88999938964844
2022-08-24,91.58000183105469
2022-08-25,92.69000244140625
2022-08-26,90.31999969482422
2022-08-29,90.18000030517578
2022-08-30,89.93000030517578
2022-08-31,88.76000213623047
2022-09-01,89.05999755859375
2022-09-02,87.47000122070312
2022-09-06,86.23999786376953
2022-09-07,89.08999633789062
2022-09-08,91.0
2022-09-09,91.18000030517578
2022-09-12,91.12000274658203
2022-09-13,88.48999786376953
2022-09-14,90.7699966430664
2022-09-15,90.22000122070312
2022-09-16,90.5
2022-09-19,90.77999877929688
2022-09-20,90.4800033569336
2022-09-21,89.44999694824219
2022-09-22,86.41999816894531
2022-09-23,84.37999725341797
2022-09-26,84.55000305175781
2022-09-27,85.91000366210938
2022-09-28,89.62999725341797
2022-09-29,89.02999877929688
2022-09-30,87.26000213623047
2022-10-03,87.11000061035156
2022-10-04,91.27999877929688
2022-10-05,91.02999877929688
2022-10-06,88.9800033569336
2022-10-07,87.26000213623047
2022-10-10,88.16999816894531
2022-10-11,91.37999725341797
2022-10-12,94.08999633789062
2022-10-13,94.9000015258789
2022-10-14,92.66999816894531
2022-10-17,94.58000183105469
2022-10-18,96.20999908447266
2022-10-19,95.91000366210938
2022-10-20,93.33000183105469
2022-10-21,95.45999908447266
2022-10-24,95.62999725341797
2022-10-25,96.58000183105469
2022-10-26,97.26000213623047
2022-10-27,98.75
2022-10-28,98.70999908447266
2022-10-31,98.94999694824219
2022-11-01,98.9800033569336
2022-11-02,98.37999725341797
2022-11-03,98.43000030517578
2022-11-04,98.91000366210938
2022-11-07,96.04000091552734
2022-11-08,97.66999816894531
2022-11-09,97.61000061035156
2022-11-10,100.86000061035156
2022-11-11,96.12000274658203
2022-11-14,96.61000061035156
2022-11-15,98.08999633789062
2022-11-16,98.25
2022-11-17,98.41999816894531
2022-11-18,97.97000122070312
2022-11-21,97.52999877929688
2022-11-22,98.30000305175781
2022-11-23,99.12999725341797
