Date,WTFC
2022-02-28,99.36000061035156
2022-03-01,92.31999969482422
2022-03-02,98.12000274658203
2022-03-03,98.0
2022-03-04,92.45999908447266
2022-03-07,87.30000305175781
2022-03-08,89.33000183105469
2022-03-09,92.30000305175781
2022-03-10,91.44999694824219
2022-03-11,91.7699966430664
2022-03-14,92.0199966430664
2022-03-15,92.38999938964844
2022-03-16,96.41999816894531
2022-03-17,94.91000366210938
2022-03-18,94.51000213623047
2022-03-21,94.62000274658203
2022-03-22,96.08999633789062
2022-03-23,92.12999725341797
2022-03-24,92.88999938964844
2022-03-25,96.7300033569336
2022-03-28,95.31999969482422
2022-03-29,96.29000091552734
2022-03-30,94.13999938964844
2022-03-31,92.93000030517578
2022-04-01,92.0999984741211
2022-04-04,91.87999725341797
2022-04-05,91.30999755859375
2022-04-06,89.87999725341797
2022-04-07,88.37000274658203
2022-04-08,89.0199966430664
2022-04-11,89.48999786376953
2022-04-12,88.29000091552734
2022-04-13,89.66999816894531
2022-04-14,88.5999984741211
2022-04-18,89.30999755859375
2022-04-19,92.56999969482422
2022-04-20,95.91000366210938
2022-04-21,96.01000213623047
2022-04-22,92.77999877929688
2022-04-25,92.33999633789062
2022-04-26,88.37000274658203
2022-04-27,88.9800033569336
2022-04-28,89.80999755859375
2022-04-29,87.31999969482422
2022-05-02,88.16000366210938
2022-05-03,89.16000366210938
2022-05-04,91.4000015258789
2022-05-05,87.62000274658203
2022-05-06,86.19999694824219
2022-05-09,84.75
2022-05-10,84.80999755859375
2022-05-11,83.81999969482422
2022-05-12,82.69000244140625
2022-05-13,83.6500015258789
2022-05-16,82.62999725341797
2022-05-17,85.63999938964844
2022-05-18,82.55999755859375
2022-05-19,81.19000244140625
2022-05-20,81.43000030517578
2022-05-23,83.55000305175781
2022-05-24,83.05000305175781
2022-05-25,84.66000366210938
2022-05-26,86.58000183105469
2022-05-27,87.51000213623047
2022-05-31,87.38999938964844
2022-06-01,86.70999908447266
2022-06-02,89.76000213623047
2022-06-03,89.20999908447266
2022-06-06,89.37999725341797
2022-06-07,90.2699966430664
2022-06-08,87.66999816894531
2022-06-09,84.9000015258789
2022-06-10,81.88999938964844
2022-06-13,78.79000091552734
2022-06-14,79.44999694824219
2022-06-15,80.44000244140625
2022-06-16,76.44000244140625
2022-06-17,78.2699966430664
2022-06-21,79.69000244140625
2022-06-22,79.91999816894531
2022-06-23,78.52999877929688
2022-06-24,82.48999786376953
2022-06-27,81.93000030517578
2022-06-28,81.66999816894531
2022-06-29,80.6500015258789
2022-06-30,80.1500015258789
2022-07-01,81.31999969482422
2022-07-05,81.04000091552734
2022-07-06,79.7300033569336
2022-07-07,81.45999908447266
2022-07-08,81.16000366210938
2022-07-11,80.16999816894531
2022-07-12,79.87000274658203
2022-07-13,78.70999908447266
2022-07-14,78.13999938964844
2022-07-15,81.52999877929688
2022-07-18,81.6500015258789
2022-07-19,84.5
2022-07-20,85.94999694824219
2022-07-21,86.04000091552734
2022-07-22,85.7699966430664
