Date,WYNN
2022-02-28,86.5199966430664
2022-03-01,81.63999938964844
2022-03-02,88.62999725341797
2022-03-03,85.29000091552734
2022-03-04,81.2699966430664
2022-03-07,72.06999969482422
2022-03-08,71.73999786376953
2022-03-09,77.2699966430664
2022-03-10,76.52999877929688
2022-03-11,72.31999969482422
2022-03-14,66.87999725341797
2022-03-15,69.5199966430664
2022-03-16,75.16999816894531
2022-03-17,76.91000366210938
2022-03-18,79.6500015258789
2022-03-21,78.30000305175781
2022-03-22,79.93000030517578
2022-03-23,78.63999938964844
2022-03-24,81.37000274658203
2022-03-25,80.2699966430664
2022-03-28,80.12999725341797
2022-03-29,81.75
2022-03-30,81.16999816894531
2022-03-31,79.73999786376953
2022-04-01,80.62999725341797
2022-04-04,81.83999633789062
2022-04-05,79.06999969482422
2022-04-06,76.16999816894531
2022-04-07,73.97000122070312
2022-04-08,72.2300033569336
2022-04-11,71.29000091552734
2022-04-12,71.5
2022-04-13,73.56999969482422
2022-04-14,73.97000122070312
2022-04-18,73.45999908447266
2022-04-19,77.80000305175781
2022-04-20,77.75
2022-04-21,75.41999816894531
2022-04-22,73.19999694824219
2022-04-25,72.20999908447266
2022-04-26,68.22000122070312
2022-04-27,67.94999694824219
2022-04-28,70.73999786376953
2022-04-29,70.4800033569336
2022-05-02,71.70999908447266
2022-05-03,71.69000244140625
2022-05-04,71.95999908447266
2022-05-05,68.48999786376953
2022-05-06,66.30000305175781
2022-05-09,61.33000183105469
2022-05-10,61.650001525878906
2022-05-11,58.849998474121094
2022-05-12,58.560001373291016
2022-05-13,66.2699966430664
2022-05-16,63.939998626708984
2022-05-17,66.4000015258789
2022-05-18,62.81999969482422
2022-05-19,62.79999923706055
2022-05-20,63.06999969482422
2022-05-23,61.939998626708984
2022-05-24,58.189998626708984
2022-05-25,59.720001220703125
2022-05-26,64.43000030517578
2022-05-27,65.26000213623047
2022-05-31,66.0999984741211
2022-06-01,65.12999725341797
2022-06-02,66.66999816894531
2022-06-03,65.2300033569336
2022-06-06,66.83999633789062
2022-06-07,67.45999908447266
2022-06-08,70.27999877929688
2022-06-09,66.27999877929688
2022-06-10,62.290000915527344
2022-06-13,57.61000061035156
2022-06-14,58.0099983215332
2022-06-15,59.34000015258789
2022-06-16,54.4900016784668
2022-06-17,54.959999084472656
2022-06-21,54.29999923706055
2022-06-22,53.400001525878906
2022-06-23,52.02000045776367
2022-06-24,58.290000915527344
2022-06-27,57.689998626708984
2022-06-28,59.5099983215332
2022-06-29,58.0
2022-06-30,56.97999954223633
2022-07-01,58.18000030517578
2022-07-05,57.790000915527344
2022-07-06,55.84000015258789
2022-07-07,57.86000061035156
2022-07-08,56.459999084472656
2022-07-11,52.810001373291016
