Date,ASML
2022-02-28,666.510009765625
2022-03-01,634.2100219726562
2022-03-02,655.3699951171875
2022-03-03,630.7899780273438
2022-03-04,594.3200073242188
2022-03-07,574.3400268554688
2022-03-08,573.0399780273438
2022-03-09,621.3400268554688
2022-03-10,600.0700073242188
2022-03-11,585.8499755859375
2022-03-14,577.5499877929688
2022-03-15,596.7000122070312
2022-03-16,650.6300048828125
2022-03-17,654.0999755859375
2022-03-18,679.8599853515625
2022-03-21,682.9099731445312
2022-03-22,688.739990234375
2022-03-23,665.3599853515625
2022-03-24,690.5399780273438
2022-03-25,687.3599853515625
2022-03-28,694.8300170898438
2022-03-29,709.1400146484375
2022-03-30,684.5599975585938
2022-03-31,667.9299926757812
2022-04-01,667.72998046875
2022-04-04,680.8300170898438
2022-04-05,646.4600219726562
2022-04-06,628.510009765625
2022-04-07,625.2999877929688
2022-04-08,610.9299926757812
2022-04-11,597.739990234375
2022-04-12,594.0
2022-04-13,612.760009765625
2022-04-14,597.8699951171875
2022-04-18,605.5800170898438
2022-04-19,617.1500244140625
2022-04-20,633.9099731445312
2022-04-21,619.97998046875
2022-04-22,607.6099853515625
2022-04-25,599.8200073242188
2022-04-26,560.4299926757812
2022-04-27,556.8800048828125
2022-04-28,590.5399780273438
2022-04-29,563.77001953125
2022-05-02,571.0900268554688
2022-05-03,570.6799926757812
2022-05-04,592.6400146484375
2022-05-05,564.1699829101562
2022-05-06,551.0
2022-05-09,512.6599731445312
2022-05-10,523.3699951171875
2022-05-11,521.2999877929688
2022-05-12,522.3599853515625
2022-05-13,548.3200073242188
2022-05-16,534.9500122070312
2022-05-17,561.6300048828125
2022-05-18,528.2999877929688
2022-05-19,526.0
2022-05-20,532.8400268554688
2022-05-23,554.6099853515625
2022-05-24,546.4299926757812
2022-05-25,548.0800170898438
2022-05-26,560.0700073242188
2022-05-27,583.3800048828125
2022-05-31,576.2899780273438
2022-06-01,563.6599731445312
2022-06-02,580.5399780273438
2022-06-03,563.6500244140625
2022-06-06,571.6900024414062
2022-06-07,577.010009765625
2022-06-08,567.4400024414062
2022-06-09,542.4099731445312
2022-06-10,521.530029296875
2022-06-13,493.5799865722656
2022-06-14,491.1700134277344
2022-06-15,505.3299865722656
2022-06-16,468.1499938964844
2022-06-17,473.3500061035156
2022-06-21,494.3500061035156
2022-06-22,485.5
2022-06-23,485.5
2022-06-24,515.260009765625
2022-06-27,508.0400085449219
2022-06-28,490.4100036621094
2022-06-29,484.6199951171875
2022-06-30,475.8800048828125
2022-07-01,449.8299865722656
2022-07-05,432.3999938964844
2022-07-06,428.8800048828125
2022-07-07,451.8999938964844
2022-07-08,452.95001220703125
2022-07-11,439.05999755859375
2022-07-12,434.489990234375
2022-07-13,447.010009765625
2022-07-14,456.8999938964844
2022-07-15,475.6300048828125
2022-07-18,473.4800109863281
2022-07-19,498.3599853515625
2022-07-20,514.4199829101562
2022-07-21,542.27001953125
2022-07-22,534.260009765625
2022-07-25,538.969970703125
2022-07-26,524.1699829101562
2022-07-27,546.1799926757812
2022-07-28,560.7100219726562
2022-07-29,574.4400024414062
2022-08-01,578.1500244140625
2022-08-02,565.5999755859375
2022-08-03,583.8599853515625
2022-08-04,588.4600219726562
2022-08-05,577.3099975585938
2022-08-08,572.75
2022-08-09,541.1099853515625
2022-08-10,566.0499877929688
2022-08-11,562.4099731445312
2022-08-12,575.9600219726562
2022-08-15,574.9400024414062
2022-08-16,566.6799926757812
