Date,LINE
2024-07-25,80.77999877929688
2024-07-26,82.87999725341797
2024-07-29,85.98999786376953
2024-07-30,87.12000274658203
2024-07-31,87.87999725341797
2024-08-01,86.16000366210938
2024-08-02,85.98999786376953
2024-08-05,84.80999755859375
2024-08-06,85.69999694824219
2024-08-07,86.16999816894531
2024-08-08,88.56999969482422
2024-08-09,87.97000122070312
2024-08-12,85.86000061035156
2024-08-13,84.01000213623047
2024-08-14,84.12000274658203
2024-08-15,84.31999969482422
2024-08-16,83.9749984741211
2024-08-19,87.68000030517578
2024-08-20,86.31999969482422
2024-08-21,86.45999908447266
2024-08-22,84.41999816894531
2024-08-23,85.81999969482422
2024-08-26,85.47000122070312
2024-08-27,86.02999877929688
2024-08-28,84.23999786376953
2024-08-29,83.4800033569336
2024-08-30,83.9000015258789
2024-09-03,81.66000366210938
2024-09-04,82.86000061035156
2024-09-05,83.12999725341797
2024-09-06,81.01000213623047
2024-09-09,82.80999755859375
2024-09-10,81.87000274658203
2024-09-11,81.76000213623047
2024-09-12,82.44999694824219
2024-09-13,83.25
2024-09-16,82.62999725341797
2024-09-17,82.4000015258789
2024-09-18,82.47000122070312
2024-09-19,82.12999725341797
2024-09-20,80.94999694824219
2024-09-23,80.6500015258789
2024-09-24,79.77999877929688
2024-09-25,78.9800033569336
2024-09-26,78.2699966430664
2024-09-27,78.29000091552734
2024-09-30,78.37999725341797
2024-10-01,76.7300033569336
2024-10-02,75.91999816894531
2024-10-03,76.75
2024-10-04,76.87000274658203
2024-10-07,75.06999969482422
2024-10-08,75.43000030517578
2024-10-09,74.27999877929688
2024-10-10,73.98999786376953
2024-10-11,75.2699966430664
2024-10-14,76.16999816894531
2024-10-15,76.43000030517578
2024-10-16,76.69999694824219
2024-10-17,76.43000030517578
2024-10-18,77.55000305175781
2024-10-21,77.0
2024-10-22,78.94999694824219
2024-10-23,78.11000061035156
2024-10-24,77.69000244140625
2024-10-25,76.23999786376953
2024-10-28,76.2300033569336
2024-10-29,76.0999984741211
2024-10-30,75.19999694824219
2024-10-31,74.04000091552734
2024-11-01,72.2699966430664
2024-11-04,72.54000091552734
2024-11-05,73.18000030517578
2024-11-06,67.80000305175781
2024-11-07,68.08000183105469
2024-11-08,67.31999969482422
2024-11-11,66.75
2024-11-12,65.61000061035156
2024-11-13,64.77999877929688
2024-11-14,63.13999938964844
2024-11-15,63.529998779296875
2024-11-18,63.61000061035156
2024-11-19,63.4900016784668
2024-11-20,63.86000061035156
2024-11-21,62.95000076293945
