Date,VOD
2022-02-28,17.700000762939453
2022-03-01,17.329999923706055
2022-03-02,17.56999969482422
2022-03-03,17.139999389648438
2022-03-04,16.399999618530273
2022-03-07,15.789999961853027
2022-03-08,15.59000015258789
2022-03-09,16.040000915527344
2022-03-10,15.789999961853027
2022-03-11,15.6899995803833
2022-03-14,15.949999809265137
2022-03-15,16.219999313354492
2022-03-16,16.559999465942383
2022-03-17,16.809999465942383
2022-03-18,17.049999237060547
2022-03-21,17.049999237060547
2022-03-22,17.030000686645508
2022-03-23,16.56999969482422
2022-03-24,16.719999313354492
2022-03-25,16.780000686645508
2022-03-28,16.790000915527344
2022-03-29,16.969999313354492
2022-03-30,16.899999618530273
2022-03-31,16.6200008392334
2022-04-01,16.920000076293945
2022-04-04,16.809999465942383
2022-04-05,16.540000915527344
2022-04-06,16.90999984741211
2022-04-07,16.860000610351562
2022-04-08,16.979999542236328
2022-04-11,17.100000381469727
2022-04-12,17.1299991607666
2022-04-13,17.559999465942383
2022-04-14,17.5
2022-04-18,17.329999923706055
2022-04-19,17.200000762939453
2022-04-20,16.940000534057617
2022-04-21,16.81999969482422
2022-04-22,16.530000686645508
2022-04-25,16.579999923706055
2022-04-26,16.15999984741211
2022-04-27,16.030000686645508
2022-04-28,16.270000457763672
2022-04-29,15.1899995803833
2022-05-02,15.0600004196167
2022-05-03,15.670000076293945
2022-05-04,15.869999885559082
2022-05-05,15.470000267028809
2022-05-06,15.029999732971191
2022-05-09,14.800000190734863
2022-05-10,14.869999885559082
2022-05-11,14.569999694824219
2022-05-12,14.699999809265137
2022-05-13,14.630000114440918
2022-05-16,15.020000457763672
2022-05-17,15.1899995803833
2022-05-18,14.739999771118164
2022-05-19,14.920000076293945
2022-05-20,15.329999923706055
2022-05-23,16.010000228881836
2022-05-24,16.559999465942383
2022-05-25,16.719999313354492
2022-05-26,16.770000457763672
2022-05-27,16.6299991607666
2022-05-31,16.639999389648438
2022-06-01,16.510000228881836
2022-06-02,16.350000381469727
2022-06-03,15.680000305175781
2022-06-06,15.890000343322754
2022-06-07,16.030000686645508
2022-06-08,15.680000305175781
2022-06-09,15.770000457763672
2022-06-10,15.59000015258789
2022-06-13,15.359999656677246
2022-06-14,15.180000305175781
2022-06-15,15.460000038146973
2022-06-16,15.520000457763672
2022-06-17,15.489999771118164
2022-06-21,15.869999885559082
2022-06-22,15.670000076293945
2022-06-23,15.59000015258789
2022-06-24,15.65999984741211
2022-06-27,15.739999771118164
2022-06-28,15.6899995803833
2022-06-29,15.4399995803833
2022-06-30,15.579999923706055
2022-07-01,15.609999656677246
2022-07-05,15.380000114440918
2022-07-06,15.220000267028809
2022-07-07,15.329999923706055
2022-07-08,15.449999809265137
2022-07-11,15.350000381469727
2022-07-12,15.329999923706055
2022-07-13,15.430000305175781
2022-07-14,15.149999618530273
2022-07-15,15.350000381469727
2022-07-18,15.489999771118164
2022-07-19,15.770000457763672
2022-07-20,15.390000343322754
