Date,PEP
2022-02-28,163.74000549316406
2022-03-01,162.27000427246094
2022-03-02,164.52000427246094
2022-03-03,163.27000427246094
2022-03-04,165.75
2022-03-07,162.4499969482422
2022-03-08,157.8699951171875
2022-03-09,157.39999389648438
2022-03-10,154.50999450683594
2022-03-11,153.72999572753906
2022-03-14,155.88999938964844
2022-03-15,159.0
2022-03-16,159.6999969482422
2022-03-17,160.94000244140625
2022-03-18,162.7899932861328
2022-03-21,162.55999755859375
2022-03-22,164.33999633789062
2022-03-23,163.47999572753906
2022-03-24,164.47000122070312
2022-03-25,165.24000549316406
2022-03-28,165.72999572753906
2022-03-29,168.19000244140625
2022-03-30,167.9600067138672
2022-03-31,167.3800048828125
2022-04-01,169.75999450683594
2022-04-04,169.32000732421875
2022-04-05,169.5
2022-04-06,172.38999938964844
2022-04-07,172.5500030517578
2022-04-08,173.1300048828125
2022-04-11,172.60000610351562
2022-04-12,173.3000030517578
2022-04-13,173.0
2022-04-14,171.89999389648438
2022-04-18,170.4199981689453
2022-04-19,172.89999389648438
2022-04-20,175.47000122070312
2022-04-21,174.83999633789062
2022-04-22,172.14999389648438
2022-04-25,173.74000549316406
2022-04-26,173.3000030517578
2022-04-27,174.85000610351562
2022-04-28,177.5
2022-04-29,171.7100067138672
2022-05-02,167.75999450683594
2022-05-03,167.99000549316406
2022-05-04,173.86000061035156
2022-05-05,170.38999938964844
2022-05-06,170.41000366210938
2022-05-09,171.6999969482422
2022-05-10,171.49000549316406
2022-05-11,170.66000366210938
2022-05-12,170.39999389648438
2022-05-13,173.72000122070312
2022-05-16,175.47000122070312
2022-05-17,174.4600067138672
2022-05-18,163.64999389648438
2022-05-19,161.1999969482422
2022-05-20,162.2100067138672
2022-05-23,165.60000610351562
2022-05-24,167.82000732421875
2022-05-25,168.97000122070312
2022-05-26,170.11000061035156
2022-05-27,171.77000427246094
2022-05-31,167.75
2022-06-01,166.49000549316406
2022-06-02,166.67999267578125
2022-06-03,164.85000610351562
2022-06-06,165.5399932861328
2022-06-07,166.55999755859375
2022-06-08,165.72999572753906
2022-06-09,162.77999877929688
2022-06-10,162.52000427246094
2022-06-13,159.74000549316406
2022-06-14,156.1199951171875
2022-06-15,157.7899932861328
2022-06-16,157.02999877929688
2022-06-17,157.05999755859375
2022-06-21,160.7100067138672
2022-06-22,162.02999877929688
2022-06-23,164.10000610351562
2022-06-24,166.1300048828125
2022-06-27,166.35000610351562
2022-06-28,164.00999450683594
2022-06-29,166.72999572753906
2022-06-30,166.66000366210938
2022-07-01,169.38999938964844
2022-07-05,169.00999450683594
2022-07-06,170.6999969482422
2022-07-07,170.36000061035156
2022-07-08,171.8800048828125
2022-07-11,170.47000122070312
2022-07-12,169.5
2022-07-13,170.10000610351562
2022-07-14,170.97999572753906
2022-07-15,171.1199951171875
2022-07-18,168.25999450683594
2022-07-19,170.05999755859375
2022-07-20,168.25999450683594
2022-07-21,168.50999450683594
2022-07-22,169.61000061035156
2022-07-25,169.85000610351562
2022-07-26,171.8300018310547
2022-07-27,171.58999633789062
2022-07-28,174.83999633789062
2022-07-29,174.9600067138672
2022-08-01,176.9499969482422
2022-08-02,175.49000549316406
2022-08-03,176.8300018310547
2022-08-04,175.8699951171875
2022-08-05,174.5500030517578
2022-08-08,173.85000610351562
2022-08-09,174.5
2022-08-10,175.94000244140625
2022-08-11,175.0399932861328
2022-08-12,177.3300018310547
2022-08-15,179.27999877929688
2022-08-16,180.32000732421875
2022-08-17,180.22000122070312
2022-08-18,180.39999389648438
2022-08-19,180.1699981689453
2022-08-22,178.4499969482422
2022-08-23,178.3699951171875
2022-08-24,179.25999450683594
2022-08-25,179.27000427246094
2022-08-26,175.0399932861328
2022-08-29,174.49000549316406
2022-08-30,172.99000549316406
2022-08-31,172.27000427246094
