Date,CINF
2022-02-28,122.79000091552734
2022-03-01,120.05000305175781
2022-03-02,123.38999938964844
2022-03-03,124.36000061035156
2022-03-04,123.19999694824219
2022-03-07,119.7300033569336
2022-03-08,119.31999969482422
2022-03-09,121.36000061035156
2022-03-10,122.16000366210938
2022-03-11,121.69000244140625
2022-03-14,128.0399932861328
2022-03-15,130.72000122070312
2022-03-16,130.5
2022-03-17,132.27000427246094
2022-03-18,127.94000244140625
2022-03-21,131.11000061035156
2022-03-22,131.69000244140625
2022-03-23,131.74000549316406
2022-03-24,134.82000732421875
2022-03-25,136.88999938964844
2022-03-28,135.77000427246094
2022-03-29,136.55999755859375
2022-03-30,138.14999389648438
2022-03-31,135.9600067138672
2022-04-01,138.07000732421875
2022-04-04,135.1300048828125
2022-04-05,135.27999877929688
2022-04-06,137.3699951171875
2022-04-07,136.99000549316406
2022-04-08,137.88999938964844
2022-04-11,136.47999572753906
2022-04-12,136.83999633789062
2022-04-13,137.83999633789062
2022-04-14,138.19000244140625
2022-04-18,138.58999633789062
2022-04-19,138.83999633789062
2022-04-20,141.25
2022-04-21,140.27999877929688
2022-04-22,136.66000366210938
2022-04-25,136.0800018310547
2022-04-26,134.02999877929688
2022-04-27,135.00999450683594
2022-04-28,136.0
2022-04-29,122.66000366210938
2022-05-02,120.75
2022-05-03,122.16999816894531
2022-05-04,127.33999633789062
2022-05-05,125.8499984741211
2022-05-06,126.45999908447266
2022-05-09,125.0199966430664
2022-05-10,125.0
2022-05-11,125.1500015258789
2022-05-12,124.81999969482422
2022-05-13,126.2300033569336
2022-05-16,126.11000061035156
2022-05-17,126.97000122070312
2022-05-18,124.80999755859375
2022-05-19,122.66999816894531
2022-05-20,121.9800033569336
2022-05-23,125.33999633789062
2022-05-24,125.08999633789062
2022-05-25,124.44000244140625
2022-05-26,127.05999755859375
2022-05-27,128.4199981689453
2022-05-31,127.86000061035156
2022-06-01,126.11000061035156
2022-06-02,127.3499984741211
2022-06-03,126.33999633789062
2022-06-06,128.1199951171875
2022-06-07,128.33999633789062
2022-06-08,126.51000213623047
2022-06-09,123.41999816894531
2022-06-10,119.9000015258789
2022-06-13,116.33000183105469
2022-06-14,116.41999816894531
2022-06-15,117.5199966430664
2022-06-16,112.69999694824219
2022-06-17,113.97000122070312
2022-06-21,115.55000305175781
2022-06-22,115.72000122070312
2022-06-23,113.58000183105469
2022-06-24,116.5
2022-06-27,117.18000030517578
2022-06-28,117.63999938964844
2022-06-29,117.9000015258789
2022-06-30,118.9800033569336
2022-07-01,120.36000061035156
2022-07-05,119.05999755859375
2022-07-06,119.80999755859375
2022-07-07,119.16000366210938
2022-07-08,118.63999938964844
2022-07-11,117.76000213623047
2022-07-12,116.83000183105469
2022-07-13,115.80999755859375
2022-07-14,111.12000274658203
2022-07-15,112.37999725341797
2022-07-18,108.95999908447266
2022-07-19,111.70999908447266
2022-07-20,110.87999725341797
2022-07-21,110.70999908447266
2022-07-22,110.83000183105469
2022-07-25,112.55000305175781
2022-07-26,113.62000274658203
2022-07-27,113.45999908447266
2022-07-28,97.68000030517578
2022-07-29,97.33999633789062
2022-08-01,94.88999938964844
2022-08-02,94.61000061035156
2022-08-03,96.69999694824219
