Date,CRSP
2022-02-28,61.369998931884766
2022-03-01,57.439998626708984
2022-03-02,58.779998779296875
2022-03-03,54.189998626708984
2022-03-04,53.189998626708984
2022-03-07,55.20000076293945
2022-03-08,60.349998474121094
2022-03-09,62.41999816894531
2022-03-10,62.43000030517578
2022-03-11,61.41999816894531
2022-03-14,58.060001373291016
2022-03-15,60.040000915527344
2022-03-16,65.54000091552734
2022-03-17,67.45999908447266
2022-03-18,67.88999938964844
2022-03-21,65.66000366210938
2022-03-22,67.5
2022-03-23,63.56999969482422
2022-03-24,64.4000015258789
2022-03-25,62.13999938964844
2022-03-28,62.83000183105469
2022-03-29,65.94999694824219
2022-03-30,64.08000183105469
2022-03-31,62.77000045776367
2022-04-01,66.1500015258789
2022-04-04,69.51000213623047
2022-04-05,67.4800033569336
2022-04-06,66.12000274658203
2022-04-07,63.939998626708984
2022-04-08,61.619998931884766
2022-04-11,61.45000076293945
2022-04-12,64.55000305175781
2022-04-13,65.83999633789062
2022-04-14,62.189998626708984
2022-04-18,58.7400016784668
2022-04-19,58.959999084472656
2022-04-20,57.58000183105469
2022-04-21,55.529998779296875
2022-04-22,55.68000030517578
2022-04-25,57.27000045776367
2022-04-26,52.79999923706055
2022-04-27,51.959999084472656
2022-04-28,51.619998931884766
2022-04-29,49.619998931884766
2022-05-02,51.97999954223633
2022-05-03,52.619998931884766
2022-05-04,55.619998931884766
2022-05-05,51.34000015258789
2022-05-06,48.0099983215332
2022-05-09,43.22999954223633
2022-05-10,47.310001373291016
2022-05-11,43.66999816894531
2022-05-12,46.540000915527344
2022-05-13,52.22999954223633
2022-05-16,51.540000915527344
2022-05-17,54.36000061035156
2022-05-18,54.7599983215332
2022-05-19,56.4900016784668
2022-05-20,56.34000015258789
2022-05-23,54.709999084472656
2022-05-24,52.380001068115234
2022-05-25,54.54999923706055
2022-05-26,55.22999954223633
2022-05-27,58.34000015258789
2022-05-31,58.04999923706055
2022-06-01,57.869998931884766
2022-06-02,61.0
2022-06-03,64.20999908447266
2022-06-06,64.22000122070312
2022-06-07,69.04000091552734
2022-06-08,73.83000183105469
2022-06-09,71.69999694824219
2022-06-10,63.7599983215332
2022-06-13,55.27000045776367
2022-06-14,58.11000061035156
2022-06-15,62.65999984741211
2022-06-16,64.63999938964844
2022-06-17,70.0
2022-06-21,64.66999816894531
2022-06-22,59.939998626708984
2022-06-23,65.1500015258789
2022-06-24,66.95999908447266
2022-06-27,66.9000015258789
2022-06-28,63.279998779296875
2022-06-29,63.0
2022-06-30,60.77000045776367
2022-07-01,63.790000915527344
2022-07-05,70.5999984741211
2022-07-06,72.69999694824219
2022-07-07,78.19999694824219
2022-07-08,76.69999694824219
2022-07-11,73.70999908447266
2022-07-12,79.05000305175781
2022-07-13,80.69999694824219
2022-07-14,81.91000366210938
2022-07-15,83.38999938964844
2022-07-18,79.36000061035156
2022-07-19,83.77999877929688
2022-07-20,82.33999633789062
2022-07-21,79.94999694824219
2022-07-22,75.81999969482422
2022-07-25,76.5
2022-07-26,77.12000274658203
2022-07-27,78.93000030517578
2022-07-28,75.9000015258789
2022-07-29,75.0
2022-08-01,74.01000213623047
2022-08-02,76.33999633789062
2022-08-03,78.58000183105469
2022-08-04,78.91000366210938
2022-08-05,81.4000015258789
2022-08-08,81.38999938964844
