Date,FRPT
2022-02-28,95.2300033569336
2022-03-01,109.73999786376953
2022-03-02,107.58999633789062
2022-03-03,103.0
2022-03-04,98.22000122070312
2022-03-07,97.70999908447266
2022-03-08,99.25
2022-03-09,102.66000366210938
2022-03-10,97.4800033569336
2022-03-11,91.7300033569336
2022-03-14,84.36000061035156
2022-03-15,85.2699966430664
2022-03-16,95.41000366210938
2022-03-17,99.16999816894531
2022-03-18,102.33999633789062
2022-03-21,97.7300033569336
2022-03-22,101.55999755859375
2022-03-23,98.22000122070312
2022-03-24,99.4800033569336
2022-03-25,95.80999755859375
2022-03-28,99.11000061035156
2022-03-29,101.55999755859375
2022-03-30,104.93000030517578
2022-03-31,102.63999938964844
2022-04-01,107.20999908447266
2022-04-04,108.0999984741211
2022-04-05,107.58999633789062
2022-04-06,103.27999877929688
2022-04-07,102.47000122070312
2022-04-08,103.22000122070312
2022-04-11,102.26000213623047
2022-04-12,106.36000061035156
2022-04-13,110.22000122070312
2022-04-14,112.87999725341797
2022-04-18,110.91999816894531
2022-04-19,113.93000030517578
2022-04-20,113.87000274658203
2022-04-21,109.87000274658203
2022-04-22,105.20999908447266
2022-04-25,107.38999938964844
2022-04-26,99.13999938964844
2022-04-27,100.0
2022-04-28,98.48999786376953
2022-04-29,93.3499984741211
2022-05-02,93.0999984741211
2022-05-03,82.91999816894531
2022-05-04,80.62000274658203
2022-05-05,68.91999816894531
2022-05-06,64.69999694824219
2022-05-09,57.529998779296875
2022-05-10,59.0099983215332
2022-05-11,57.029998779296875
2022-05-12,60.59000015258789
2022-05-13,65.94999694824219
2022-05-16,65.30000305175781
2022-05-17,69.91999816894531
2022-05-18,64.83999633789062
2022-05-19,66.52999877929688
2022-05-20,62.279998779296875
2022-05-23,60.93000030517578
2022-05-24,60.52000045776367
2022-05-25,62.83000183105469
2022-05-26,66.55999755859375
2022-05-27,73.02999877929688
2022-05-31,71.97000122070312
2022-06-01,67.44999694824219
2022-06-02,68.83000183105469
2022-06-03,66.97000122070312
2022-06-06,68.30999755859375
