Date,LBTYA
2022-02-28,25.780000686645508
2022-03-01,25.139999389648438
2022-03-02,26.06999969482422
2022-03-03,25.100000381469727
2022-03-04,24.0
2022-03-07,23.229999542236328
2022-03-08,23.670000076293945
2022-03-09,24.56999969482422
2022-03-10,24.209999084472656
2022-03-11,24.219999313354492
2022-03-14,24.360000610351562
2022-03-15,24.75
2022-03-16,25.309999465942383
2022-03-17,25.3700008392334
2022-03-18,25.309999465942383
2022-03-21,25.139999389648438
2022-03-22,25.559999465942383
2022-03-23,25.25
2022-03-24,25.850000381469727
2022-03-25,25.8799991607666
2022-03-28,25.8799991607666
2022-03-29,26.43000030517578
2022-03-30,25.90999984741211
2022-03-31,25.510000228881836
2022-04-01,25.950000762939453
2022-04-04,25.8700008392334
2022-04-05,25.350000381469727
2022-04-06,24.959999084472656
2022-04-07,24.950000762939453
2022-04-08,25.459999084472656
2022-04-11,25.450000762939453
2022-04-12,24.969999313354492
2022-04-13,25.3700008392334
2022-04-14,25.219999313354492
2022-04-18,25.040000915527344
2022-04-19,25.489999771118164
2022-04-20,25.059999465942383
2022-04-21,24.389999389648438
2022-04-22,24.079999923706055
2022-04-25,23.979999542236328
2022-04-26,23.420000076293945
2022-04-27,23.479999542236328
2022-04-28,23.6200008392334
2022-04-29,22.760000228881836
2022-05-02,22.84000015258789
2022-05-03,23.25
2022-05-04,23.770000457763672
2022-05-05,23.31999969482422
2022-05-06,22.59000015258789
2022-05-09,21.850000381469727
2022-05-10,21.8799991607666
2022-05-11,21.940000534057617
2022-05-12,21.940000534057617
2022-05-13,23.0
2022-05-16,23.09000015258789
2022-05-17,23.709999084472656
2022-05-18,22.93000030517578
2022-05-19,22.8700008392334
2022-05-20,22.959999084472656
2022-05-23,23.219999313354492
2022-05-24,23.399999618530273
2022-05-25,24.43000030517578
2022-05-26,24.6299991607666
2022-05-27,25.020000457763672
2022-05-31,24.31999969482422
2022-06-01,24.040000915527344
2022-06-02,24.25
2022-06-03,24.139999389648438
