Date,TCOM
2022-02-28,25.81999969482422
2022-03-01,25.790000915527344
2022-03-02,27.8700008392334
2022-03-03,26.989999771118164
2022-03-04,25.0
2022-03-07,22.190000534057617
2022-03-08,22.899999618530273
2022-03-09,24.139999389648438
2022-03-10,21.219999313354492
2022-03-11,19.3700008392334
2022-03-14,16.75
2022-03-15,18.18000030517578
2022-03-16,23.34000015258789
2022-03-17,22.309999465942383
2022-03-18,23.209999084472656
2022-03-21,22.520000457763672
2022-03-22,24.18000030517578
2022-03-23,24.020000457763672
2022-03-24,24.5
2022-03-25,22.440000534057617
2022-03-28,23.450000762939453
2022-03-29,24.229999542236328
2022-03-30,24.309999465942383
2022-03-31,23.1200008392334
2022-04-01,24.549999237060547
2022-04-04,24.3700008392334
2022-04-05,23.489999771118164
2022-04-06,23.40999984741211
2022-04-07,22.3700008392334
2022-04-08,22.06999969482422
2022-04-11,21.489999771118164
2022-04-12,22.1299991607666
2022-04-13,22.81999969482422
2022-04-14,23.139999389648438
2022-04-18,22.68000030517578
2022-04-19,22.760000228881836
2022-04-20,22.020000457763672
2022-04-21,21.549999237060547
2022-04-22,21.81999969482422
2022-04-25,21.6200008392334
2022-04-26,20.709999084472656
2022-04-27,21.670000076293945
2022-04-28,22.290000915527344
2022-04-29,23.649999618530273
2022-05-02,23.68000030517578
2022-05-03,23.540000915527344
2022-05-04,23.600000381469727
2022-05-05,22.420000076293945
2022-05-06,21.299999237060547
2022-05-09,19.709999084472656
2022-05-10,19.6200008392334
2022-05-11,19.989999771118164
2022-05-12,19.489999771118164
2022-05-13,20.8799991607666
2022-05-16,20.979999542236328
2022-05-17,21.649999618530273
2022-05-18,21.530000686645508
2022-05-19,20.979999542236328
2022-05-20,21.389999389648438
2022-05-23,20.329999923706055
2022-05-24,19.350000381469727
2022-05-25,19.56999969482422
2022-05-26,21.110000610351562
2022-05-27,21.299999237060547
2022-05-31,22.059999465942383
2022-06-01,21.780000686645508
2022-06-02,22.1200008392334
2022-06-03,21.729999542236328
2022-06-06,22.770000457763672
2022-06-07,23.299999237060547
2022-06-08,25.360000610351562
2022-06-09,23.040000915527344
2022-06-10,22.43000030517578
2022-06-13,20.540000915527344
2022-06-14,22.18000030517578
2022-06-15,21.920000076293945
2022-06-16,20.790000915527344
2022-06-17,21.350000381469727
2022-06-21,23.06999969482422
2022-06-22,22.81999969482422
2022-06-23,22.729999542236328
2022-06-24,23.649999618530273
2022-06-27,24.56999969482422
2022-06-28,27.219999313354492
2022-06-29,27.899999618530273
2022-06-30,27.450000762939453
2022-07-01,27.790000915527344
2022-07-05,26.0
2022-07-06,24.899999618530273
2022-07-07,26.6299991607666
2022-07-08,26.15999984741211
2022-07-11,24.510000228881836
2022-07-12,24.59000015258789
2022-07-13,26.110000610351562
2022-07-14,25.5
2022-07-15,25.360000610351562
2022-07-18,25.610000610351562
2022-07-19,26.739999771118164
2022-07-20,26.520000457763672
2022-07-21,27.030000686645508
2022-07-22,26.510000228881836
2022-07-25,26.829999923706055
2022-07-26,26.239999771118164
2022-07-27,26.549999237060547
2022-07-28,26.170000076293945
2022-07-29,25.780000686645508
2022-08-01,25.229999542236328
2022-08-02,25.299999237060547
2022-08-03,26.260000228881836
2022-08-04,26.799999237060547
2022-08-05,26.520000457763672
2022-08-08,25.420000076293945
2022-08-09,25.610000610351562
2022-08-10,25.360000610351562
2022-08-11,25.940000534057617
2022-08-12,26.280000686645508
2022-08-15,26.440000534057617
2022-08-16,26.559999465942383
2022-08-17,26.190000534057617
2022-08-18,25.93000030517578
2022-08-19,26.110000610351562
2022-08-22,26.559999465942383
2022-08-23,26.889999389648438
2022-08-24,27.860000610351562
2022-08-25,28.670000076293945
2022-08-26,28.8700008392334
2022-08-29,27.360000610351562
2022-08-30,25.520000457763672
2022-08-31,25.719999313354492
2022-09-01,25.68000030517578
2022-09-02,25.290000915527344
2022-09-06,24.90999984741211
2022-09-07,25.309999465942383
2022-09-08,25.100000381469727
2022-09-09,25.549999237060547
2022-09-12,25.959999084472656
2022-09-13,25.450000762939453
2022-09-14,25.940000534057617
2022-09-15,26.459999084472656
2022-09-16,25.1299991607666
2022-09-19,25.729999542236328
2022-09-20,26.700000762939453
2022-09-21,24.43000030517578
2022-09-22,25.600000381469727
2022-09-23,25.989999771118164
2022-09-26,27.3700008392334
2022-09-27,27.65999984741211
2022-09-28,28.299999237060547
2022-09-29,27.18000030517578
2022-09-30,27.309999465942383
2022-10-03,27.68000030517578
2022-10-04,28.690000534057617
2022-10-05,30.239999771118164
2022-10-06,29.459999084472656
2022-10-07,28.329999923706055
2022-10-10,26.600000381469727
2022-10-11,23.6299991607666
2022-10-12,23.860000610351562
2022-10-13,24.299999237060547
2022-10-14,23.670000076293945
2022-10-17,24.239999771118164
2022-10-18,24.530000686645508
2022-10-19,22.6200008392334
2022-10-20,23.260000228881836
2022-10-21,23.940000534057617
2022-10-24,20.360000610351562
2022-10-25,21.8799991607666
2022-10-26,23.31999969482422
2022-10-27,23.200000762939453
2022-10-28,22.829999923706055
2022-10-31,22.6299991607666
2022-11-01,24.540000915527344
2022-11-02,25.5
2022-11-03,26.520000457763672
2022-11-04,28.0
2022-11-07,26.989999771118164
2022-11-08,27.170000076293945
2022-11-09,25.0
2022-11-10,27.5
2022-11-11,28.84000015258789
2022-11-14,27.719999313354492
2022-11-15,29.280000686645508
2022-11-16,28.760000228881836
2022-11-17,29.170000076293945
2022-11-18,28.350000381469727
2022-11-21,27.5
2022-11-22,26.770000457763672
2022-11-23,27.110000610351562
