Date,AZPN
2022-02-28,152.41000366210938
2022-03-01,147.52000427246094
2022-03-02,146.75
2022-03-03,148.58999633789062
2022-03-04,150.1300048828125
2022-03-07,144.85000610351562
2022-03-08,143.08999633789062
2022-03-09,145.9199981689453
2022-03-10,140.4499969482422
2022-03-11,139.47999572753906
2022-03-14,137.3300018310547
2022-03-15,136.7899932861328
2022-03-16,139.47000122070312
2022-03-17,139.8800048828125
2022-03-18,146.13999938964844
2022-03-21,144.9499969482422
2022-03-22,147.33999633789062
2022-03-23,149.5399932861328
2022-03-24,153.32000732421875
2022-03-25,157.85000610351562
2022-03-28,159.25
2022-03-29,163.22999572753906
2022-03-30,163.7899932861328
2022-03-31,165.3699951171875
2022-04-01,166.9600067138672
2022-04-04,167.72000122070312
2022-04-05,166.2899932861328
2022-04-06,167.5500030517578
2022-04-07,167.8000030517578
2022-04-08,165.0
2022-04-11,163.1300048828125
2022-04-12,163.5500030517578
2022-04-13,163.5
2022-04-14,161.9499969482422
2022-04-18,161.0399932861328
2022-04-19,161.82000732421875
2022-04-20,161.64999389648438
2022-04-21,162.05999755859375
2022-04-22,156.91000366210938
2022-04-25,158.8300018310547
2022-04-26,153.00999450683594
2022-04-27,149.35000610351562
2022-04-28,162.1199951171875
2022-04-29,158.5399932861328
2022-05-02,158.38999938964844
2022-05-03,162.58999633789062
2022-05-04,170.02000427246094
2022-05-05,167.5
2022-05-06,163.25
2022-05-09,160.39999389648438
2022-05-10,159.50999450683594
2022-05-11,158.66000366210938
2022-05-12,162.41000366210938
2022-05-13,165.75
2022-05-16,166.3000030517578
2022-05-17,184.0
2022-05-18,178.2100067138672
2022-05-19,187.0
2022-05-20,194.00999450683594
2022-05-23,192.0
2022-05-24,190.0
2022-05-25,189.8300018310547
2022-05-26,190.64999389648438
2022-05-27,197.72999572753906
2022-05-31,193.49000549316406
2022-06-01,200.19000244140625
2022-06-02,203.44000244140625
2022-06-03,201.6999969482422
2022-06-06,201.42999267578125
2022-06-07,210.22999572753906
2022-06-08,206.61000061035156
2022-06-09,196.4499969482422
2022-06-10,196.0
2022-06-13,191.77000427246094
2022-06-14,184.30999755859375
2022-06-15,185.22999572753906
2022-06-16,179.17999267578125
2022-06-17,189.1999969482422
2022-06-21,197.75
2022-06-22,197.5
2022-06-23,191.24000549316406
2022-06-24,197.38999938964844
2022-06-27,196.7899932861328
2022-06-28,192.5399932861328
2022-06-29,194.02999877929688
2022-06-30,183.67999267578125
2022-07-01,191.24000549316406
2022-07-05,191.0500030517578
2022-07-06,191.33999633789062
2022-07-07,187.8800048828125
2022-07-08,187.52000427246094
2022-07-11,188.58999633789062
2022-07-12,179.77999877929688
2022-07-13,178.64999389648438
2022-07-14,175.99000549316406
2022-07-15,176.1199951171875
2022-07-18,175.3000030517578
2022-07-19,178.89999389648438
2022-07-20,180.52999877929688
2022-07-21,182.3000030517578
2022-07-22,181.89999389648438
2022-07-25,182.44000244140625
2022-07-26,180.97999572753906
2022-07-27,196.00999450683594
2022-07-28,195.14999389648438
2022-07-29,204.08999633789062
2022-08-01,205.44000244140625
2022-08-02,207.83999633789062
2022-08-03,209.9499969482422
2022-08-04,212.75
2022-08-05,213.1199951171875
2022-08-08,207.5500030517578
2022-08-09,200.08999633789062
2022-08-10,208.33999633789062
2022-08-11,213.0
2022-08-12,216.38999938964844
2022-08-15,218.72999572753906
2022-08-16,215.11000061035156
2022-08-17,217.00999450683594
2022-08-18,226.8800048828125
2022-08-19,223.85000610351562
2022-08-22,215.1300048828125
2022-08-23,215.02999877929688
2022-08-24,218.47999572753906
2022-08-25,216.6300048828125
2022-08-26,216.14999389648438
2022-08-29,213.50999450683594
2022-08-30,206.74000549316406
2022-08-31,210.60000610351562
2022-09-01,208.11000061035156
2022-09-02,208.57000732421875
2022-09-06,207.85000610351562
2022-09-07,213.0
2022-09-08,215.67999267578125
2022-09-09,221.41000366210938
2022-09-12,225.6300048828125
2022-09-13,225.1999969482422
2022-09-14,227.0
2022-09-15,223.11000061035156
2022-09-16,226.3699951171875
2022-09-19,231.00999450683594
2022-09-20,226.24000549316406
2022-09-21,225.25999450683594
2022-09-22,223.30999755859375
2022-09-23,222.14999389648438
2022-09-26,221.47999572753906
2022-09-27,232.6699981689453
2022-09-28,239.64999389648438
2022-09-29,234.0800018310547
2022-09-30,238.1999969482422
2022-10-03,243.19000244140625
2022-10-04,250.0500030517578
2022-10-05,256.2300109863281
2022-10-06,253.9499969482422
2022-10-07,253.41000366210938
2022-10-10,249.8000030517578
2022-10-11,247.1300048828125
2022-10-12,244.1300048828125
2022-10-13,250.82000732421875
2022-10-14,242.0500030517578
2022-10-17,252.3300018310547
2022-10-18,253.0
2022-10-19,248.88999938964844
2022-10-20,246.3000030517578
2022-10-21,253.63999938964844
2022-10-24,249.77000427246094
2022-10-25,252.6300048828125
2022-10-26,248.39999389648438
2022-10-27,235.80999755859375
2022-10-28,240.57000732421875
2022-10-31,241.4499969482422
2022-11-01,240.97000122070312
2022-11-02,235.80999755859375
2022-11-03,237.86000061035156
2022-11-04,233.00999450683594
2022-11-07,227.38999938964844
2022-11-08,226.1999969482422
