Date,CELH
2022-02-28,21.296667098999023
2022-03-01,20.933332443237305
2022-03-02,21.606666564941406
2022-03-03,19.200000762939453
2022-03-04,18.290000915527344
2022-03-07,16.290000915527344
2022-03-08,15.536666870117188
2022-03-09,16.81333351135254
2022-03-10,16.520000457763672
2022-03-11,15.046667098999023
2022-03-14,14.130000114440918
2022-03-15,15.013333320617676
2022-03-16,16.606666564941406
2022-03-17,18.963333129882812
2022-03-18,20.393333435058594
2022-03-21,19.920000076293945
2022-03-22,19.433332443237305
2022-03-23,19.299999237060547
2022-03-24,18.90333366394043
2022-03-25,18.543333053588867
2022-03-28,19.209999084472656
2022-03-29,19.84000015258789
2022-03-30,19.053333282470703
2022-03-31,18.393333435058594
2022-04-01,19.553333282470703
2022-04-04,20.043333053588867
2022-04-05,18.920000076293945
2022-04-06,17.333332061767578
2022-04-07,17.626667022705078
2022-04-08,16.676666259765625
2022-04-11,16.713333129882812
2022-04-12,16.976667404174805
2022-04-13,17.553333282470703
2022-04-14,17.926666259765625
2022-04-18,17.683332443237305
2022-04-19,19.079999923706055
2022-04-20,19.35333251953125
2022-04-21,18.386667251586914
2022-04-22,17.48666763305664
2022-04-25,19.166667938232422
2022-04-26,17.77666664123535
2022-04-27,17.98666763305664
2022-04-28,18.579999923706055
2022-04-29,17.333332061767578
2022-05-02,18.19333267211914
2022-05-03,18.02666664123535
2022-05-04,19.25666618347168
2022-05-05,16.93000030517578
2022-05-06,16.90999984741211
2022-05-09,13.963333129882812
2022-05-10,13.770000457763672
2022-05-11,15.80666732788086
2022-05-12,16.68000030517578
2022-05-13,18.793333053588867
2022-05-16,18.266666412353516
2022-05-17,19.52666664123535
2022-05-18,18.816667556762695
2022-05-19,20.003332138061523
2022-05-20,19.59000015258789
2022-05-23,20.873332977294922
2022-05-24,19.579999923706055
2022-05-25,20.81333351135254
2022-05-26,21.946666717529297
2022-05-27,23.6200008392334
2022-05-31,22.363332748413086
2022-06-01,21.956666946411133
2022-06-02,22.98666763305664
2022-06-03,22.829999923706055
2022-06-06,22.729999542236328
2022-06-07,23.309999465942383
2022-06-08,22.969999313354492
2022-06-09,22.00666618347168
2022-06-10,20.503332138061523
2022-06-13,18.203332901000977
2022-06-14,19.190000534057617
2022-06-15,18.866666793823242
2022-06-16,17.976667404174805
2022-06-17,18.483333587646484
2022-06-21,18.40999984741211
2022-06-22,18.55666732788086
2022-06-23,21.28333282470703
2022-06-24,22.3700008392334
2022-06-27,22.24333381652832
2022-06-28,21.24333381652832
2022-06-29,21.503332138061523
2022-06-30,21.753332138061523
2022-07-01,21.98666763305664
2022-07-05,25.01333236694336
2022-07-06,25.639999389648438
2022-07-07,25.816667556762695
2022-07-08,26.149999618530273
2022-07-11,25.003332138061523
2022-07-12,24.110000610351562
2022-07-13,24.75
2022-07-14,24.950000762939453
2022-07-15,26.956666946411133
2022-07-18,25.093332290649414
2022-07-19,25.126667022705078
2022-07-20,26.633333206176758
2022-07-21,28.360000610351562
2022-07-22,26.676666259765625
2022-07-25,27.71666717529297
2022-07-26,27.296667098999023
2022-07-27,27.996667861938477
2022-07-28,29.07666778564453
2022-07-29,29.65333366394043
2022-08-01,32.956668853759766
2022-08-02,34.53666687011719
2022-08-03,35.143333435058594
2022-08-04,36.13666534423828
2022-08-05,32.87333297729492
2022-08-08,33.77333450317383
2022-08-09,31.126667022705078
2022-08-10,34.20333480834961
2022-08-11,34.369998931884766
2022-08-12,35.0533332824707
2022-08-15,33.75
2022-08-16,33.20000076293945
2022-08-17,32.99333190917969
2022-08-18,34.30666732788086
2022-08-19,32.7599983215332
2022-08-22,34.529998779296875
2022-08-23,37.68000030517578
2022-08-24,37.8466682434082
2022-08-25,38.70000076293945
2022-08-26,36.9033317565918
2022-08-29,34.99333190917969
2022-08-30,34.810001373291016
2022-08-31,34.496665954589844
2022-09-01,33.063331604003906
2022-09-02,32.119998931884766
2022-09-06,31.273332595825195
2022-09-07,32.97666549682617
2022-09-08,34.99333190917969
2022-09-09,35.310001373291016
2022-09-12,35.78666687011719
2022-09-13,33.266666412353516
2022-09-14,34.65666580200195
2022-09-15,33.866668701171875
2022-09-16,33.56666564941406
2022-09-19,35.349998474121094
2022-09-20,34.07666778564453
2022-09-21,32.74333190917969
2022-09-22,29.96666717529297
2022-09-23,29.50666618347168
2022-09-26,29.420000076293945
2022-09-27,29.94333267211914
2022-09-28,30.92333221435547
2022-09-29,30.28333282470703
2022-09-30,30.226667404174805
2022-10-03,30.406667709350586
2022-10-04,31.450000762939453
2022-10-05,29.696666717529297
2022-10-06,29.883333206176758
2022-10-07,28.523332595825195
2022-10-10,29.746667861938477
2022-10-11,28.770000457763672
2022-10-12,30.113332748413086
2022-10-13,30.183332443237305
2022-10-14,27.559999465942383
2022-10-17,29.606666564941406
2022-10-18,29.77666664123535
2022-10-19,28.26333236694336
2022-10-20,27.84666633605957
2022-10-21,28.553333282470703
2022-10-24,28.06999969482422
2022-10-25,29.450000762939453
2022-10-26,30.149999618530273
2022-10-27,29.790000915527344
2022-10-28,30.573333740234375
2022-10-31,30.360000610351562
2022-11-01,30.18666648864746
2022-11-02,28.883333206176758
2022-11-03,29.626667022705078
2022-11-04,28.746667861938477
2022-11-07,29.0
2022-11-08,27.453332901000977
2022-11-09,26.21666717529297
2022-11-10,29.73666763305664
2022-11-11,31.116666793823242
2022-11-14,30.386667251586914
2022-11-15,32.790000915527344
2022-11-16,33.55666732788086
2022-11-17,33.23666763305664
2022-11-18,32.33000183105469
2022-11-21,32.029998779296875
2022-11-22,31.05666732788086
