Date,RUSHA
2022-02-28,34.62666702270508
2022-03-01,33.366668701171875
2022-03-02,34.28666687011719
2022-03-03,34.80666732788086
2022-03-04,34.53333282470703
2022-03-07,34.14666748046875
2022-03-08,34.14666748046875
2022-03-09,34.04666519165039
2022-03-10,34.133331298828125
2022-03-11,34.5
2022-03-14,35.22666549682617
2022-03-15,35.36000061035156
2022-03-16,35.793331146240234
2022-03-17,35.766666412353516
2022-03-18,35.313331604003906
2022-03-21,35.380001068115234
2022-03-22,35.266666412353516
2022-03-23,35.01333236694336
2022-03-24,34.97999954223633
2022-03-25,34.926666259765625
2022-03-28,34.293331146240234
2022-03-29,35.32666778564453
2022-03-30,35.0
2022-03-31,33.939998626708984
2022-04-01,33.6533317565918
2022-04-04,32.959999084472656
2022-04-05,32.91999816894531
2022-04-06,32.62666702270508
2022-04-07,31.786666870117188
2022-04-08,31.48666763305664
2022-04-11,31.286666870117188
2022-04-12,31.586666107177734
2022-04-13,32.026668548583984
2022-04-14,32.15999984741211
2022-04-18,31.99333381652832
2022-04-19,33.38666534423828
2022-04-20,33.32666778564453
2022-04-21,33.18000030517578
2022-04-22,32.720001220703125
2022-04-25,32.78666687011719
2022-04-26,31.98666763305664
2022-04-27,33.86000061035156
2022-04-28,35.459999084472656
2022-04-29,33.91999816894531
2022-05-02,34.380001068115234
2022-05-03,35.28666687011719
2022-05-04,36.133331298828125
2022-05-05,35.04666519165039
2022-05-06,34.16666793823242
2022-05-09,34.573333740234375
2022-05-10,33.599998474121094
2022-05-11,33.37333297729492
2022-05-12,33.59333419799805
2022-05-13,33.96666717529297
2022-05-16,34.04666519165039
2022-05-17,35.0533332824707
2022-05-18,33.060001373291016
2022-05-19,32.80666732788086
2022-05-20,32.17333221435547
2022-05-23,32.7599983215332
2022-05-24,33.31999969482422
2022-05-25,33.70000076293945
2022-05-26,33.893333435058594
2022-05-27,34.49333190917969
2022-05-31,33.98666763305664
2022-06-01,34.233333587646484
2022-06-02,35.099998474121094
2022-06-03,34.766666412353516
2022-06-06,35.30666732788086
2022-06-07,35.186668395996094
2022-06-08,35.426666259765625
2022-06-09,35.380001068115234
2022-06-10,34.119998931884766
2022-06-13,32.91999816894531
2022-06-14,33.36000061035156
2022-06-15,33.720001220703125
2022-06-16,31.85333251953125
2022-06-17,31.84666633605957
2022-06-21,32.706668853759766
2022-06-22,32.766666412353516
2022-06-23,31.913333892822266
2022-06-24,32.52000045776367
2022-06-27,33.14666748046875
2022-06-28,32.313331604003906
2022-06-29,32.206668853759766
2022-06-30,32.133331298828125
2022-07-01,32.540000915527344
2022-07-05,32.526668548583984
2022-07-06,32.14666748046875
2022-07-07,33.16666793823242
2022-07-08,32.7599983215332
2022-07-11,32.56666564941406
2022-07-12,32.7599983215332
2022-07-13,32.43333435058594
2022-07-14,32.08000183105469
2022-07-15,32.606666564941406
2022-07-18,32.366668701171875
2022-07-19,33.266666412353516
2022-07-20,33.67333221435547
2022-07-21,33.70000076293945
2022-07-22,33.45333480834961
2022-07-25,33.46666717529297
2022-07-26,33.80666732788086
2022-07-27,31.793333053588867
2022-07-28,32.1533317565918
2022-07-29,32.12666702270508
2022-08-01,32.706668853759766
2022-08-02,32.246665954589844
2022-08-03,32.66666793823242
2022-08-04,32.14666748046875
2022-08-05,32.426666259765625
2022-08-08,32.46666717529297
2022-08-09,32.040000915527344
2022-08-10,32.81999969482422
2022-08-11,32.86000061035156
2022-08-12,33.779998779296875
2022-08-15,34.026668548583984
2022-08-16,35.186668395996094
2022-08-17,34.586666107177734
2022-08-18,34.79999923706055
2022-08-19,34.413333892822266
2022-08-22,33.70000076293945
2022-08-23,33.459999084472656
2022-08-24,33.32666778564453
2022-08-25,34.099998474121094
2022-08-26,33.0
2022-08-29,32.95333480834961
2022-08-30,31.866666793823242
2022-08-31,31.373332977294922
2022-09-01,31.19333267211914
2022-09-02,31.126667022705078
2022-09-06,31.046667098999023
2022-09-07,31.64666748046875
2022-09-08,31.606666564941406
2022-09-09,32.35333251953125
2022-09-12,32.5533332824707
2022-09-13,31.133333206176758
2022-09-14,31.100000381469727
2022-09-15,30.666667938232422
2022-09-16,29.700000762939453
2022-09-19,30.786666870117188
2022-09-20,30.540000915527344
2022-09-21,30.14666748046875
2022-09-22,29.760000228881836
2022-09-23,29.31999969482422
2022-09-26,28.866666793823242
2022-09-27,29.020000457763672
2022-09-28,29.780000686645508
2022-09-29,29.30666732788086
2022-09-30,29.239999771118164
2022-10-03,30.273332595825195
2022-10-04,30.700000762939453
2022-10-05,30.833332061767578
2022-10-06,30.639999389648438
2022-10-07,30.31333351135254
2022-10-10,30.606666564941406
2022-10-11,31.00666618347168
2022-10-12,30.760000228881836
2022-10-13,31.579999923706055
2022-10-14,31.040000915527344
2022-10-17,31.53333282470703
2022-10-18,32.573333740234375
2022-10-19,32.06666564941406
2022-10-20,31.113332748413086
2022-10-21,32.119998931884766
2022-10-24,32.64666748046875
2022-10-25,32.99333190917969
2022-10-26,32.21333312988281
2022-10-27,32.900001525878906
2022-10-28,33.43333435058594
2022-10-31,33.2599983215332
2022-11-01,33.400001525878906
2022-11-02,32.58000183105469
2022-11-03,32.34000015258789
2022-11-04,32.706668853759766
2022-11-07,32.7400016784668
2022-11-08,32.619998931884766
2022-11-09,31.98666763305664
2022-11-10,33.90666580200195
2022-11-11,34.11333465576172
2022-11-14,33.313331604003906
2022-11-15,33.50666809082031
2022-11-16,33.099998474121094
2022-11-17,33.50666809082031
2022-11-18,34.0
2022-11-21,34.0533332824707
2022-11-22,34.540000915527344
