Date,BL
2022-02-28,75.30999755859375
2022-03-01,75.29000091552734
2022-03-02,74.51000213623047
2022-03-03,71.94000244140625
2022-03-04,69.94000244140625
2022-03-07,68.30999755859375
2022-03-08,68.5199966430664
2022-03-09,71.5
2022-03-10,70.69999694824219
2022-03-11,67.31999969482422
2022-03-14,65.7699966430664
2022-03-15,67.08000183105469
2022-03-16,69.68000030517578
2022-03-17,72.29000091552734
2022-03-18,74.3499984741211
2022-03-21,75.54000091552734
2022-03-22,76.8499984741211
2022-03-23,74.12000274658203
2022-03-24,73.66000366210938
2022-03-25,72.27999877929688
2022-03-28,72.16000366210938
2022-03-29,76.9800033569336
2022-03-30,74.12999725341797
2022-03-31,73.22000122070312
2022-04-01,73.91000366210938
2022-04-04,75.66000366210938
2022-04-05,73.91000366210938
2022-04-06,71.87000274658203
2022-04-07,70.8499984741211
2022-04-08,69.52999877929688
2022-04-11,70.41000366210938
2022-04-12,69.7699966430664
2022-04-13,71.27999877929688
2022-04-14,69.58999633789062
2022-04-18,68.95999908447266
2022-04-19,69.98999786376953
2022-04-20,67.4800033569336
2022-04-21,66.2699966430664
2022-04-22,65.62999725341797
2022-04-25,68.16000366210938
2022-04-26,66.20999908447266
2022-04-27,65.33000183105469
2022-04-28,68.06999969482422
2022-04-29,67.05000305175781
2022-05-02,67.12000274658203
2022-05-03,67.69999694824219
2022-05-04,67.83999633789062
2022-05-05,61.9900016784668
2022-05-06,60.939998626708984
2022-05-09,54.849998474121094
2022-05-10,53.7400016784668
2022-05-11,51.790000915527344
2022-05-12,54.38999938964844
2022-05-13,58.54999923706055
2022-05-16,58.43000030517578
2022-05-17,62.189998626708984
2022-05-18,61.900001525878906
2022-05-19,66.0
2022-05-20,72.06999969482422
2022-05-23,70.55999755859375
2022-05-24,71.4800033569336
2022-05-25,72.4800033569336
2022-05-26,73.0
2022-05-27,72.94000244140625
2022-05-31,73.22000122070312
2022-06-01,72.7300033569336
2022-06-02,77.29000091552734
2022-06-03,75.80999755859375
2022-06-06,76.08999633789062
2022-06-07,78.31999969482422
2022-06-08,76.80000305175781
2022-06-09,74.5199966430664
2022-06-10,72.7699966430664
2022-06-13,67.81999969482422
2022-06-14,68.05999755859375
2022-06-15,68.93000030517578
2022-06-16,66.12999725341797
2022-06-17,67.7300033569336
2022-06-21,68.13999938964844
2022-06-22,67.5
2022-06-23,69.80999755859375
2022-06-24,75.19000244140625
2022-06-27,73.05000305175781
2022-06-28,70.0
2022-06-29,68.94999694824219
2022-06-30,66.5999984741211
2022-07-01,68.01000213623047
2022-07-05,72.48500061035156
2022-07-06,70.6500015258789
2022-07-07,74.6500015258789
2022-07-08,75.75
2022-07-11,73.69999694824219
2022-07-12,69.72000122070312
2022-07-13,69.88999938964844
2022-07-14,65.93000030517578
2022-07-15,68.5
2022-07-18,61.380001068115234
2022-07-19,61.83000183105469
2022-07-20,65.02999877929688
