Date,IEP
2022-02-28,54.7400016784668
2022-03-01,54.150001525878906
2022-03-02,54.33000183105469
2022-03-03,54.130001068115234
2022-03-04,54.0099983215332
2022-03-07,53.529998779296875
2022-03-08,53.470001220703125
2022-03-09,53.93000030517578
2022-03-10,54.0
2022-03-11,53.70000076293945
2022-03-14,53.689998626708984
2022-03-15,53.83000183105469
2022-03-16,53.970001220703125
2022-03-17,52.41999816894531
2022-03-18,51.5099983215332
2022-03-21,51.790000915527344
2022-03-22,51.290000915527344
2022-03-23,51.279998779296875
2022-03-24,51.119998931884766
2022-03-25,51.369998931884766
2022-03-28,51.54999923706055
2022-03-29,52.34000015258789
2022-03-30,52.2599983215332
2022-03-31,51.93000030517578
2022-04-01,53.0
2022-04-04,52.810001373291016
2022-04-05,53.31999969482422
2022-04-06,53.02000045776367
2022-04-07,52.70000076293945
2022-04-08,53.220001220703125
2022-04-11,52.68000030517578
2022-04-12,52.7400016784668
2022-04-13,53.369998931884766
2022-04-14,53.31999969482422
2022-04-18,53.720001220703125
2022-04-19,53.959999084472656
2022-04-20,53.79999923706055
2022-04-21,53.34000015258789
2022-04-22,52.849998474121094
2022-04-25,53.2599983215332
2022-04-26,52.56999969482422
2022-04-27,52.86000061035156
2022-04-28,53.599998474121094
2022-04-29,52.63999938964844
2022-05-02,52.900001525878906
2022-05-03,53.33000183105469
2022-05-04,53.7599983215332
2022-05-05,53.40999984741211
2022-05-06,54.619998931884766
2022-05-09,52.599998474121094
2022-05-10,53.0
2022-05-11,53.459999084472656
2022-05-12,53.04999923706055
2022-05-13,54.04999923706055
2022-05-16,54.720001220703125
2022-05-17,55.5099983215332
2022-05-18,54.52000045776367
2022-05-19,51.5099983215332
2022-05-20,50.560001373291016
2022-05-23,51.369998931884766
2022-05-24,51.31999969482422
2022-05-25,51.36000061035156
2022-05-26,51.279998779296875
2022-05-27,51.93000030517578
2022-05-31,51.349998474121094
2022-06-01,51.150001525878906
2022-06-02,51.470001220703125
2022-06-03,51.25
2022-06-06,51.02000045776367
2022-06-07,51.29999923706055
2022-06-08,51.970001220703125
2022-06-09,51.5
2022-06-10,51.27000045776367
2022-06-13,50.189998626708984
2022-06-14,49.5099983215332
2022-06-15,49.86000061035156
2022-06-16,48.7400016784668
2022-06-17,49.27000045776367
