Date,CCOI
2022-02-28,63.400001525878906
2022-03-01,62.66999816894531
2022-03-02,63.310001373291016
2022-03-03,63.279998779296875
2022-03-04,63.65999984741211
2022-03-07,63.41999816894531
2022-03-08,61.779998779296875
2022-03-09,63.869998931884766
2022-03-10,64.44000244140625
2022-03-11,62.9900016784668
2022-03-14,62.959999084472656
2022-03-15,63.189998626708984
2022-03-16,63.189998626708984
2022-03-17,63.900001525878906
2022-03-18,64.9000015258789
2022-03-21,62.33000183105469
2022-03-22,62.70000076293945
2022-03-23,61.52000045776367
2022-03-24,61.970001220703125
2022-03-25,61.7599983215332
2022-03-28,63.279998779296875
2022-03-29,65.58000183105469
2022-03-30,64.66999816894531
2022-03-31,66.3499984741211
2022-04-01,68.80999755859375
2022-04-04,68.94000244140625
2022-04-05,70.31999969482422
2022-04-06,71.94000244140625
2022-04-07,70.61000061035156
2022-04-08,68.55999755859375
2022-04-11,67.91000366210938
2022-04-12,67.58999633789062
2022-04-13,67.33999633789062
2022-04-14,66.37000274658203
2022-04-18,64.72000122070312
2022-04-19,65.94000244140625
2022-04-20,65.66000366210938
2022-04-21,65.47000122070312
2022-04-22,64.33999633789062
2022-04-25,63.720001220703125
2022-04-26,60.95000076293945
2022-04-27,61.68000030517578
2022-04-28,61.54999923706055
2022-04-29,58.5
2022-05-02,60.08000183105469
2022-05-03,60.810001373291016
2022-05-04,63.689998626708984
2022-05-05,61.58000183105469
2022-05-06,60.06999969482422
2022-05-09,58.560001373291016
2022-05-10,57.43000030517578
2022-05-11,57.619998931884766
2022-05-12,58.470001220703125
2022-05-13,59.16999816894531
2022-05-16,58.34000015258789
2022-05-17,57.83000183105469
2022-05-18,55.81999969482422
2022-05-19,55.65999984741211
2022-05-20,57.59000015258789
2022-05-23,57.25
2022-05-24,58.95000076293945
2022-05-25,59.2599983215332
2022-05-26,59.599998474121094
2022-05-27,61.380001068115234
2022-05-31,60.38999938964844
2022-06-01,60.150001525878906
2022-06-02,61.22999954223633
2022-06-03,60.029998779296875
2022-06-06,59.9900016784668
2022-06-07,60.56999969482422
2022-06-08,60.40999984741211
2022-06-09,60.09000015258789
2022-06-10,59.88999938964844
2022-06-13,58.040000915527344
2022-06-14,57.9900016784668
2022-06-15,57.65999984741211
2022-06-16,56.0
2022-06-17,56.95000076293945
2022-06-21,58.91999816894531
2022-06-22,58.95000076293945
2022-06-23,61.119998931884766
2022-06-24,62.0
2022-06-27,61.72999954223633
