Date,UFPI
2022-02-28,85.75
2022-03-01,83.31999969482422
2022-03-02,87.19999694824219
2022-03-03,85.55000305175781
2022-03-04,84.36000061035156
2022-03-07,82.31999969482422
2022-03-08,82.4800033569336
2022-03-09,84.73999786376953
2022-03-10,84.69000244140625
2022-03-11,84.26000213623047
2022-03-14,83.13999938964844
2022-03-15,85.66000366210938
2022-03-16,87.55999755859375
2022-03-17,88.73999786376953
2022-03-18,88.33999633789062
2022-03-21,87.69999694824219
2022-03-22,86.0199966430664
2022-03-23,83.77999877929688
2022-03-24,80.33000183105469
2022-03-25,80.04000091552734
2022-03-28,80.94999694824219
2022-03-29,82.61000061035156
2022-03-30,79.6500015258789
2022-03-31,77.16000366210938
2022-04-01,78.4000015258789
2022-04-04,78.83999633789062
2022-04-05,75.68000030517578
2022-04-06,74.44000244140625
2022-04-07,75.1500015258789
2022-04-08,74.94000244140625
2022-04-11,76.19000244140625
2022-04-12,77.4000015258789
2022-04-13,78.56999969482422
2022-04-14,73.23999786376953
2022-04-18,72.88999938964844
2022-04-19,75.83999633789062
2022-04-20,77.87999725341797
2022-04-21,77.0
2022-04-22,77.91999816894531
2022-04-25,80.83999633789062
2022-04-26,78.9000015258789
2022-04-27,77.41000366210938
2022-04-28,79.0999984741211
2022-04-29,77.37000274658203
2022-05-02,78.18000030517578
2022-05-03,79.66000366210938
2022-05-04,83.1500015258789
2022-05-05,78.75
2022-05-06,78.48999786376953
2022-05-09,79.33000183105469
2022-05-10,77.12999725341797
2022-05-11,75.19000244140625
2022-05-12,77.69000244140625
2022-05-13,78.33999633789062
2022-05-16,77.91000366210938
2022-05-17,80.08000183105469
2022-05-18,77.51000213623047
2022-05-19,75.58000183105469
2022-05-20,75.13999938964844
2022-05-23,75.22000122070312
2022-05-24,72.58999633789062
2022-05-25,74.79000091552734
2022-05-26,77.05999755859375
2022-05-27,78.9000015258789
2022-05-31,77.19999694824219
2022-06-01,77.86000061035156
2022-06-02,79.23999786376953
2022-06-03,79.37999725341797
