Date,VCTR
2022-02-28,33.16999816894531
2022-03-01,32.40999984741211
2022-03-02,33.939998626708984
2022-03-03,33.130001068115234
2022-03-04,31.3799991607666
2022-03-07,29.329999923706055
2022-03-08,29.270000457763672
2022-03-09,30.969999313354492
2022-03-10,31.25
2022-03-11,31.3700008392334
2022-03-14,31.75
2022-03-15,32.16999816894531
2022-03-16,34.06999969482422
2022-03-17,34.0
2022-03-18,32.22999954223633
2022-03-21,31.15999984741211
2022-03-22,32.15999984741211
2022-03-23,30.280000686645508
2022-03-24,30.399999618530273
2022-03-25,30.040000915527344
2022-03-28,29.510000228881836
2022-03-29,30.0
2022-03-30,29.690000534057617
2022-03-31,28.8700008392334
2022-04-01,29.149999618530273
2022-04-04,28.75
2022-04-05,28.600000381469727
2022-04-06,27.8700008392334
2022-04-07,27.600000381469727
2022-04-08,26.959999084472656
2022-04-11,26.790000915527344
2022-04-12,26.540000915527344
2022-04-13,27.34000015258789
2022-04-14,27.350000381469727
2022-04-18,27.239999771118164
2022-04-19,28.989999771118164
2022-04-20,29.420000076293945
2022-04-21,28.6299991607666
2022-04-22,27.549999237060547
2022-04-25,28.329999923706055
2022-04-26,27.06999969482422
2022-04-27,27.149999618530273
2022-04-28,27.790000915527344
2022-04-29,26.989999771118164
2022-05-02,27.81999969482422
2022-05-03,27.8700008392334
2022-05-04,28.3700008392334
2022-05-05,26.6200008392334
2022-05-06,26.559999465942383
2022-05-09,25.700000762939453
2022-05-10,25.5
2022-05-11,25.09000015258789
2022-05-12,25.690000534057617
2022-05-13,25.950000762939453
2022-05-16,26.40999984741211
2022-05-17,27.389999389648438
2022-05-18,26.290000915527344
2022-05-19,26.010000228881836
2022-05-20,26.350000381469727
2022-05-23,26.639999389648438
2022-05-24,26.030000686645508
2022-05-25,26.93000030517578
2022-05-26,27.600000381469727
2022-05-27,28.25
2022-05-31,28.280000686645508
2022-06-01,28.15999984741211
2022-06-02,28.979999542236328
2022-06-03,28.700000762939453
2022-06-06,27.59000015258789
2022-06-07,27.350000381469727
2022-06-08,26.860000610351562
2022-06-09,26.389999389648438
2022-06-10,25.799999237060547
2022-06-13,24.149999618530273
2022-06-14,24.959999084472656
2022-06-15,25.75
2022-06-16,24.969999313354492
2022-06-17,25.540000915527344
2022-06-21,25.770000457763672
2022-06-22,25.760000228881836
2022-06-23,25.850000381469727
2022-06-24,26.399999618530273
2022-06-27,26.690000534057617
2022-06-28,26.600000381469727
2022-06-29,24.290000915527344
2022-06-30,24.100000381469727
2022-07-01,24.790000915527344
2022-07-05,25.1200008392334
2022-07-06,24.700000762939453
2022-07-07,25.360000610351562
