Date,MDB
2022-02-28,381.989990234375
2022-03-01,381.80999755859375
2022-03-02,381.6700134277344
2022-03-03,327.2300109863281
2022-03-04,306.1099853515625
2022-03-07,279.9800109863281
2022-03-08,281.739990234375
2022-03-09,334.0899963378906
2022-03-10,338.510009765625
2022-03-11,316.489990234375
2022-03-14,290.1600036621094
2022-03-15,298.260009765625
2022-03-16,343.82000732421875
2022-03-17,372.42999267578125
2022-03-18,398.1000061035156
2022-03-21,390.5
2022-03-22,405.7699890136719
2022-03-23,404.8500061035156
2022-03-24,420.3399963378906
2022-03-25,406.0400085449219
2022-03-28,420.9200134277344
2022-03-29,435.8900146484375
2022-03-30,430.2200012207031
2022-03-31,443.5899963378906
2022-04-01,454.45001220703125
2022-04-04,458.6000061035156
2022-04-05,435.1199951171875
2022-04-06,421.8900146484375
2022-04-07,428.489990234375
2022-04-08,416.8800048828125
2022-04-11,410.1000061035156
2022-04-12,414.07000732421875
2022-04-13,435.239990234375
2022-04-14,416.5
2022-04-18,401.1499938964844
2022-04-19,416.0
2022-04-20,407.010009765625
2022-04-21,377.8699951171875
2022-04-22,371.0400085449219
2022-04-25,381.739990234375
2022-04-26,352.75
2022-04-27,359.9800109863281
2022-04-28,377.6499938964844
2022-04-29,354.92999267578125
2022-05-02,359.5899963378906
2022-05-03,343.7200012207031
2022-05-04,360.55999755859375
2022-05-05,315.92999267578125
2022-05-06,299.7099914550781
2022-05-09,252.72000122070312
2022-05-10,250.49000549316406
2022-05-11,242.25
2022-05-12,245.6300048828125
2022-05-13,286.0299987792969
2022-05-16,252.0
2022-05-17,247.27999877929688
2022-05-18,229.97000122070312
2022-05-19,245.3300018310547
2022-05-20,248.10000610351562
2022-05-23,244.0500030517578
2022-05-24,223.61000061035156
2022-05-25,230.7899932861328
2022-05-26,233.05999755859375
2022-05-27,250.05999755859375
2022-05-31,237.14999389648438
2022-06-01,241.80999755859375
2022-06-02,286.70001220703125
2022-06-03,273.1300048828125
2022-06-06,274.5899963378906
2022-06-07,295.5899963378906
2022-06-08,299.010009765625
2022-06-09,290.3800048828125
2022-06-10,268.7099914550781
2022-06-13,239.0
2022-06-14,241.0
2022-06-15,254.32000732421875
2022-06-16,235.00999450683594
2022-06-17,249.75
2022-06-21,269.54998779296875
2022-06-22,267.2300109863281
2022-06-23,290.6099853515625
2022-06-24,303.0899963378906
2022-06-27,298.8900146484375
2022-06-28,278.3500061035156
2022-06-29,276.7699890136719
2022-06-30,259.5
2022-07-01,269.010009765625
2022-07-05,304.42999267578125
2022-07-06,304.29998779296875
2022-07-07,315.4800109863281
2022-07-08,314.1600036621094
2022-07-11,310.8599853515625
2022-07-12,291.239990234375
2022-07-13,295.260009765625
2022-07-14,278.9100036621094
2022-07-15,277.4700012207031
2022-07-18,281.1700134277344
2022-07-19,284.32000732421875
2022-07-20,307.57000732421875
2022-07-21,317.92999267578125
2022-07-22,301.6099853515625
2022-07-25,289.42999267578125
2022-07-26,266.70001220703125
2022-07-27,289.9200134277344
2022-07-28,297.010009765625
2022-07-29,312.4700012207031
2022-08-01,318.0199890136719
2022-08-02,323.79998779296875
2022-08-03,339.30999755859375
2022-08-04,340.8800048828125
2022-08-05,356.8399963378906
2022-08-08,363.7099914550781
2022-08-09,358.17999267578125
2022-08-10,380.30999755859375
2022-08-11,368.760009765625
2022-08-12,379.1000061035156
2022-08-15,375.9200134277344
2022-08-16,374.4200134277344
2022-08-17,361.67999267578125
2022-08-18,353.5299987792969
2022-08-19,337.07000732421875
2022-08-22,329.760009765625
2022-08-23,326.260009765625
2022-08-24,338.6000061035156
2022-08-25,363.739990234375
2022-08-26,353.57000732421875
2022-08-29,332.07000732421875
