Date,TGTX
2022-02-28,9.869999885559082
2022-03-01,10.289999961853027
2022-03-02,10.329999923706055
2022-03-03,9.350000381469727
2022-03-04,8.770000457763672
2022-03-07,8.670000076293945
2022-03-08,8.489999771118164
2022-03-09,9.130000114440918
2022-03-10,9.010000228881836
2022-03-11,8.800000190734863
2022-03-14,7.809999942779541
2022-03-15,7.989999771118164
2022-03-16,8.8100004196167
2022-03-17,9.680000305175781
2022-03-18,10.149999618530273
2022-03-21,9.699999809265137
2022-03-22,10.220000267028809
2022-03-23,9.960000038146973
2022-03-24,10.329999923706055
2022-03-25,9.970000267028809
2022-03-28,9.930000305175781
2022-03-29,10.5600004196167
2022-03-30,9.819999694824219
2022-03-31,9.510000228881836
2022-04-01,10.079999923706055
2022-04-04,10.65999984741211
2022-04-05,10.470000267028809
2022-04-06,10.489999771118164
2022-04-07,9.710000038146973
2022-04-08,9.260000228881836
2022-04-11,9.109999656677246
2022-04-12,9.270000457763672
2022-04-13,9.670000076293945
2022-04-14,8.850000381469727
2022-04-18,6.920000076293945
2022-04-19,7.260000228881836
2022-04-20,7.690000057220459
2022-04-21,7.420000076293945
2022-04-22,7.130000114440918
2022-04-25,7.46999979019165
2022-04-26,6.739999771118164
2022-04-27,6.550000190734863
2022-04-28,6.710000038146973
2022-04-29,6.940000057220459
2022-05-02,7.550000190734863
2022-05-03,7.46999979019165
2022-05-04,7.860000133514404
2022-05-05,7.519999980926514
2022-05-06,7.079999923706055
2022-05-09,6.409999847412109
2022-05-10,6.460000038146973
2022-05-11,5.710000038146973
2022-05-12,6.039999961853027
2022-05-13,6.5
2022-05-16,6.46999979019165
2022-05-17,6.820000171661377
2022-05-18,6.099999904632568
2022-05-19,6.039999961853027
2022-05-20,5.389999866485596
2022-05-23,5.440000057220459
2022-05-24,4.900000095367432
2022-05-25,4.989999771118164
2022-05-26,5.050000190734863
2022-05-27,5.170000076293945
2022-05-31,4.420000076293945
2022-06-01,3.9100000858306885
2022-06-02,4.099999904632568
2022-06-03,4.400000095367432
2022-06-06,3.950000047683716
2022-06-07,4.21999979019165
2022-06-08,5.010000228881836
2022-06-09,4.840000152587891
2022-06-10,4.590000152587891
2022-06-13,4.130000114440918
2022-06-14,3.8499999046325684
2022-06-15,3.869999885559082
2022-06-16,3.740000009536743
2022-06-17,4.039999961853027
2022-06-21,4.300000190734863
2022-06-22,4.389999866485596
2022-06-23,4.630000114440918
2022-06-24,4.400000095367432
2022-06-27,4.340000152587891
2022-06-28,4.059999942779541
2022-06-29,4.320000171661377
2022-06-30,4.25
2022-07-01,4.570000171661377
2022-07-05,5.25
2022-07-06,5.289999961853027
2022-07-07,5.53000020980835
2022-07-08,5.630000114440918
2022-07-11,5.190000057220459
2022-07-12,5.630000114440918
2022-07-13,6.079999923706055
2022-07-14,6.170000076293945
2022-07-15,6.199999809265137
2022-07-18,5.900000095367432
2022-07-19,6.300000190734863
2022-07-20,6.860000133514404
2022-07-21,6.659999847412109
2022-07-22,6.239999771118164
2022-07-25,6.449999809265137
2022-07-26,6.260000228881836
2022-07-27,6.650000095367432
2022-07-28,6.389999866485596
2022-07-29,5.989999771118164
2022-08-01,5.539999961853027
2022-08-02,5.760000228881836
2022-08-03,6.059999942779541
2022-08-04,6.449999809265137
2022-08-05,6.230000019073486
2022-08-08,7.519999980926514
2022-08-09,7.440000057220459
2022-08-10,7.960000038146973
2022-08-11,7.519999980926514
2022-08-12,8.3100004196167
2022-08-15,8.399999618530273
2022-08-16,7.78000020980835
2022-08-17,7.429999828338623
2022-08-18,7.309999942779541
2022-08-19,6.989999771118164
2022-08-22,6.670000076293945
2022-08-23,6.809999942779541
2022-08-24,7.480000019073486
2022-08-25,7.630000114440918
2022-08-26,6.760000228881836
2022-08-29,6.590000152587891
2022-08-30,6.769999980926514
2022-08-31,7.130000114440918
