Date,GH
2022-02-28,66.2699966430664
2022-03-01,66.33000183105469
2022-03-02,65.7300033569336
2022-03-03,60.650001525878906
2022-03-04,57.91999816894531
2022-03-07,53.68000030517578
2022-03-08,56.13999938964844
2022-03-09,60.290000915527344
2022-03-10,58.68000030517578
2022-03-11,54.400001525878906
2022-03-14,48.25
2022-03-15,48.7599983215332
2022-03-16,53.279998779296875
2022-03-17,55.81999969482422
2022-03-18,59.459999084472656
2022-03-21,57.689998626708984
2022-03-22,60.939998626708984
2022-03-23,58.810001373291016
2022-03-24,59.59000015258789
2022-03-25,59.2599983215332
2022-03-28,60.939998626708984
2022-03-29,67.5
2022-03-30,66.98999786376953
2022-03-31,66.23999786376953
2022-04-01,73.04000091552734
2022-04-04,77.3499984741211
2022-04-05,75.02999877929688
2022-04-06,72.11000061035156
2022-04-07,73.75
2022-04-08,73.75
2022-04-11,70.43000030517578
2022-04-12,71.18000030517578
2022-04-13,73.4000015258789
2022-04-14,71.98999786376953
2022-04-18,71.3499984741211
2022-04-19,72.91000366210938
2022-04-20,69.94999694824219
2022-04-21,65.83999633789062
2022-04-22,65.91999816894531
2022-04-25,69.76000213623047
2022-04-26,66.05000305175781
2022-04-27,64.69000244140625
2022-04-28,64.36000061035156
2022-04-29,61.70000076293945
2022-05-02,62.209999084472656
2022-05-03,54.65999984741211
2022-05-04,56.209999084472656
2022-05-05,50.720001220703125
2022-05-06,39.31999969482422
2022-05-09,30.6299991607666
2022-05-10,31.329999923706055
2022-05-11,28.81999969482422
2022-05-12,30.850000381469727
2022-05-13,35.90999984741211
2022-05-16,35.09000015258789
2022-05-17,34.470001220703125
2022-05-18,32.209999084472656
2022-05-19,34.75
2022-05-20,36.77000045776367
2022-05-23,37.97999954223633
2022-05-24,37.27000045776367
2022-05-25,36.4900016784668
2022-05-26,38.52000045776367
2022-05-27,43.0
2022-05-31,40.97999954223633
2022-06-01,38.650001525878906
2022-06-02,41.439998626708984
2022-06-03,38.029998779296875
2022-06-06,39.02000045776367
2022-06-07,40.349998474121094
2022-06-08,42.18000030517578
2022-06-09,39.0099983215332
2022-06-10,37.5
2022-06-13,35.880001068115234
2022-06-14,36.599998474121094
2022-06-15,38.41999816894531
2022-06-16,36.13999938964844
2022-06-17,37.130001068115234
2022-06-21,38.2400016784668
2022-06-22,40.869998931884766
2022-06-23,44.459999084472656
2022-06-24,46.25
2022-06-27,44.40999984741211
2022-06-28,42.2599983215332
2022-06-29,42.040000915527344
2022-06-30,40.34000015258789
2022-07-01,43.65999984741211
2022-07-05,47.439998626708984
2022-07-06,46.52000045776367
2022-07-07,50.65999984741211
2022-07-08,50.38999938964844
2022-07-11,47.119998931884766
2022-07-12,48.130001068115234
2022-07-13,48.34000015258789
2022-07-14,48.060001373291016
2022-07-15,48.709999084472656
2022-07-18,44.16999816894531
2022-07-19,46.43000030517578
2022-07-20,48.45000076293945
2022-07-21,50.7400016784668
2022-07-22,48.43000030517578
2022-07-25,49.529998779296875
2022-07-26,48.20000076293945
2022-07-27,50.2400016784668
2022-07-28,51.58000183105469
2022-07-29,50.16999816894531
2022-08-01,48.380001068115234
2022-08-02,50.70000076293945
2022-08-03,52.08000183105469
2022-08-04,51.09000015258789
2022-08-05,52.91999816894531
2022-08-08,54.5
2022-08-09,48.959999084472656
2022-08-10,53.08000183105469
2022-08-11,53.130001068115234
2022-08-12,54.18000030517578
2022-08-15,55.040000915527344
2022-08-16,53.16999816894531
2022-08-17,51.41999816894531
2022-08-18,50.36000061035156
2022-08-19,47.7599983215332
2022-08-22,47.13999938964844
2022-08-23,47.970001220703125
2022-08-24,50.349998474121094
2022-08-25,53.869998931884766
2022-08-26,50.27000045776367
2022-08-29,50.150001525878906
2022-08-30,48.220001220703125
2022-08-31,50.060001373291016
2022-09-01,49.06999969482422
2022-09-02,53.11000061035156
2022-09-06,51.15999984741211
2022-09-07,55.75
2022-09-08,57.97999954223633
2022-09-09,59.279998779296875
2022-09-12,61.0
2022-09-13,59.18000030517578
2022-09-14,59.18000030517578
2022-09-15,58.88999938964844
2022-09-16,56.08000183105469
2022-09-19,55.02000045776367
2022-09-20,55.650001525878906
2022-09-21,53.720001220703125
2022-09-22,49.83000183105469
2022-09-23,48.959999084472656
2022-09-26,48.04999923706055
2022-09-27,49.59000015258789
2022-09-28,54.88999938964844
2022-09-29,53.720001220703125
2022-09-30,53.83000183105469
2022-10-03,54.83000183105469
2022-10-04,59.619998931884766
2022-10-05,59.779998779296875
2022-10-06,59.77000045776367
2022-10-07,55.75
2022-10-10,51.7400016784668
2022-10-11,50.0099983215332
2022-10-12,51.849998474121094
2022-10-13,50.529998779296875
2022-10-14,48.7599983215332
2022-10-17,50.040000915527344
2022-10-18,47.27000045776367
2022-10-19,43.79999923706055
2022-10-20,45.099998474121094
2022-10-21,44.459999084472656
2022-10-24,42.720001220703125
2022-10-25,46.709999084472656
2022-10-26,48.060001373291016
2022-10-27,47.84000015258789
2022-10-28,47.86000061035156
2022-10-31,49.5
2022-11-01,49.59000015258789
2022-11-02,45.779998779296875
2022-11-03,45.04999923706055
2022-11-04,47.27000045776367
2022-11-07,47.20000076293945
2022-11-08,44.349998474121094
2022-11-09,41.41999816894531
2022-11-10,49.2599983215332
2022-11-11,53.540000915527344
2022-11-14,48.25
2022-11-15,51.25
2022-11-16,49.459999084472656
2022-11-17,48.40999984741211
2022-11-18,48.16999816894531
2022-11-21,48.18000030517578
2022-11-22,47.029998779296875
2022-11-23,50.06999969482422
