Date,LECO
2022-02-28,127.45999908447266
2022-03-01,125.47000122070312
2022-03-02,128.3800048828125
2022-03-03,130.1300048828125
2022-03-04,128.4199981689453
2022-03-07,126.0
2022-03-08,126.5
2022-03-09,126.98999786376953
2022-03-10,125.9000015258789
2022-03-11,125.69000244140625
2022-03-14,127.25
2022-03-15,129.33999633789062
2022-03-16,131.75999450683594
2022-03-17,132.50999450683594
2022-03-18,134.17999267578125
2022-03-21,134.25
2022-03-22,135.11000061035156
2022-03-23,133.3699951171875
2022-03-24,133.4600067138672
2022-03-25,134.72000122070312
2022-03-28,134.91000366210938
2022-03-29,139.4600067138672
2022-03-30,138.5399932861328
2022-03-31,137.80999755859375
2022-04-01,137.44000244140625
2022-04-04,135.77000427246094
2022-04-05,131.57000732421875
2022-04-06,131.07000732421875
2022-04-07,130.47999572753906
2022-04-08,129.88999938964844
2022-04-11,127.26000213623047
2022-04-12,127.58000183105469
2022-04-13,129.52999877929688
2022-04-14,129.47000122070312
2022-04-18,129.3699951171875
2022-04-19,132.61000061035156
2022-04-20,133.25
2022-04-21,133.16000366210938
2022-04-22,130.05999755859375
2022-04-25,129.92999267578125
2022-04-26,126.93000030517578
2022-04-27,128.35000610351562
2022-04-28,135.85000610351562
2022-04-29,134.72999572753906
2022-05-02,133.10000610351562
2022-05-03,135.17999267578125
2022-05-04,139.3699951171875
2022-05-05,135.75
2022-05-06,136.1199951171875
2022-05-09,136.67999267578125
2022-05-10,134.0800018310547
2022-05-11,133.8699951171875
2022-05-12,133.1999969482422
2022-05-13,133.25
2022-05-16,133.8300018310547
2022-05-17,135.67999267578125
2022-05-18,132.1300048828125
2022-05-19,132.05999755859375
2022-05-20,130.75999450683594
2022-05-23,130.64999389648438
2022-05-24,129.92999267578125
2022-05-25,130.6199951171875
2022-05-26,133.44000244140625
2022-05-27,135.91000366210938
2022-05-31,135.82000732421875
2022-06-01,135.75999450683594
2022-06-02,138.55999755859375
2022-06-03,137.6300048828125
2022-06-06,139.27999877929688
2022-06-07,140.3300018310547
2022-06-08,138.39999389648438
2022-06-09,138.55999755859375
2022-06-10,134.6699981689453
2022-06-13,129.72000122070312
2022-06-14,127.81999969482422
2022-06-15,127.69000244140625
2022-06-16,124.0
2022-06-17,122.31999969482422
2022-06-21,123.94999694824219
2022-06-22,124.29000091552734
2022-06-23,121.7699966430664
2022-06-24,125.77999877929688
2022-06-27,127.55999755859375
2022-06-28,124.9800033569336
2022-06-29,122.7699966430664
2022-06-30,123.36000061035156
2022-07-01,124.23999786376953
2022-07-05,121.7300033569336
2022-07-06,122.11000061035156
2022-07-07,125.0
2022-07-08,123.45999908447266
2022-07-11,122.83999633789062
2022-07-12,122.18000030517578
2022-07-13,121.08000183105469
2022-07-14,119.5999984741211
2022-07-15,122.6500015258789
2022-07-18,122.12000274658203
2022-07-19,126.48999786376953
2022-07-20,127.30000305175781
2022-07-21,128.5500030517578
2022-07-22,127.66000366210938
2022-07-25,129.13999938964844
2022-07-26,130.2100067138672
2022-07-27,133.7100067138672
2022-07-28,136.5800018310547
2022-07-29,141.44000244140625
2022-08-01,140.72000122070312
2022-08-02,138.72999572753906
2022-08-03,139.57000732421875
2022-08-04,141.35000610351562
2022-08-05,142.61000061035156
2022-08-08,141.89999389648438
2022-08-09,141.52999877929688
2022-08-10,144.0
2022-08-11,144.83999633789062
2022-08-12,147.3000030517578
2022-08-15,148.07000732421875
2022-08-16,147.99000549316406
2022-08-17,147.35000610351562
2022-08-18,147.77999877929688
2022-08-19,147.1999969482422
2022-08-22,143.99000549316406
2022-08-23,143.6199951171875
2022-08-24,143.7100067138672
2022-08-25,145.5
2022-08-26,140.89999389648438
2022-08-29,139.9499969482422
2022-08-30,137.92999267578125
2022-08-31,136.69000244140625
2022-09-01,137.14999389648438
2022-09-02,135.50999450683594
2022-09-06,135.72999572753906
2022-09-07,138.11000061035156
2022-09-08,138.57000732421875
2022-09-09,139.77000427246094
2022-09-12,141.4600067138672
2022-09-13,139.5800018310547
2022-09-14,139.5399932861328
2022-09-15,136.83999633789062
2022-09-16,134.02999877929688
2022-09-19,137.3300018310547
2022-09-20,135.8699951171875
2022-09-21,134.6199951171875
2022-09-22,129.86000061035156
2022-09-23,127.55000305175781
2022-09-26,126.7300033569336
2022-09-27,125.69999694824219
2022-09-28,127.9000015258789
2022-09-29,127.13999938964844
2022-09-30,125.72000122070312
2022-10-03,127.27999877929688
2022-10-04,130.17999267578125
2022-10-05,130.10000610351562
2022-10-06,127.20999908447266
2022-10-07,124.04000091552734
2022-10-10,122.44000244140625
2022-10-11,123.37000274658203
2022-10-12,122.44000244140625
2022-10-13,124.68000030517578
2022-10-14,122.5
2022-10-17,126.37000274658203
2022-10-18,129.80999755859375
2022-10-19,130.00999450683594
2022-10-20,126.66999816894531
2022-10-21,131.3300018310547
2022-10-24,132.99000549316406
2022-10-25,136.99000549316406
2022-10-26,138.32000732421875
2022-10-27,139.91000366210938
2022-10-28,140.77000427246094
2022-10-31,142.0
2022-11-01,142.89999389648438
2022-11-02,138.77000427246094
2022-11-03,140.8300018310547
2022-11-04,142.58999633789062
2022-11-07,143.50999450683594
2022-11-08,145.50999450683594
2022-11-09,144.13999938964844
2022-11-10,145.8000030517578
2022-11-11,145.44000244140625
2022-11-14,145.91000366210938
2022-11-15,148.4199981689453
2022-11-16,148.41000366210938
2022-11-17,145.8300018310547
2022-11-18,147.72999572753906
2022-11-21,149.0
2022-11-22,149.63999938964844
2022-11-23,148.2899932861328
2022-11-25,148.9499969482422
2022-11-28,145.5399932861328
2022-11-29,144.7899932861328
2022-11-30,147.8800048828125
2022-12-01,148.1699981689453
2022-12-02,148.22999572753906
2022-12-05,146.58999633789062
2022-12-06,143.82000732421875
2022-12-07,146.6300048828125
2022-12-08,147.82000732421875
2022-12-09,145.75999450683594
2022-12-12,147.6699981689453
2022-12-13,147.72999572753906
2022-12-14,146.14999389648438
2022-12-15,143.05999755859375
2022-12-16,142.08999633789062
2022-12-19,140.5
2022-12-20,140.5
2022-12-21,144.13999938964844
2022-12-22,143.9499969482422
2022-12-23,145.0500030517578
2022-12-27,146.5500030517578
2022-12-28,142.66000366210938
2022-12-29,145.47000122070312
2022-12-30,144.49000549316406
2023-01-03,146.17999267578125
2023-01-04,148.86000061035156
2023-01-05,148.35000610351562
2023-01-06,153.64999389648438
2023-01-09,154.27000427246094
2023-01-10,155.24000549316406
