Date,ZG
2022-02-28,57.27000045776367
2022-03-01,57.439998626708984
2022-03-02,55.720001220703125
2022-03-03,53.400001525878906
2022-03-04,51.02000045776367
2022-03-07,48.369998931884766
2022-03-08,46.869998931884766
2022-03-09,49.93000030517578
2022-03-10,48.7599983215332
2022-03-11,47.04999923706055
2022-03-14,45.0099983215332
2022-03-15,46.029998779296875
2022-03-16,49.68000030517578
2022-03-17,52.02000045776367
2022-03-18,54.209999084472656
2022-03-21,52.25
2022-03-22,54.52000045776367
2022-03-23,53.380001068115234
2022-03-24,54.04999923706055
2022-03-25,50.849998474121094
2022-03-28,51.5
2022-03-29,54.11000061035156
2022-03-30,51.18000030517578
2022-03-31,48.22999954223633
2022-04-01,47.88999938964844
2022-04-04,52.029998779296875
2022-04-05,50.4900016784668
2022-04-06,47.720001220703125
2022-04-07,46.959999084472656
2022-04-08,46.150001525878906
2022-04-11,47.33000183105469
2022-04-12,45.75
2022-04-13,46.97999954223633
2022-04-14,46.650001525878906
2022-04-18,44.560001373291016
2022-04-19,46.61000061035156
2022-04-20,43.61000061035156
2022-04-21,41.790000915527344
2022-04-22,41.150001525878906
2022-04-25,42.209999084472656
2022-04-26,38.52000045776367
2022-04-27,37.70000076293945
2022-04-28,39.61000061035156
2022-04-29,38.650001525878906
2022-05-02,39.79999923706055
2022-05-03,42.47999954223633
2022-05-04,43.11000061035156
2022-05-05,39.04999923706055
2022-05-06,37.369998931884766
2022-05-09,36.52000045776367
2022-05-10,36.09000015258789
2022-05-11,34.86000061035156
2022-05-12,37.290000915527344
2022-05-13,40.13999938964844
2022-05-16,38.689998626708984
2022-05-17,41.18000030517578
2022-05-18,40.400001525878906
2022-05-19,42.310001373291016
2022-05-20,40.22999954223633
2022-05-23,40.91999816894531
2022-05-24,36.400001525878906
2022-05-25,37.43000030517578
2022-05-26,38.349998474121094
2022-05-27,41.040000915527344
2022-05-31,39.959999084472656
2022-06-01,39.2599983215332
2022-06-02,41.470001220703125
2022-06-03,39.27000045776367
2022-06-06,40.34000015258789
2022-06-07,40.84000015258789
2022-06-08,40.97999954223633
2022-06-09,37.29999923706055
2022-06-10,35.61000061035156
2022-06-13,32.220001220703125
2022-06-14,30.219999313354492
2022-06-15,31.510000228881836
2022-06-16,28.889999389648438
2022-06-17,29.690000534057617
2022-06-21,30.229999542236328
2022-06-22,31.670000076293945
2022-06-23,34.5099983215332
2022-06-24,35.689998626708984
2022-06-27,34.36000061035156
2022-06-28,33.380001068115234
2022-06-29,33.0
2022-06-30,31.809999465942383
2022-07-01,33.79999923706055
2022-07-05,35.20000076293945
2022-07-06,34.849998474121094
2022-07-07,35.63999938964844
2022-07-08,35.119998931884766
2022-07-11,33.560001373291016
2022-07-12,34.400001525878906
2022-07-13,33.38999938964844
2022-07-14,33.66999816894531
2022-07-15,34.56999969482422
2022-07-18,34.15999984741211
2022-07-19,36.4900016784668
2022-07-20,36.90999984741211
2022-07-21,37.66999816894531
2022-07-22,36.45000076293945
2022-07-25,35.790000915527344
2022-07-26,33.86000061035156
2022-07-27,36.029998779296875
2022-07-28,34.900001525878906
2022-07-29,35.0
2022-08-01,35.619998931884766
2022-08-02,36.790000915527344
2022-08-03,38.04999923706055
2022-08-04,38.130001068115234
2022-08-05,37.369998931884766
2022-08-08,38.97999954223633
2022-08-09,36.33000183105469
2022-08-10,39.349998474121094
2022-08-11,38.65999984741211
2022-08-12,39.66999816894531
2022-08-15,39.04999923706055
2022-08-16,38.36000061035156
2022-08-17,36.040000915527344
2022-08-18,35.95000076293945
2022-08-19,33.79999923706055
2022-08-22,32.72999954223633
2022-08-23,33.59000015258789
2022-08-24,34.560001373291016
2022-08-25,35.849998474121094
2022-08-26,34.11000061035156
2022-08-29,33.52000045776367
2022-08-30,33.7599983215332
2022-08-31,33.400001525878906
2022-09-01,34.33000183105469
2022-09-02,34.02000045776367
2022-09-06,33.5099983215332
2022-09-07,35.34000015258789
2022-09-08,37.58000183105469
2022-09-09,38.20000076293945
2022-09-12,37.54999923706055
2022-09-13,35.869998931884766
2022-09-14,35.970001220703125
2022-09-15,36.209999084472656
2022-09-16,34.099998474121094
2022-09-19,33.02000045776367
2022-09-20,32.38999938964844
2022-09-21,31.399999618530273
2022-09-22,30.540000915527344
2022-09-23,29.540000915527344
2022-09-26,29.270000457763672
2022-09-27,29.06999969482422
2022-09-28,29.829999923706055
2022-09-29,29.260000228881836
2022-09-30,28.6299991607666
2022-10-03,29.510000228881836
2022-10-04,31.549999237060547
2022-10-05,30.1299991607666
2022-10-06,30.610000610351562
2022-10-07,29.270000457763672
2022-10-10,29.3799991607666
2022-10-11,28.139999389648438
2022-10-12,28.809999465942383
2022-10-13,28.100000381469727
2022-10-14,27.020000457763672
2022-10-17,29.010000228881836
2022-10-18,28.90999984741211
2022-10-19,28.809999465942383
2022-10-20,28.639999389648438
2022-10-21,29.3700008392334
2022-10-24,29.190000534057617
2022-10-25,31.290000915527344
2022-10-26,30.739999771118164
2022-10-27,30.700000762939453
2022-10-28,30.940000534057617
2022-10-31,30.93000030517578
2022-11-01,30.959999084472656
2022-11-02,29.43000030517578
2022-11-03,32.41999816894531
2022-11-04,32.189998626708984
2022-11-07,33.439998626708984
2022-11-08,32.77000045776367
2022-11-09,31.850000381469727
2022-11-10,35.45000076293945
2022-11-11,37.47999954223633
2022-11-14,36.4900016784668
2022-11-15,37.2599983215332
2022-11-16,36.5
2022-11-17,36.869998931884766
2022-11-18,34.810001373291016
2022-11-21,33.70000076293945
2022-11-22,34.08000183105469
