Date,TW
2022-02-28,84.4800033569336
2022-03-01,84.80999755859375
2022-03-02,85.80000305175781
2022-03-03,86.12000274658203
2022-03-04,87.45999908447266
2022-03-07,84.91000366210938
2022-03-08,83.41999816894531
2022-03-09,84.4800033569336
2022-03-10,83.26000213623047
2022-03-11,82.94999694824219
2022-03-14,83.73999786376953
2022-03-15,86.08000183105469
2022-03-16,87.43000030517578
2022-03-17,88.2699966430664
2022-03-18,89.87999725341797
2022-03-21,88.9800033569336
2022-03-22,89.37999725341797
2022-03-23,87.76000213623047
2022-03-24,87.70999908447266
2022-03-25,88.12999725341797
2022-03-28,90.06999969482422
2022-03-29,89.62999725341797
2022-03-30,87.97000122070312
2022-03-31,87.87000274658203
2022-04-01,88.75
2022-04-04,88.83999633789062
2022-04-05,91.0199966430664
2022-04-06,89.81999969482422
2022-04-07,89.98999786376953
2022-04-08,90.1500015258789
2022-04-11,88.02999877929688
2022-04-12,86.0199966430664
2022-04-13,87.0999984741211
2022-04-14,85.69000244140625
2022-04-18,83.11000061035156
2022-04-19,84.52999877929688
2022-04-20,83.83000183105469
2022-04-21,81.33000183105469
2022-04-22,79.08000183105469
2022-04-25,79.73999786376953
2022-04-26,77.66999816894531
2022-04-27,77.80000305175781
2022-04-28,75.25
2022-04-29,71.19000244140625
2022-05-02,70.13999938964844
2022-05-03,68.9000015258789
2022-05-04,69.23999786376953
2022-05-05,65.6500015258789
2022-05-06,63.869998931884766
2022-05-09,60.47999954223633
2022-05-10,62.349998474121094
2022-05-11,63.06999969482422
2022-05-12,65.52999877929688
2022-05-13,67.2699966430664
2022-05-16,64.58999633789062
2022-05-17,65.63999938964844
2022-05-18,63.38999938964844
2022-05-19,64.69000244140625
2022-05-20,65.7699966430664
2022-05-23,66.02999877929688
2022-05-24,65.33000183105469
2022-05-25,65.62999725341797
2022-05-26,66.87000274658203
2022-05-27,68.9000015258789
2022-05-31,67.61000061035156
2022-06-01,67.2699966430664
2022-06-02,68.69999694824219
2022-06-03,67.63999938964844
2022-06-06,68.12999725341797
2022-06-07,69.11000061035156
2022-06-08,68.56999969482422
2022-06-09,68.05999755859375
2022-06-10,67.83999633789062
2022-06-13,66.02999877929688
2022-06-14,64.73999786376953
2022-06-15,66.69000244140625
2022-06-16,66.87999725341797
2022-06-17,67.36000061035156
2022-06-21,68.83999633789062
2022-06-22,70.54000091552734
2022-06-23,72.81999969482422
2022-06-24,74.08000183105469
2022-06-27,73.3499984741211
2022-06-28,71.87000274658203
2022-06-29,69.6500015258789
2022-06-30,68.25
2022-07-01,68.6500015258789
2022-07-05,70.91999816894531
2022-07-06,69.18000030517578
2022-07-07,69.55000305175781
2022-07-08,70.61000061035156
2022-07-11,70.5
2022-07-12,68.4800033569336
2022-07-13,68.66999816894531
2022-07-14,67.62000274658203
2022-07-15,68.44000244140625
2022-07-18,67.91999816894531
2022-07-19,68.95999908447266
2022-07-20,69.52999877929688
2022-07-21,71.06999969482422
2022-07-22,70.97000122070312
2022-07-25,69.52999877929688
2022-07-26,67.29000091552734
2022-07-27,67.73999786376953
2022-07-28,69.88999938964844
2022-07-29,70.5199966430664
2022-08-01,69.66999816894531
2022-08-02,69.79000091552734
2022-08-03,68.5999984741211
2022-08-04,70.27999877929688
2022-08-05,69.27999877929688
2022-08-08,72.02999877929688
2022-08-09,70.47000122070312
2022-08-10,71.66999816894531
2022-08-11,72.5
2022-08-12,73.30999755859375
2022-08-15,74.19999694824219
2022-08-16,74.37000274658203
2022-08-17,74.36000061035156
2022-08-18,74.69000244140625
2022-08-19,72.98999786376953
2022-08-22,71.79000091552734
2022-08-23,71.48999786376953
2022-08-24,72.37000274658203
2022-08-25,72.54000091552734
2022-08-26,70.48999786376953
2022-08-29,69.25
2022-08-30,68.62000274658203
2022-08-31,69.58999633789062
2022-09-01,68.69999694824219
2022-09-02,66.77999877929688
2022-09-06,66.98999786376953
2022-09-07,65.83999633789062
2022-09-08,66.62000274658203
2022-09-09,68.0
2022-09-12,68.02999877929688
2022-09-13,66.01000213623047
2022-09-14,65.26000213623047
2022-09-15,63.90999984741211
2022-09-16,64.36000061035156
2022-09-19,62.81999969482422
2022-09-20,61.34000015258789
2022-09-21,60.77000045776367
2022-09-22,60.20000076293945
2022-09-23,59.619998931884766
2022-09-26,59.060001373291016
2022-09-27,58.029998779296875
2022-09-28,58.59000015258789
2022-09-29,57.68000030517578
2022-09-30,56.41999816894531
2022-10-03,57.58000183105469
2022-10-04,58.59000015258789
2022-10-05,57.900001525878906
2022-10-06,57.45000076293945
2022-10-07,55.33000183105469
2022-10-10,53.08000183105469
2022-10-11,52.209999084472656
2022-10-12,53.13999938964844
2022-10-13,54.25
2022-10-14,53.36000061035156
2022-10-17,54.91999816894531
2022-10-18,54.70000076293945
2022-10-19,53.349998474121094
2022-10-20,53.189998626708984
2022-10-21,54.130001068115234
2022-10-24,53.09000015258789
2022-10-25,54.54999923706055
2022-10-26,53.75
2022-10-27,54.13999938964844
2022-10-28,55.66999816894531
2022-10-31,55.08000183105469
