Date,COLM
2022-02-28,92.72000122070312
2022-03-01,90.51000213623047
2022-03-02,93.80000305175781
2022-03-03,93.08000183105469
2022-03-04,90.56999969482422
2022-03-07,83.72000122070312
2022-03-08,85.44999694824219
2022-03-09,87.76000213623047
2022-03-10,86.87000274658203
2022-03-11,85.55999755859375
2022-03-14,86.45999908447266
2022-03-15,88.62999725341797
2022-03-16,92.68000030517578
2022-03-17,94.33000183105469
2022-03-18,93.6500015258789
2022-03-21,93.94999694824219
2022-03-22,92.55999755859375
2022-03-23,90.68000030517578
2022-03-24,91.25
2022-03-25,92.04000091552734
2022-03-28,91.75
2022-03-29,94.5999984741211
2022-03-30,93.79000091552734
2022-03-31,90.52999877929688
2022-04-01,90.2300033569336
2022-04-04,91.38999938964844
2022-04-05,88.80999755859375
2022-04-06,86.4000015258789
2022-04-07,86.87999725341797
2022-04-08,87.16999816894531
2022-04-11,86.8499984741211
2022-04-12,86.79000091552734
2022-04-13,88.02999877929688
2022-04-14,88.33000183105469
2022-04-18,88.05999755859375
2022-04-19,89.98999786376953
2022-04-20,89.77999877929688
2022-04-21,89.01000213623047
2022-04-22,86.25
2022-04-25,87.55999755859375
2022-04-26,85.29000091552734
2022-04-27,86.55000305175781
2022-04-28,88.26000213623047
2022-04-29,82.16000366210938
2022-05-02,82.79000091552734
2022-05-03,82.01000213623047
2022-05-04,83.41999816894531
2022-05-05,79.75
2022-05-06,76.30999755859375
2022-05-09,75.83999633789062
2022-05-10,76.20999908447266
2022-05-11,74.80999755859375
2022-05-12,77.48999786376953
2022-05-13,79.8499984741211
2022-05-16,79.41999816894531
2022-05-17,80.33999633789062
2022-05-18,75.05999755859375
2022-05-19,73.8499984741211
2022-05-20,75.58000183105469
2022-05-23,74.19000244140625
2022-05-24,72.55999755859375
2022-05-25,73.68000030517578
2022-05-26,75.72000122070312
2022-05-27,77.25
2022-05-31,77.77999877929688
2022-06-01,77.5
2022-06-02,80.05000305175781
2022-06-03,80.08000183105469
2022-06-06,80.62999725341797
2022-06-07,79.52999877929688
2022-06-08,78.91000366210938
2022-06-09,77.5
2022-06-10,75.2300033569336
2022-06-13,71.7699966430664
2022-06-14,71.2699966430664
2022-06-15,72.27999877929688
2022-06-16,68.7300033569336
2022-06-17,71.37999725341797
