Date,CVCO
2022-02-28,272.6300048828125
2022-03-01,271.17999267578125
2022-03-02,283.260009765625
2022-03-03,274.6700134277344
2022-03-04,270.4700012207031
2022-03-07,257.92999267578125
2022-03-08,261.0
2022-03-09,271.739990234375
2022-03-10,271.6000061035156
2022-03-11,266.8999938964844
2022-03-14,264.0
2022-03-15,277.3900146484375
2022-03-16,283.6099853515625
2022-03-17,286.9599914550781
2022-03-18,285.5299987792969
2022-03-21,277.45001220703125
2022-03-22,287.1199951171875
2022-03-23,276.3399963378906
2022-03-24,253.5
2022-03-25,247.0
2022-03-28,250.67999267578125
2022-03-29,257.1600036621094
2022-03-30,250.99000549316406
2022-03-31,240.85000610351562
2022-04-01,243.83999633789062
2022-04-04,245.0800018310547
2022-04-05,236.5
2022-04-06,228.2100067138672
2022-04-07,229.52999877929688
2022-04-08,229.89999389648438
2022-04-11,232.32000732421875
2022-04-12,230.0
2022-04-13,241.0
2022-04-14,235.94000244140625
2022-04-18,238.7100067138672
2022-04-19,247.39999389648438
2022-04-20,243.8699951171875
2022-04-21,236.8000030517578
2022-04-22,234.27999877929688
2022-04-25,242.99000549316406
2022-04-26,232.82000732421875
2022-04-27,231.41000366210938
2022-04-28,239.0399932861328
2022-04-29,236.25
2022-05-02,243.47999572753906
2022-05-03,246.5800018310547
2022-05-04,261.8699951171875
2022-05-05,244.75999450683594
2022-05-06,242.47000122070312
2022-05-09,238.52999877929688
2022-05-10,230.52999877929688
2022-05-11,217.88999938964844
2022-05-12,228.9199981689453
2022-05-13,234.2899932861328
2022-05-16,233.5399932861328
2022-05-17,241.58999633789062
2022-05-18,225.83999633789062
2022-05-19,226.07000732421875
2022-05-20,225.5500030517578
2022-05-23,225.72999572753906
2022-05-24,196.6300048828125
2022-05-25,209.8699951171875
2022-05-26,216.60000610351562
2022-05-27,219.1999969482422
2022-05-31,222.16000366210938
2022-06-01,215.8800048828125
2022-06-02,222.52000427246094
2022-06-03,216.0
2022-06-06,219.07000732421875
2022-06-07,214.9600067138672
2022-06-08,214.7100067138672
2022-06-09,212.38999938964844
2022-06-10,205.0800018310547
2022-06-13,194.85000610351562
2022-06-14,196.7899932861328
2022-06-15,196.85000610351562
2022-06-16,184.5500030517578
2022-06-17,187.75
2022-06-21,187.83999633789062
2022-06-22,188.5500030517578
2022-06-23,193.9600067138672
2022-06-24,198.7100067138672
2022-06-27,197.5
2022-06-28,197.49000549316406
2022-06-29,196.9199981689453
2022-06-30,195.99000549316406
2022-07-01,201.77000427246094
2022-07-05,210.39999389648438
2022-07-06,212.67999267578125
2022-07-07,218.91000366210938
2022-07-08,222.1699981689453
2022-07-11,220.6199951171875
2022-07-12,220.55999755859375
2022-07-13,221.69000244140625
2022-07-14,219.67999267578125
2022-07-15,221.83999633789062
2022-07-18,222.77000427246094
2022-07-19,229.5
2022-07-20,234.8800048828125
2022-07-21,240.08999633789062
2022-07-22,238.83999633789062
2022-07-25,238.24000549316406
2022-07-26,238.35000610351562
2022-07-27,244.25999450683594
2022-07-28,249.66000366210938
2022-07-29,257.7900085449219
2022-08-01,262.1000061035156
2022-08-02,250.2899932861328
2022-08-03,251.19000244140625
2022-08-04,255.72000122070312
2022-08-05,274.29998779296875
2022-08-08,280.70001220703125
2022-08-09,275.989990234375
2022-08-10,278.1199951171875
2022-08-11,278.2699890136719
2022-08-12,285.0
2022-08-15,286.57000732421875
2022-08-16,285.75
2022-08-17,279.82000732421875
2022-08-18,283.0
2022-08-19,272.67999267578125
2022-08-22,266.4200134277344
2022-08-23,260.7699890136719
2022-08-24,256.44000244140625
2022-08-25,259.1700134277344
2022-08-26,247.94000244140625
2022-08-29,246.3699951171875
2022-08-30,243.94000244140625
2022-08-31,234.00999450683594
2022-09-01,224.17999267578125
2022-09-02,223.2100067138672
2022-09-06,216.88999938964844
2022-09-07,218.91000366210938
2022-09-08,221.22999572753906
2022-09-09,227.2899932861328
2022-09-12,231.25999450683594
2022-09-13,210.25999450683594
2022-09-14,205.2100067138672
2022-09-15,205.3000030517578
2022-09-16,210.1999969482422
2022-09-19,212.1199951171875
2022-09-20,209.91000366210938
2022-09-21,213.1999969482422
2022-09-22,209.8300018310547
2022-09-23,208.17999267578125
2022-09-26,207.27000427246094
2022-09-27,204.47000122070312
2022-09-28,214.30999755859375
2022-09-29,207.52000427246094
2022-09-30,205.75999450683594
2022-10-03,214.55999755859375
2022-10-04,228.83999633789062
2022-10-05,223.3800048828125
2022-10-06,219.4199981689453
2022-10-07,212.72999572753906
2022-10-10,213.7899932861328
2022-10-11,213.5
2022-10-12,208.38999938964844
2022-10-13,210.91000366210938
2022-10-14,205.69000244140625
2022-10-17,212.97999572753906
2022-10-18,217.32000732421875
2022-10-19,207.83999633789062
2022-10-20,206.85000610351562
2022-10-21,213.5800018310547
2022-10-24,216.61000061035156
2022-10-25,231.35000610351562
2022-10-26,225.6199951171875
2022-10-27,223.97999572753906
2022-10-28,233.33999633789062
2022-10-31,226.6699981689453
2022-11-01,230.00999450683594
2022-11-02,203.74000549316406
2022-11-03,202.39999389648438
2022-11-04,201.5800018310547
2022-11-07,203.9600067138672
2022-11-08,211.47000122070312
2022-11-09,212.3300018310547
2022-11-10,234.1999969482422
2022-11-11,231.42999267578125
2022-11-14,215.77000427246094
2022-11-15,214.9199981689453
2022-11-16,212.72000122070312
2022-11-17,205.83999633789062
2022-11-18,205.6300048828125
2022-11-21,208.67999267578125
2022-11-22,217.74000549316406
2022-11-23,219.39999389648438
2022-11-25,219.8699951171875
2022-11-28,218.0399932861328
2022-11-29,220.1699981689453
2022-11-30,229.6300048828125
2022-12-01,241.69000244140625
2022-12-02,240.0
2022-12-05,240.42999267578125
2022-12-06,241.0
2022-12-07,244.0500030517578
2022-12-08,243.8699951171875
2022-12-09,239.10000610351562
2022-12-12,245.75
2022-12-13,240.49000549316406
2022-12-14,238.0500030517578
2022-12-15,230.41000366210938
2022-12-16,228.3800048828125
2022-12-19,225.41000366210938
2022-12-20,224.8800048828125
2022-12-21,231.08999633789062
2022-12-22,224.86000061035156
2022-12-23,226.89999389648438
2022-12-27,222.9499969482422
2022-12-28,220.0800018310547
2022-12-29,228.9199981689453
2022-12-30,226.25
2023-01-03,228.0
2023-01-04,234.39999389648438
2023-01-05,231.8800048828125
2023-01-06,234.8699951171875
2023-01-09,236.80999755859375
2023-01-10,243.61000061035156
2023-01-11,250.3800048828125
2023-01-12,256.25
2023-01-13,261.94000244140625
